chr,start,end,distanceToTSS,geneId,SYMBOL,category
chr10,34418214,34418534,0,319638,Nt5dc1,Both
chr10,36974139,36975258,0,15182,Hdac2,Both
chr10,39369546,39370460,0,14360,Fyn,Both
chr10,40257439,40257793,0,67371,Gtf3c6,Both
chr10,40300770,40302743,0,100041585,Amd2,Both
chr10,40349040,40350160,0,78334,Cdk19,Both
chr10,40883344,40884526,0,83767,Wasf1,Both
chr10,41302854,41303319,0,103199,Fig4,Both
chr10,41490045,41490803,0,20598,Smpd2,Both
chr10,41518857,41519970,0,53599,Cd164,Both
chr10,41809456,41809682,0,103268,Cep57l1,Both
chr10,41809870,41810555,0,103268,Cep57l1,Both
chr10,41887289,41887698,0,140742,Sesn1,Both
chr10,42274731,42278553,0,56484,Foxo3,Both
chr10,42478233,42478658,0,215951,Afg1l,Both
chr10,42501838,42502718,0,54198,Snx3,Both
chr10,42582007,42584739,0,14628,Ostm1,Both
chr10,52381715,52382289,0,94221,Gopc,Both
chr10,52417383,52418289,0,52014,Nus1,Both
chr10,53596813,53597857,0,66403,Asf1a,Both
chr10,53629430,53630281,0,71567,Mcm9,Both
chr10,57486189,57487019,0,15500,Hsf2,Both
chr10,58323249,58323825,0,110829,Lims1,Both
chr10,59221274,59222787,0,103080,Septin10,Both
chr10,59323026,59323922,0,18451,P4ha1,Both
chr10,59702346,59702799,0,216001,Micu1,Both
chr10,59879349,59879981,0,56709,Dnajb12,Both
chr10,59951231,59952395,0,74747,Ddit4,Both
chr10,60002780,60003293,0,52717,Anapc16,Both
chr10,61475608,61476237,0,216011,Lrrc20,Both
chr10,61680016,61680739,0,20224,Sar1a,Both
chr10,61695440,61696703,0,71767,Tysnd1,Both
chr10,62339925,62340434,0,70162,Hk1os,Both
chr10,62486288,62487334,0,30930,Vps26a,Both
chr10,62577908,62578575,0,72320,Kifbp,Both
chr10,62650599,62651712,0,94213,Ddx50,Both
chr10,63023021,63024293,0,432467,Hnrnph3,Both
chr10,63243913,63244443,0,67345,Herc4,Both
chr10,63429559,63430167,0,216033,Ctnna3,Both
chr10,67912176,67912562,0,216049,Zfp365,Both
chr10,67979442,67980106,0,170799,Rtkn2,Both
chr10,72654757,72655041,0,52696,Zwint,Both
chr10,75211904,75212447,0,74392,Specc1l,Both
chr10,75517048,75517590,0,67332,Snrpd3,Both
chr10,75518027,75518346,0,67332,Snrpd3,Both
chr10,76442295,76443091,0,18541,Pcnt,Both
chr10,76531329,76531728,0,16987,Lss,Both
chr10,76961630,76962132,0,59093,Pcbp3,Both
chr10,77258906,77259845,0,100169878,Gm10941,Both
chr10,77581577,77582125,0,108705,Pttg1ip,Both
chr10,78169446,78169876,0,28295,Gatd3a,Both
chr10,78574239,78574462,0,216136,Ilvbl,Both
chr10,78574701,78575039,0,216136,Ilvbl,Both
chr10,79854072,79855349,0,19205,Ptbp1,Both
chr10,79908717,79908920,0,216154,Med16,Both
chr10,80115340,80116940,0,20869,Stk11,Both
chr10,80141353,80141614,0,66043,Atp5f1d,Both
chr10,80142295,80142611,0,66043,Atp5f1d,Both
chr10,80226336,80226932,0,68114,Pwwp3a,Both
chr10,80260736,80261097,0,14431,Gamt,Both
chr10,80398725,80400066,0,17192,Mbd3,Both
chr10,80433050,80434213,0,21423,Tcf3,Both
chr10,80576864,80578064,0,118445,Klf16,Both
chr10,80602805,80603198,0,100113398,Adat3,Both
chr10,80621976,80623110,0,103236,Csnk1g2,Both
chr10,80675777,80676863,0,17347,Mknk2,Both
chr10,80701707,80702117,0,208228,Mob3a,Both
chr10,80702540,80702862,0,71564,Izumo4,Both
chr10,80741803,80742148,0,11776,Ap3d1,Both
chr10,80826254,80827237,0,18245,Oaz1,Both
chr10,80900135,80901004,0,30055,Timm13,Both
chr10,81136019,81138167,0,16969,Zbtb7a,Both
chr10,81167490,81167973,0,59004,Pias4,Both
chr10,81182870,81183179,0,13144,Dapk3,Both
chr10,81266602,81266974,0,57267,Apba3,Both
chr10,81292797,81293513,0,18717,Pip5k1c,Both
chr10,81320669,81321281,0,70312,Cactin,Both
chr10,81350076,81350696,0,15353,Hmg20b,Both
chr10,81378147,81379056,0,56371,Fzr1,Both
chr10,81384188,81384648,0,102115,Dohh,Both
chr10,81496043,81496501,0,103425,Ncln,Both
chr10,81544537,81545375,0,14672,Gna11,Both
chr10,82629705,82630318,0,21665,Tdg,Both
chr10,82858991,82859430,0,102641476,Gm38560,Both
chr10,83360008,83360820,0,28109,Nopchap1,Both
chr10,83648461,83648917,0,216190,Appl2,Both
chr10,84576273,84577460,0,216198,Tcp11l2,Both
chr10,84917514,84917973,0,237422,Ric8b,Both
chr10,86704861,86705966,0,103220,Ttc41,Both
chr10,87492445,87493953,0,17172,Ascl1,Both
chr10,88730607,88731150,0,104303,Arl1,Both
chr10,88731275,88732090,0,104303,Arl1,Both
chr10,91082300,91083380,0,11783,Apaf1,Both
chr10,93160440,93161666,0,237459,Cdk17,Both
chr10,93453370,93453888,0,16993,Lta4h,Both
chr10,94035339,94036559,0,13998,Fgd6,Both
chr10,95514662,95515893,0,93765,Ube2n,Both
chr10,95940560,95941332,0,216238,Eea1,Both
chr10,96616484,96617784,0,12226,Btg1,Both
chr10,98913833,98915907,0,67972,Atp2b1,Both
chr10,99261496,99264181,0,67603,Dusp6,Both
chr10,100487147,100487810,0,216274,Cep290,Both
chr10,105573440,105574450,0,278279,Tmtc2,Both
chr10,108161582,108162873,0,17931,Ppp1r12a,Both
chr10,111164482,111165676,0,237542,Osbpl8,Both
chr10,111298434,111298840,0,71769,Bbs10,Both
chr10,111972630,111973268,0,52705,Krr1,Both
chr10,115362064,115362593,0,67226,Tmem19,Both
chr10,115384251,115385961,0,216345,Zfc3h1,Both
chr10,117224057,117224549,0,64050,Yeats4,Both
chr10,117845802,117846391,0,215449,Rap1b,Both
chr10,118141542,118142296,0,17245,Mdm1,Both
chr10,119239198,119240393,0,71902,Cand1,Both
chr10,120112608,120113331,0,117599,Helb,Both
chr10,121033870,121034143,0,24117,Wif1,Both
chr10,121625915,121626707,0,73192,Xpot,Both
chr10,122096631,122097215,0,216395,Rxylt1,Both
chr10,126978410,126980162,0,52468,Ctdsp2,Both
chr10,128194009,128195213,0,216456,Gls2,Both
chr10,128270359,128270771,0,20847,Stat2,Both
chr10,128303133,128303455,0,103135,Pan2,Both
chr10,128337602,128338095,0,12974,Cs,Both
chr10,128547283,128548018,0,103284,Zc3h10,Both
chr10,128565283,128566452,0,18813,Pa2g4,Both
chr10,128804987,128805758,0,74330,Dnajc14,Both
chr10,128821444,128822073,0,66118,Sarnp,Both
chr10,128923104,128923546,0,14533,Bloc1s1,Both
chr11,3265989,3266686,0,13494,Drg1,Both
chr11,3288696,3288937,0,56218,Patz1,Both
chr11,3289165,3291061,0,56218,Patz1,Both
chr11,3331816,3332496,0,216505,Pik3ip1,Both
chr11,4848796,4849787,0,18016,Nf2,Both
chr11,5443960,5445415,0,407821,Znrf3,Both
chr11,6291320,6292275,0,18293,Ogdh,Both
chr11,6444021,6444762,0,77605,H2az2,Both
chr11,9010914,9011323,0,15574,Hus1,Both
chr11,16951076,16951424,0,319701,Fbxo48,Both
chr11,17159070,17159983,0,19058,Ppp3r1,Both
chr11,17211326,17211726,0,66249,Pno1,Both
chr11,20201018,20201921,0,19324,Rab1a,Both
chr11,20332037,20333104,0,55963,Slc1a4,Both
chr11,20542499,20543770,0,58172,Sertad2,Both
chr11,20631785,20632570,0,58172,Sertad2,Both
chr11,21091237,21091960,0,67245,Peli1,Both
chr11,21370442,21371489,0,216558,Ugp2,Both
chr11,21571824,21572470,0,17449,Mdh1,Both
chr11,22000852,22002260,0,18423,Otx1,Both
chr11,22286516,22287124,0,216565,Ehbp1,Both
chr11,22981956,22982373,0,17846,Commd1,Both
chr11,23008253,23008693,0,73873,Fam161a,Both
chr11,23255140,23256357,0,103573,Xpo1,Both
chr11,23497515,23497931,0,268390,Ahsa2,Both
chr11,23633135,23633766,0,71675,Sanbr,Both
chr11,23665437,23666438,0,72129,Pex13,Both
chr11,29172125,29173524,0,104570,Ppp4r3b,Both
chr11,29247060,29247529,0,216618,Cfap36,Both
chr11,29547429,29548012,0,73324,Clhc1,Both
chr11,29692881,29693945,0,68585,Rtn4,Both
chr11,30025815,30026104,0,237711,Eml6,Both
chr11,32454567,32456177,0,327900,Ubtd2,Both
chr11,32642317,32643180,0,103583,Fbxw11,Both
chr11,33162421,33163415,0,18148,Npm1,Both
chr11,35769295,35770092,0,211347,Pank3,Both
chr11,40733648,40734143,0,52653,Nudcd2,Both
chr11,40754907,40755393,0,12450,Ccng1,Both
chr11,43681870,43682698,0,70802,Pwwp2a,Both
chr11,45955163,45955536,0,66628,Thg1l,Both
chr11,48816685,48817551,0,211007,Trim41,Both
chr11,49243871,49244453,0,17308,Mgat1,Both
chr11,49846399,49847272,0,26420,Mapk9,Both
chr11,50131269,50131721,0,76795,Tbc1d9b,Both
chr11,50325269,50325990,0,12330,Canx,Both
chr11,50376899,50378597,0,59013,Hnrnph1,Both
chr11,51619750,51620108,0,52530,Nhp2,Both
chr11,51688626,51689166,0,66050,Trappc2b,Both
chr11,53299618,53300762,0,15525,Hspa4,Both
chr11,53891079,53892061,0,20520,Slc22a5,Both
chr11,54437986,54438657,0,216742,Fnip1,Both
chr11,54787032,54787948,0,72729,Cdc42se2,Both
chr11,54955743,54956304,0,57783,Tnip1,Both
chr11,55098016,55098287,0,14667,Gm2a,Both
chr11,55469637,55470162,0,27041,G3bp1,Both
chr11,57644953,57645735,0,171212,Galnt10,Both
chr11,57801485,57802434,0,50724,Sap30l,Both
chr11,58103779,58104705,0,69125,Cnot8,Both
chr11,58322902,58323440,0,319475,Zfp672,Both
chr11,58904039,58904304,0,22698,Zfp39,Both
chr11,58953894,58955059,0,319162,H2ac25,Both
chr11,59506008,59506805,0,268417,Zkscan17,Both
chr11,59809709,59810059,0,216805,Flcn,Both
chr11,60046140,60046531,0,18618,Pemt,Both
chr11,60352655,60353120,0,216810,Tom1l2,Both
chr11,60416740,60417985,0,246782,Atpaf2,Both
chr11,60537128,60539182,0,268420,Alkbh5,Both
chr11,60878256,60879169,0,216821,Tmem11,Both
chr11,61174540,61175466,0,216825,Usp22,Both
chr11,61266868,61267493,0,11671,Aldh3a2,Both
chr11,61493529,61494492,0,23939,Mapk7,Both
chr11,61761841,61762135,0,212627,Prpsap2,Both
chr11,62076923,62077355,0,432572,Specc1,Both
chr11,62879330,62879688,0,67510,Tvp23b,Both
chr11,63920509,63922450,0,54710,Hs3st3b1,Both
chr11,68691299,68692234,0,77579,Myh10,Both
chr11,68852493,68853283,0,83431,Ndel1,Both
chr11,69059293,69060850,0,71923,Borcs6,Both
chr11,69095156,69095360,0,18626,Per1,Both
chr11,69395199,69396220,0,327951,Cyb5d1,Both
chr11,69632775,69633566,0,23879,Fxr2,Both
chr11,69671234,69672624,0,13681,Eif4a1,Both
chr11,69758113,69759319,0,20020,Polr2a,Both
chr11,69837088,69837859,0,216856,Nlgn2,Both
chr11,69901313,69902309,0,216860,Neurl4,Both
chr11,69920525,69921795,0,276770,Eif5a,Both
chr11,69991472,69991848,0,56486,Gabarap,Both
chr11,69995572,69997527,0,78246,Phf23,Both
chr11,70432434,70432891,0,216869,Arrb2,Both
chr11,70451835,70452269,0,66172,Med11,Both
chr11,70646812,70647305,0,67863,Slc25a11,Both
chr11,70669158,70669846,0,216873,Spag7,Both
chr11,70969564,70970021,0,19069,Nup88,Both
chr11,71019066,71019976,0,116891,Derl2,Both
chr11,72795423,72796848,0,192986,Cyb5d2,Both
chr11,73199334,73199761,0,74637,Shpk,Both
chr11,74829899,74832413,0,17428,Mnt,Both
chr11,75348086,75348599,0,319822,Smyd4,Both
chr11,75461507,75462316,0,100042498,Mir22hg,Both
chr11,75510203,75510808,0,280408,Rilp,Both
chr11,75531101,75532171,0,215113,Slc43a2,Both
chr11,75630686,75631233,0,19062,Inpp5k,Both
chr11,76407105,76407373,0,56322,Timm22,Both
chr11,77982422,77983362,0,268448,Phf12,Both
chr11,78245771,78246299,0,20926,Supt6,Both
chr11,78536006,78536748,0,21927,Tnfaip1,Both
chr11,78550432,78551076,0,69071,Tmem97,Both
chr11,78697066,78697572,0,18099,Nlk,Both
chr11,80383121,80383356,0,22680,Zfp207,Both
chr11,80428468,80429282,0,69077,Psmd11,Both
chr11,83472621,83473763,0,70439,Taf15,Both
chr11,84179323,84180418,0,107476,Acaca,Both
chr11,84869568,84870994,0,217039,Ggnbp2,Both
chr11,85139455,85140483,0,237898,Usp32,Both
chr11,85311035,85312038,0,53892,Ppm1d,Both
chr11,85352647,85353248,0,192197,Bcas3,Both
chr11,86200936,86201792,0,237911,Brip1,Both
chr11,86484203,86485180,0,76892,Rnft1,Both
chr11,86544200,86544986,0,72508,Rps6kb1,Both
chr11,86757414,86758221,0,67300,Cltc,Both
chr11,87591597,87592378,0,170749,Mtmr4,Both
chr11,88863935,88864835,0,11640,Akap1,Both
chr11,90249224,90249822,0,67468,Mmd,Both
chr11,93884846,93886590,0,103537,Mbtd1,Both
chr11,94210243,94212093,0,22057,Tob1,Both
chr11,94548858,94549288,0,237926,Rsad1,Both
chr11,94601622,94601864,0,264895,Acsf2,Both
chr11,95309551,95310258,0,217127,Kat7,Both
chr11,95384422,95385054,0,110172,Slc35b1,Both
chr11,95858763,95859843,0,73906,4833417C18Rik,Both
chr11,96064603,96065527,0,268470,Ube2z,Both
chr11,96829375,96830471,0,18023,Nfe2l1,Both
chr11,96916116,96916803,0,319371,D030028A08Rik,Both
chr11,96977227,96977733,0,78912,Sp2,Both
chr11,97187128,97188611,0,16211,Kpnb1,Both
chr11,97744163,97745386,0,102466256,Mir8102,Both
chr11,97883595,97884422,0,72973,Fbxo47,Both
chr11,98682576,98682998,0,22123,Psmd3,Both
chr11,98809562,98810137,0,100037262,Gm12359,Both
chr11,100397194,100397946,0,16480,Jup,Both
chr11,100527205,100527972,0,104112,Acly,Both
chr11,100619084,100619840,0,56354,Dnajc7,Both
chr11,100738077,100738578,0,19345,Rab5c,Both
chr11,100939185,100939423,0,20848,Stat3,Both
chr11,101009431,101009638,0,11975,Atp6v0a1,Both
chr11,101082454,101082790,0,71743,Coasy,Both
chr11,101119528,101120199,0,103733,Tubg1,Both
chr11,101170343,101171334,0,217198,Plekhh3,Both
chr11,101424972,101425717,0,217201,Rundc1,Both
chr11,101551776,101551977,0,12189,Brca1,Both
chr11,103132301,103133111,0,71059,Hexim2,Both
chr11,103267034,103267850,0,53859,Map3k14,Both
chr11,103966474,103967112,0,11841,Arf2,Both
chr11,104550009,104550838,0,17896,Myl4,Both
chr11,106036775,106037324,0,71833,Dcaf7,Both
chr11,106083905,106085252,0,26406,Map3k3,Both
chr11,106193391,106193684,0,72149,Strada,Both
chr11,106216095,106217365,0,67163,Ccdc47,Both
chr11,106272450,106273413,0,83796,Smarcd2,Both
chr11,106487118,106487912,0,78943,Ern1,Both
chr11,106787462,106789507,0,13207,Ddx5,Both
chr11,108424994,108425741,0,76380,Cep112,Both
chr11,108920190,108922170,0,12006,Axin2,Both
chr11,109425484,109426357,0,13929,Amz2,Both
chr11,109611083,109612118,0,52639,Wipi1,Both
chr11,112781358,112783154,0,20682,Sox9,Both
chr11,113201433,113201928,0,72386,2610035D17Rik,Both
chr11,115627761,115628034,0,67283,Slc25a19,Both
chr11,115628181,115628442,0,67283,Slc25a19,Both
chr11,115708577,115708804,0,14784,Grb2,Both
chr11,115765198,115766060,0,71947,Tmem94,Both
chr11,115813280,115813897,0,140721,Caskin2,Both
chr11,115814568,115815262,0,76265,Tsen54,Both
chr11,116086819,116087038,0,22378,Wbp2,Both
chr11,116167887,116168373,0,217335,Fbf1,Both
chr11,116198479,116199140,0,11430,Acox1,Both
chr11,116334205,116335735,0,15223,Foxj1,Both
chr11,116433881,116434818,0,319370,Ubald2,Both
chr11,116489763,116490485,0,67763,Prpsap1,Both
chr11,116842473,116843848,0,107817,Jmjd6,Both
chr11,116852079,116853903,0,20382,Srsf2,Both
chr11,117114759,117115949,0,74136,Sec14l1,Both
chr11,117654059,117656015,0,217351,Tnrc6c,Both
chr11,117967878,117969565,0,12702,Socs3,Both
chr11,118247687,118248978,0,19157,Cyth1,Both
chr11,118289860,118290551,0,72344,Usp36,Both
chr11,118354933,118355608,0,21858,Timp2,Both
chr11,118476739,118477243,0,217364,Engase,Both
chr11,119040750,119043113,0,30951,Cbx8,Both
chr11,119267880,119268321,0,14387,Gaa,Both
chr11,120098464,120099310,0,208501,Ndufaf8,Both
chr11,120232784,120232993,0,268515,Bahcc1,Both
chr11,120491888,120492339,0,27376,Slc25a10,Both
chr11,120572476,120573685,0,18453,P4hb,Both
chr11,120713222,120714026,0,20892,Cenpx,Both
chr11,120823573,120824995,0,14104,Fasn,Both
chr11,121236702,121237537,0,67608,Narf,Both
chr11,121387753,121388238,0,217371,Rab40b,Both
chr11,121672748,121673446,0,210004,B3gntl1,Both
chr11,121702214,121702990,0,210029,Metrnl,Both
chr12,3235440,3235920,0,74173,Rab10os,Both
chr12,3309324,3310176,0,19325,Rab10,Both
chr12,3365111,3365428,0,16570,Kif3c,Both
chr12,3426605,3427706,0,100043040,1110002L01Rik,Both
chr12,4082493,4082922,0,217378,Dnajc27,Both
chr12,4768898,4769443,0,207921,Fam228b,Both
chr12,4843213,4843433,0,238037,Wdcp,Both
chr12,4917016,4918101,0,320817,Atad2b,Both
chr12,8498973,8500446,0,11852,Rhob,Both
chr12,8921580,8922636,0,17775,Laptm4a,Both
chr12,10390726,10391201,0,105014,Rdh14,Both
chr12,11265767,11266616,0,209334,Gen1,Both
chr12,17544573,17545428,0,18263,Odc1,Both
chr12,21111482,21112601,0,211914,Asap2,Both
chr12,21285891,21286626,0,16413,Itgb1bp1,Both
chr12,21416752,21417938,0,22630,Ywhaq,Both
chr12,24650980,24651906,0,194655,Klf11,Both
chr12,24830842,24832174,0,67216,Mboat2,Both
chr12,25095914,25096527,0,15902,Id2,Both
chr12,27341186,27343461,0,20666,Sox11,Both
chr12,28675146,28675589,0,104923,Adi1,Both
chr12,30584391,30584747,0,211986,Tmem18,Both
chr12,31498907,31500161,0,104836,Cbll1,Both
chr12,31949239,31950364,0,73389,Hbp1,Both
chr12,32060616,32061258,0,19088,Prkar2b,Both
chr12,32819820,32821011,0,59027,Nampt,Both
chr12,32953804,32954798,0,19027,Sypl1,Both
