gene,enrichment_score,log2FoldChange,padj,exo_peaks,endo_peaks,num_exo_peaks,num_endo_peaks
Dnm2,0.0,0.601893392,4.14157e-13,None,chr9:21424291-21425070,0,1
Fzd5,0.0,0.813222496,3.44851e-13,None,chr1:64737468-64738202,0,1
Ranbp10,0.7684046108038024,0.648222896,1.97462e-13,chr8:105826570-105827802,chr8:105827133-105827804;chr8:105826818-105827802,1,2
Cramp1l,0.6087570365371094,0.597543747,1.05007e-13,chr17:25015772-25017066;chr17:25015543-25017250,chr17:25015635-25016636;chr17:25015627-25016873;chr17:25015550-25016900,2,3
Peak1,0.0,0.537800558,4.86679e-14,None,chr9:56417107-56419130,0,1
Pafah2,0.0,0.969761808,4.35475e-14,None,chr4:134395921-134396909,0,1
Zfp36l1,0.0,0.770957774,2.90069e-14,None,chr12:80112929-80114054;chr12:80112471-80115054,0,2
Ints3,0.0,0.572660698,2.86681e-14,None,chr3:90433445-90433887,0,1
Sap130,1.1292852151750634,0.577049932,2.09173e-14,chr18:31633903-31635382;chr18:31633914-31635345,chr18:31633771-31635375;chr18:31633828-31635394,2,2
Slc25a42,0.43304239422384994,1.147393859,1.26004e-14,chr8:70212053-70213090;chr8:70212135-70213127,chr8:70212046-70213252;chr8:70211884-70213161;chr8:70212186-70213259,2,3
Zfp687,0.46712729099661177,0.597659652,2.41684e-15,chr3:95014951-95016251,chr3:95015252-95016269;chr3:95014773-95016679,1,2
Jun,0.0,0.501895505,1.6854e-15,None,chr4:95051968-95053035,0,1
Lrig1,0.0,0.585444614,1.44202e-15,None,chr6:94699988-94700618;chr6:94700066-94701840,0,2
Rassf2,0.4420460772383968,0.584090324,4.79119e-16,chr2:132029611-132031448;chr2:132029708-132031357,chr2:132029238-132031474;chr2:132029661-132031488;chr2:132029627-132031511,2,3
Mdc1,0.0,0.550862615,1.54204e-16,None,chr17:35841178-35841859,0,1
Rap2a,0.4057917768104508,0.556464736,1.01713e-16,chr14:120476807-120478325;chr14:120477173-120479614,chr14:120477146-120478641;chr14:120476997-120478725;chr14:120476879-120478689,2,3
Setd5,0.0,0.522841379,5.63494e-17,None,chr6:113075987-113077551;chr6:113076336-113077832,0,2
Myh10,1.125459255959009,0.596695344,1.06864e-17,chr11:68691453-68692343,chr11:68691266-68692428,1,1
Sufu,0.0,0.819449573,6.026040000000001e-18,None,chr19:46396581-46397051,0,1
Gdpd5,0.0,1.11960205,3.44429e-18,None,chr7:99381012-99382043,0,1
Rfx1,0.6012505181536538,1.065969371,3.01893e-18,chr8:84066216-84067126;chr8:84066143-84067851,chr8:84066234-84066993;chr8:84066208-84067709;chr8:84066324-84067100,2,3
Klf13,0.0,0.614839017,2.61771e-18,None,chr7:63938620-63939898,0,1
Phf12,0.0,0.73310247,2.13312e-18,None,chr11:77981346-77982859;chr11:77981344-77982826;chr11:77981165-77982745,0,3
Spata2,0.0,0.752707838,1.5728700000000001e-18,None,chr2:167490823-167492535,0,1
Kifc3,0.45726003952010574,0.800716429,1.4080600000000001e-18,chr8:95142023-95144708,chr8:95142179-95144555;chr8:95142885-95144567,1,2
Sf1,0.0,0.616140014,2.92942e-19,None,chr19:6362689-6364176;chr19:6363150-6364758;chr19:6363011-6364291,0,3
Gatad2b,0.0,0.569881412,2.21732e-19,None,chr3:90292629-90293260,0,1
Fam160a2,0.0,0.738142616,2.07134e-19,None,chr7:105399963-105400650,0,1
Abhd4,0.0,0.648502913,1.6715700000000001e-19,None,chr14:54253558-54254596,0,1
Hip1,0.5898790234686846,0.603654453,8.88214e-20,chr5:135545076-135545880;chr5:135544902-135546044;chr5:135544748-135546023,chr5:135545028-135546188;chr5:135544820-135546008;chr5:135544551-135546178,3,3
Ap2a1,0.43353931623015934,0.672515564,2.63887e-20,chr7:44929222-44930214;chr7:44929035-44930222;chr7:44929241-44930208,chr7:44929217-44930585;chr7:44929111-44930480;chr7:44929013-44930230,3,3
Ralgapa2,0.0,0.621876046,5.93451e-21,None,chr2:146511619-146512681,0,1
Fbrs,0.3701323382977857,0.994252862,6.10279e-22,chr7:127477488-127479191;chr7:127477303-127479182,chr7:127477490-127479236;chr7:127477429-127479243;chr7:127477040-127479166,2,3
Etv5,0.2776773581832563,0.73434604,2.55458e-22,chr16:22439101-22441058,chr16:22439563-22441126;chr16:22439318-22441423;chr16:22439383-22441006,1,3
Fryl,0.0,0.771477596,1.63887e-22,None,chr5:73256100-73257210;chr5:73256173-73257237,0,2
Egfros,0.0,0.940393903,8.08092e-23,None,chr11:16831538-16832745,0,1
Megf8,0.0,0.955679223,2.4677900000000002e-23,None,chr7:25316564-25317130,0,1
Kmt2e,0.0,0.724866447,7.06988e-24,None,chr5:23432686-23434395,0,1
Arhgap35,0.0,0.646214812,5.3679500000000004e-24,None,chr7:16614785-16615654;chr7:16614785-16615783;chr7:16614785-16615791,0,3
Pcnx3,0.0,0.912429791,4.7923100000000004e-24,None,chr19:5688436-5689318,0,1
Fam214b,0.0,0.989664132,2.8720400000000004e-24,None,chr4:43043838-43044510;chr4:43045678-43046462;chr4:43043178-43046372;chr4:43045535-43046437,0,4
Scaf1,0.12499934946951377,0.853319353,1.96373e-24,chr7:45017062-45018257,chr7:45015703-45016651;chr7:45017297-45018057;chr7:45015672-45016676;chr7:45017157-45018225;chr7:45015912-45018289,1,5
C2cd3,0.49877909819535005,0.786102955,7.24167e-25,chr7:100371425-100372416;chr7:100371532-100372441,chr7:100371667-100372532;chr7:100371613-100372582;chr7:100371695-100372513,2,3
Ttyh3,0.0,0.730660378,4.43216e-25,None,chr5:140648619-140649545,0,1
Mlc1,0.0,0.707401956,2.5563699999999998e-25,None,chr15:88978354-88979555;chr15:88977604-88979548,0,2
Hdac4,0.0,0.887607213,2.15759e-25,None,chr1:92180053-92181153;chr1:92180199-92181188,0,2
Camsap1,0.0,0.712663857,1.43614e-25,None,chr2:25983014-25983899;chr2:25983204-25984120;chr2:25983204-25983956,0,3
Zc3h4,0.0,0.806256598,8.60363e-26,None,chr7:16399354-16400547;chr7:16399020-16400609,0,2
Mxd4,0.6650970164554983,0.882172517,8.48734e-26,chr5:34187194-34188592;chr5:34187348-34188334,chr5:34187477-34188320;chr5:34186913-34188714;chr5:34187237-34188349,2,3
Ap3d1,0.0,0.871539328,2.68607e-26,None,chr10:80742039-80742861,0,1
Klf7,0.0,0.790992391,1.59639e-27,None,chr1:64121243-64122252;chr1:64120999-64122627;chr1:64121138-64122637,0,3
Pou3f2,0.28687763571323227,0.833163554,1.54463e-27,chr4:22487994-22489066,chr4:22488187-22489009;chr4:22488089-22489077;chr4:22487800-22489389,1,3
Irf2bp2,0.0,0.762495742,2.08157e-28,None,chr8:126593886-126596688;chr8:126593876-126596692;chr8:126593876-126596966,0,3
Rfx2,0.0,2.255394917,1.0840900000000001e-29,None,chr17:56830813-56831614,0,1
Fam168a,0.0,0.851998077,3.0442200000000002e-30,None,chr7:100705775-100707014,0,1
Myh9,0.40827838530757804,0.968962983,2.63081e-31,chr15:77841783-77842721,chr15:77842001-77842842;chr15:77842076-77842825,1,2
Nlgn2,0.34498593452123055,1.023985689,2.7964200000000003e-32,chr11:69837500-69838997;chr11:69837669-69839426,chr11:69837667-69838674;chr11:69837508-69839297;chr11:69837525-69839062,2,3
Btbd17,0.6936329652907156,1.258799255,1.05131e-32,chr11:114794903-114796851;chr11:114794912-114796848,chr11:114794712-114796882;chr11:114793999-114796713;chr11:114794960-114796574,2,3
Slc1a4,0.3845432775673145,1.019275536,7.78994e-33,chr11:20332426-20333516;chr11:20332016-20333532,chr11:20332413-20333527;chr11:20332634-20333527;chr11:20332421-20333483,2,3
Tnrc6b,0.5528701081856671,0.685300827,8.573590000000001e-34,chr15:80710445-80711522;chr15:80710445-80711543,chr15:80710304-80711567;chr15:80710530-80711615;chr15:80710374-80711507,2,3
Rab11b,0.0,0.830652456,1.4162400000000001e-34,None,chr17:33760259-33760836;chr17:33759695-33760841,0,2
Ywhag,0.0,0.784180086,6.24751e-35,None,chr5:135934160-135935343,0,1
Ep400,0.0,0.844143957,3.76688e-35,None,chr5:110770336-110771260;chr5:110769953-110771149,0,2
Rnf44,0.0,1.041733525,3.06072e-35,None,chr13:54693827-54694772;chr13:54693691-54694772;chr13:54693485-54694629,0,3
Fyco1,0.0,1.032914602,4.97896e-36,None,chr9:123851595-123852659,0,1
Tom1l2,0.6851902521730698,1.167389097,2.4707e-39,chr11:60352523-60353567;chr11:60352608-60353483;chr11:60352527-60353567,chr11:60352554-60353421;chr11:60352600-60353726;chr11:60352456-60353556,3,3
Mboat7,0.0,1.296356743,5.43037e-42,None,chr7:3692823-3694264;chr7:3692813-3694081,0,2
Ulk1,0.0,1.281104877,4.87577e-43,None,chr5:110809918-110810530,0,1
Dock4,1.0591737102363867,1.004183707,3.6972299999999996e-43,chr12:40445607-40447364;chr12:40445331-40446416,chr12:40445512-40446375;chr12:40445259-40447045,2,2
Aox1,0.0,1.80490024,1.6836e-44,None,chr1:58029500-58030858;chr1:58029514-58031059,0,2
Sec16a,0.0,1.042836885,3.82947e-45,None,chr2:26445054-26446010;chr2:26444928-26446327;chr2:26445117-26445986,0,3
Polr2a,0.0,1.206770251,4.08936e-46,None,chr11:69757657-69759575,0,1
Cic,0.4022274442174187,1.229229867,4.68625e-47,chr7:25267247-25268492;chr7:25267072-25268821;chr7:25267238-25268807,chr7:25267209-25268771;chr7:25267061-25268742;chr7:25267192-25268786,3,3
Zbtb20,0.5941112195201007,0.893503556,4.57556e-51,chr16:42874878-42876402;chr16:42874533-42876913;chr16:42874450-42876569,chr16:42874815-42876491;chr16:42874820-42876895;chr16:42874862-42876723,3,3
Ski,0.0,1.190586108,2.54979e-52,None,chr4:155223064-155223713,0,1
Pkd1,0.0,1.268991191,4.59404e-53,None,chr17:24549644-24550659,0,1
Prrc2a,0.0,1.2012399,4.3647300000000005e-53,None,chr17:35164647-35165558;chr17:35164576-35165743;chr17:35164655-35165624,0,3
Lamc1,0.0,1.080210206,1.14581e-54,None,chr1:153332637-153333289,0,1
Srgap2,0.6009841677635329,0.875124083,2.17465e-59,chr1:131526971-131528032;chr1:131526788-131528036;chr1:131526505-131528462,chr1:131526971-131528066;chr1:131526932-131528325;chr1:131526770-131528547,3,3
Tmem229a,0.391968164819769,0.894547663,3.0120200000000003e-61,chr6:24955664-24956961,chr6:24955818-24956900;chr6:24955708-24956940,1,2
Adamts4,0.0,1.755589893,1.46507e-66,None,chr1:171250306-171251289,0,1
Sesn3,0.477709904953568,1.108451722,1.5489599999999998e-79,chr9:14275470-14276495;chr9:14275291-14276733,chr9:14275710-14276609;chr9:14275289-14276633;chr9:14275676-14276429,2,3
Lpo,0.0,2.218600904,2.3296000000000003e-115,None,chr11:87827899-87829197;chr11:87828035-87829400,0,2
Eldr,0.0,2.143364355,4.1067e-142,None,chr11:16950709-16951462,0,1
