"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","221/6846","454/28891",1.71833954193401e-31,1.01069607602846e-28,4.3344909402278e-29,"104394/12144/219103/13383/13871/83766/71276/19054/216021/22410/26427/116871/20133/18854/102423/29861/229543/404710/12649/381293/12236/20479/77011/75770/13194/26380/20588/234736/12578/12575/20184/12323/18763/108000/12034/12428/66209/12237/66197/18027/12313/235661/30949/67052/330216/20586/20587/12450/218630/218294/28010/100088/105837/105513/66442/15512/21803/75826/107047/12021/18014/19055/11920/107771/15574/116748/12193/107995/268697/71375/12055/57261/21987/12447/109019/26992/11792/15904/381921/19052/76454/68612/13685/83797/108989/228714/636931/15902/104418/12444/54124/52004/12567/68193/56371/382985/17283/320595/229776/69681/13555/108058/53317/227331/69274/12366/68431/20460/17869/13649/68094/12568/72508/13557/50523/67974/20135/20466/18032/12449/75608/233805/319944/208583/14841/66671/75430/12581/69581/12427/66993/21335/17193/19891/66214/208768/18392/66977/231600/53892/83383/54394/68953/22591/20104/56150/22687/14056/52206/70127/59036/72993/50496/77035/114714/12530/52696/56190/16600/17257/26951/24100/50850/12443/327799/12043/19708/12905/12580/16319/15937/70891/93760/67628/67155/56453/216166/67849/218793/18018/12452/18767/27375/239985/240665/76464/59126/11789/16906/214444/52468/67655/26931/22680/52563/17120/12189/67121/67991/17863/13559/76843/227292/13684/69917/12577/52679/246735/12579/116733/235041/380694/72400/12795/270669/67857/13205/12572/59008/19186/107976",221
"GO:0051098","GO:0051098","regulation of binding","200/6846","405/28891",1.16634378905014e-29,6.28853692929533e-27,2.69691423503173e-27,"53313/13345/12144/12064/13871/21844/106763/76500/94245/382035/13728/68040/66743/15364/102122/245000/207259/22034/21943/13211/13666/57320/74256/14339/12578/12575/109689/64143/17927/18763/13063/13180/244667/56334/110351/50754/12313/269587/18049/72278/15184/20586/67443/68010/22418/18012/29816/15368/228775/208727/21803/13667/54126/229906/18005/75826/56541/19055/26903/217356/12933/21849/20660/17300/57261/76089/209354/22751/18741/213539/69952/15902/100017/16848/67819/11804/56637/15213/74025/110213/55944/18508/13592/233532/20194/73181/100732/13555/71890/56273/11538/216869/11816/17869/16795/67557/12568/228788/208650/19053/21812/23988/268970/98053/21814/59035/15387/50755/16969/16842/19712/18121/74585/67459/11938/56424/66993/17127/19401/74117/16878/14958/15525/50873/107975/22761/19384/13589/15289/18997/192656/83383/56274/19165/15516/227120/59036/68576/224647/319757/16600/244058/13665/17257/18441/13198/21808/16476/192170/242466/14251/67238/19016/17701/73205/22113/18591/13848/67025/23802/21665/97165/22437/11555/67177/21951/16976/67784/22166/14694/50505/246179/13017/16413/66603/319939/97112/13838/19268/12028/218914/208266/16971/75687/17702/72400/67704/15257/77006/17756/14462/266692/211286/75613/67087/23994/20615/18627/13806/15205",200
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway","170/6846","323/28891",1.5278367011992e-29,7.60392573596835e-27,3.26103444887539e-27,"14371/18128/14180/21844/100503386/22410/68775/17292/17242/84092/66743/15364/19273/20379/26401/69601/14783/74256/23892/14160/56811/72043/72125/66277/103978/244667/80707/23805/16348/20319/20586/22411/20680/68010/22418/56484/328949/73739/68889/13726/67772/74775/106042/14184/21803/84035/114604/70495/12234/629378/195208/20677/110648/20869/227210/11865/22210/58799/16543/20729/12022/214897/20682/70790/56637/14296/27041/74025/269523/20439/14183/73181/71890/14836/11538/11816/217011/13649/14173/13144/50523/232341/219158/13653/68031/20473/23988/67974/17847/67916/58198/20042/16842/27412/380702/18121/54198/17127/70425/54612/103236/12005/14362/50873/140577/22419/67122/330938/407821/74499/19043/56274/21929/67020/20674/53614/24136/59036/14369/320587/22601/19664/360216/213326/13198/73668/50781/432940/21888/21983/71461/104318/23802/12558/19277/11789/21885/21887/107351/20671/16646/70300/21951/18091/16469/381259/67457/72345/211383/70122/20665/15248/330096/16971/93960/114606/78560/83675/54644/77938/67087/26564/13205/235542/21833/380718/107515/14634/18099/232334",170
"GO:1901873","GO:1901873","regulation of post-translational protein modification","159/6846","295/28891",3.02864118872583e-29,1.39966489221829e-26,6.00263020562503e-27,"11624/216080/67313/59026/381359/18148/72330/382035/18854/229615/76719/116848/22393/57320/12578/109689/56289/56717/59004/12042/107831/80750/14828/67561/50754/78246/24116/18049/14461/20698/217379/105837/18570/106042/14184/228775/208727/21803/75826/11863/13163/57783/15519/140858/26903/12234/107995/20677/12328/73945/22187/14238/21353/22210/16885/20115/22215/332110/67245/19697/213539/67819/224619/56637/56371/93836/269523/20439/18952/71890/15353/239364/230904/216869/18045/20937/12568/14629/208650/232341/13653/21812/23988/80985/66412/233805/56486/83945/230738/56424/226976/18432/64685/12069/12005/50873/57741/81898/192656/231600/56693/101867/12952/21929/56150/19165/225896/26420/22385/211770/17257/13819/66915/100503872/76273/12070/14360/208836/68350/69612/51812/327799/71974/108705/67025/217410/15251/56085/70611/93762/12189/72345/18046/100737/67046/67121/319974/56200/66855/28135/55982/211949/72400/22196/106052/15161/102323/13626/117198/18786/65019/13205/18754/16396/18627/15502/11305/17846/100503670",159
"GO:0060828","GO:0060828","regulation of canonical Wnt signaling pathway","142/6846","251/28891",3.56816052392304e-29,1.53906657265214e-26,6.60047097618324e-27,"14371/18128/14180/100503386/22410/17292/17242/84092/66743/19273/20379/26401/69601/74256/23892/14160/56811/72043/72125/103978/23805/16348/20319/22411/20680/68010/22418/56484/328949/73739/68889/13726/67772/74775/106042/14184/21803/84035/114604/70495/12234/629378/20677/110648/20869/227210/11865/22210/214897/20682/70790/56637/14296/27041/74025/269523/20439/14183/71890/11538/11816/217011/13649/14173/13144/50523/232341/219158/13653/68031/23988/67974/17847/20042/27412/380702/18121/17127/70425/54612/103236/12005/14362/50873/140577/22419/67122/407821/74499/19043/56274/67020/20674/53614/24136/59036/14369/320587/22601/19664/213326/13198/73668/50781/432940/21888/21983/71461/104318/23802/12558/19277/11789/21885/21887/107351/20671/16646/70300/21951/18091/16469/67457/72345/211383/70122/20665/330096/93960/114606/78560/83675/54644/77938/67087/26564/13205/235542/21833/380718/107515/14634",142
"GO:0045786","GO:0045786","negative regulation of cell cycle","197/6846","400/28891",4.85364751522788e-29,1.96269371397027e-26,8.41724661193466e-27,"29857/100342/12144/13383/19054/18159/18148/26427/18854/327762/102423/12399/229543/12649/12236/245000/240843/77011/69601/14365/100683/66131/234736/12578/12575/20184/56710/100502766/22589/66209/12237/11909/235661/30949/67052/12450/20834/28010/105837/66442/17245/14184/21803/18005/11516/107047/12021/21858/239789/66971/11920/15574/15370/12193/107995/268697/71375/17300/633285/57261/109019/20467/225160/26992/381921/76454/21981/69034/18747/108989/12367/104418/52004/12753/12226/68193/56371/17283/14183/107829/192231/13555/11852/227331/69274/12366/20460/231724/217011/13649/20937/12568/50523/219158/27103/28114/11819/12449/233805/208583/14841/75430/12581/17193/11785/16878/216810/19891/66214/14451/208768/18392/268491/66977/231600/83383/19355/54394/57441/68953/22591/101867/20104/18749/329795/268465/19361/12952/21929/56150/20674/17425/14056/59036/22385/14155/52696/56190/16600/20112/26951/71059/24100/12443/52040/327799/12043/65964/12905/12580/16319/15937/229228/382073/622408/56453/27223/66854/15446/76464/11789/101565/214444/52468/93762/67177/21951/26931/22680/68729/211651/17120/12189/105782/12228/67991/11787/76843/227292/69917/12577/218914/52679/12579/208266/116733/235041/72400/106052/14462/12795/270669/226591/235323/28000/225372/107976",197
"GO:0060070","GO:0060070","canonical Wnt signaling pathway","162/6846","305/28891",8.28657531172199e-29,3.15377307452008e-26,1.35253328307735e-26,"14371/18128/14180/100503386/22410/22414/17292/17242/84092/66743/19273/20379/20479/26401/69601/14365/74256/23892/14160/56811/72043/72125/103978/244667/22417/16480/23805/16348/20319/22411/20680/68010/22418/56484/328949/73739/22409/68889/13726/67772/74775/106042/14184/21414/21803/84035/114604/70495/12234/629378/20677/110648/20869/227210/11865/22210/214897/20682/70790/72135/13543/22423/56637/14296/27041/74025/269523/20439/14183/71890/11538/11816/217011/13649/14173/13144/50523/232341/219158/13653/68031/22421/23988/67974/17847/20042/16842/27412/380702/18121/17127/70425/54612/103236/12005/14362/50873/140577/22419/67122/330938/407821/74499/19043/56274/67020/20674/53614/24136/59036/14369/320587/22601/19664/16600/213326/13198/15229/73668/50781/432940/21888/21983/71461/104318/23802/12558/19277/11789/21885/21887/107351/20671/16646/70300/21951/18091/16469/67457/72345/211383/70122/14370/20665/330096/93960/114606/78560/216795/83675/54644/14462/77938/67087/22422/26564/13205/235542/21833/380718/107515/14634",162
"GO:0051962","GO:0051962","positive regulation of nervous system development","193/6846","391/28891",1.23359024249713e-28,4.43407159386469e-26,1.90160460773242e-26,"12064/18128/330814/330790/21844/18039/272381/18846/17242/13047/98733/58234/70237/13845/19699/14843/14365/18189/13489/12032/12361/56717/12323/242384/107831/71228/14375/13385/50913/270190/244667/56381/27374/229715/13631/14025/57434/12017/20732/18049/192167/59041/18205/16979/16975/22418/19317/26364/83431/230775/140570/66713/11418/23999/21803/269878/20312/18212/378937/12561/22339/13844/99633/20869/18844/211323/15904/16885/24001/76454/23873/78748/67287/19697/15902/17760/108138/11423/83701/65945/56637/545156/22341/18508/19744/12168/13555/71955/11538/53605/11816/76965/17869/18708/13649/14173/16542/13003/12404/108100/18606/14580/74006/22421/75788/20681/74053/56320/67095/18429/18121/18222/13654/65086/66993/18080/74117/213084/16878/18213/22352/211187/18997/330938/20320/14297/20563/13389/387216/20674/24136/11858/12767/665113/12724/319757/17257/12405/235611/17344/19266/399558/21907/104156/20315/17380/19047/30948/73940/21983/71653/19016/17096/319583/382253/433485/14254/15251/13169/319740/18420/210933/20720/67784/238276/242620/14912/18472/69807/17863/74342/20665/13838/19268/17118/18186/217715/66515/13690/68585/16971/114606/56711/230598/245886/70083/20354/26395/17755/386750/28000/14634/15205",193
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","210/6846","440/28891",1.62068375743256e-28,5.51885468978352e-26,2.36682680586828e-26,"227715/237221/20227/13871/272009/234384/18148/68040/101612/20638/50783/67920/67996/245000/13211/66596/20643/12578/98956/245474/78394/72344/229317/67493/20630/26905/320632/69821/68184/231386/20901/27374/75062/20116/67040/68147/70078/16785/66583/19942/100043813/54127/320790/225348/78581/218629/52535/56417/27207/15519/11920/195434/207704/56844/110816/67134/53975/66164/108707/213895/217869/66405/20115/69163/74200/72554/68979/20055/106298/99480/194268/20085/229937/53890/76130/52513/66254/224619/103573/216156/59028/68193/102614/78688/215194/223499/55944/68879/68011/101739/217011/27998/68966/239528/23992/20937/83485/267019/72515/217038/22121/107094/20088/20042/67459/72284/66362/107686/18432/67014/210510/216987/208768/57741/15278/19384/56321/81898/66978/76183/19988/66282/101867/20104/13669/448850/11837/57905/67959/215193/118451/18572/21357/52202/192159/105372/72181/52530/227522/217995/69499/50911/14007/12181/98985/69126/19428/226982/68533/17975/27966/20826/17089/16418/66249/227656/208366/72193/100609/67025/28109/14000/216119/67223/24015/52705/68731/27275/64930/66161/103136/67619/72544/59014/269254/66603/20091/20044/56200/20103/77591/97112/57837/67148/224481/234344/75422/78796/28035/67332/76846/18114/214150/55989/72171/27993/18813/13205/106338/74097/27981/236511/28000/208144/100503670/20222/75593/70285/110954/68052",210
"GO:0010639","GO:0010639","negative regulation of organelle organization","191/6846","387/28891",2.41917966288192e-28,7.82604620942302e-26,3.35629346913513e-26,"243961/319801/72404/59026/18148/99512/22224/93734/17318/18854/21754/12649/227753/12236/58234/26401/14787/11740/22594/98956/56717/19230/100502766/211673/17758/50768/21872/18706/22589/56363/12237/16905/109242/72113/12721/235661/30949/78246/23805/67052/108903/76709/52428/320827/105837/66442/29816/17245/21973/14184/105675/23999/54126/19240/107047/11920/26903/107995/268697/22042/72836/66092/235431/15081/76983/225288/231637/108989/29877/108138/67846/16800/102774/12562/78688/56226/14183/110380/216742/216869/14489/80880/18708/59030/15078/14629/74006/68178/268970/12449/56320/14841/75430/20333/242553/16878/216810/50873/237860/13430/13589/66977/51800/233977/15381/19355/14297/20563/329795/12386/74187/208177/15185/56150/74201/14248/74392/22385/22601/13829/22003/52696/20112/17216/66774/72119/17754/26951/68350/51812/13870/327799/74374/108689/234854/26949/16319/15937/63985/21749/382073/19016/68732/27360/78926/17152/70997/78798/13609/16886/70640/208158/76464/11789/101565/214444/107351/93762/65970/21951/22680/68729/18753/17120/50505/20024/67046/13548/218914/102098/210789/94090/213027/235041/68041/18693/72400/17756/77832/225115/269702/52184/245886/12631/67588/227634/17755/80986/19062/56208/234695",191
