chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,exo_replicates_with_signal,endo_replicates_with_signal,exo_replicate_signals,endo_replicate_signals,region_length,cpg_length,cpg_score,cpg_name,exo_replicates_with_peaks,endo_replicates_with_peaks,exo_peak_scores_by_rep,endo_peak_scores_by_rep,region_start,region_end
chr17,30901532,30902025,14.176220552956275,10.230537349070232,1.3856770245059151,0.8,both,endo_only,False,3,2,"13.209831493297202,10.167152489606316,19.15167767596531","5.500012555613263,14.961062142527203",2749,493,CpG:,820,1,2,8.86897,5.02512;4.25181,30901283,30904032
chr18,76059471,76059802,36.00764354847965,26.2216826949108,1.3732011010669485,0.2,both,endo_only,False,3,2,"37.82524395719947,38.871069140027856,31.326617548211637","22.95014838210675,29.493217007714843",12733,331,CpG:,1165,1,2,6.15686,6.44701;8.6479,76052153,76064886
chr2,152092956,152093939,16.288747181291104,12.111484239003524,1.3449009931280944,0.2,both,endo_only,False,3,2,"13.02053373824816,19.34755787856418,16.498149927060975","11.940942403158484,12.282026074848567",2728,983,CpG:,1745,1,2,3.81887,6.91068;3.91728,152091046,152093774
chr17,22876643,22876863,365.9995988501843,274.2542646287842,1.334526554566368,0.8,both,endo_only,False,3,2,"298.26811454260064,158.95078399474883,640.7798980132035","101.90631038298102,446.6022188745874",1852,220,CpG:,759,0,2,,103.851;112.719,22876250,22878102
chr3,55055046,55055673,13.048908607647649,9.846672985138682,1.3252099087013465,0.8,both,endo_only,False,3,2,"9.147126756505928,8.523706487895023,21.47589257854199","13.93592903662307,5.757416933654291",2470,627,CpG:,1005,1,2,4.01197,4.78899;3.25348,55053958,55056428
chr5,24598539,24598982,48.53000298524293,36.62631795922839,1.3250035954819557,0.4,both,endo_only,False,3,2,"51.345008402672114,36.62946631091898,57.61553424213769","27.670338191397853,45.582297727058915",4653,443,CpG:,772,1,2,6.31518,9.98933;7.75567,24594545,24599198
chr11,98960434,98961001,49.61778034712537,37.60842622222864,1.31932615456795,0.2,both,endo_only,False,3,2,"47.91144966992863,49.50882808823838,51.4330632832091","37.313527767578314,37.90332467687898",15065,567,CpG:,1340,1,2,7.55604,8.68278;5.75462,98958870,98973935
chr1,6359082,6359442,13.055157114139556,9.957235964395666,1.311122600772062,1.0,both,endo_only,False,3,2,"25.947494654361805,7.798288747129319,5.4196879409275445","6.318644638285259,13.595827290506074",2046,360,CpG:,633,1,2,3.38918,4.15872;4.66264,6358987,6361033
chr8,122282660,122282861,175.58126911275977,135.48357465854355,1.295959820629723,0.8,both,endo_only,False,3,2,"143.23820124236335,156.86401162593768,226.64159446997826","97.83202002576847,173.13512929131863",4702,201,CpG:,1517,0,2,,33.2235;26.3204,122280862,122285564
chr2,25863731,25864418,53.36196662877969,42.4683234789518,1.2565122015053645,0.8,both,endo_only,False,3,2,"45.71820423243432,45.96298179786299,68.40471385604177","33.90116339981889,51.035483558084714",3580,687,CpG:,782,1,2,6.09882,10.1995;7.65069,25862189,25865769
chr13,55717892,55718104,15.119105203243612,12.472663187818462,1.21217938587565,0.8,both,endo_only,False,3,2,"1.8881742477416992,17.817614891415552,25.651526470573582","14.82505668588236,10.120269689754563",1470,212,CpG:,1010,1,2,3.49573,8.91836;2.574,55717832,55719302
chr7,44591028,44591808,59.883383816209765,49.63211444863927,1.2065450864113154,0.8,both,endo_only,False,3,2,"42.76380035096603,45.313072505110966,91.5732785925523","53.169091338894695,46.09513755838384",5811,780,CpG:,925,1,2,23.7106,13.9555;15.0401,44588851,44594662
chr8,70373407,70373656,12.651894181593509,10.492360424561577,1.2058196315842027,0.8,both,endo_only,False,3,2,"10.900121028072009,10.59261369018103,16.462947826527483","7.38915043492471,13.595570414198441",4836,249,CpG:,1121,1,2,5.52244,3.70072;5.23307,70370908,70375744
chr11,76998402,76998840,17.649419806740763,14.669175956873438,1.2031636854468906,0.8,both,endo_only,False,3,2,"17.564034062379072,21.923982217917853,13.460243139925366","18.631799463150628,10.706552450596249",5229,438,CpG:,1172,1,2,3.74047,8.51417;4.89322,76995651,77000880
chr1,40325809,40326019,13.92627535974082,11.584821414640803,1.2021139438663166,0.8,both,endo_only,False,3,2,"7.227682960516027,18.00422764004878,16.54691547865765","9.460682188070862,13.708960641210746",2643,210,CpG:,892,1,2,3.49471,4.23244;5.35346,40324506,40327149
chr5,146584687,146585123,18.20729195767907,15.469059303972372,1.1770135209840158,0.8,both,endo_only,False,3,2,"16.399321993065488,11.514279092573057,26.70827478739866","10.278948464780855,20.659170143163887",2512,436,CpG:,1703,1,2,3.65673,9.21342;6.3981,146583078,146585590
chr10,80322999,80323834,24.11459580466907,20.509898086456023,1.175754053141466,0.8,both,endo_only,False,3,2,"21.01997586822993,32.23746495090881,19.08634659486848","26.029987344065226,14.989808828846828",4736,835,CpG:,1197,1,2,3.87286,7.45931;5.01446,80320314,80325050
chr3,88022523,88024078,10.157130587395974,8.681329262584667,1.1699971605928838,0.8,both,endo_only,False,3,2,"7.427378562266584,8.3174240146164,14.726589185304938","12.779913983601448,4.582744541567885",3961,1555,CpG:,1256,1,2,4.78695,7.71897;6.11078,88021643,88025604
chr5,107721093,107722006,10.332712998592386,9.115757132307069,1.1335002511170813,1.0,both,endo_only,False,3,2,"15.721798684714344,8.873853300053872,6.40248701100894","11.49492386478789,6.736590399826248",2154,913,CpG:,1406,1,2,3.22983,4.22392;3.79943,107720679,107722833
chr4,133220775,133221025,6.57499739448017,5.801383196988846,1.13334995659188,1.0,both,endo_only,False,3,2,"14.282121664700023,5.243550194775994,0.19932032396449126","6.947440828231567,4.655325565746124",1496,250,CpG:,1601,1,2,2.54123,3.4656;2.4803,133219695,133221191
chr5,135089688,135090050,12.49619015582322,11.067613669458378,1.1290771912564197,1.0,both,endo_only,False,3,2,"4.486897132118341,20.51431248998884,12.487360845362474","5.428499638126587,16.70672770079017",1970,362,CpG:,1615,1,2,3.09341,3.46609;4.92028,135088730,135090700
chr16,22161353,22163364,14.059253805812522,12.496303883691,1.1250729765111858,1.0,both,endo_only,False,3,2,"10.470586223181876,5.10842378763077,26.598751406624917","16.327902033022756,8.664705734359243",3947,2011,CpG:,754,1,2,"6.39343,7.90026",6.49607;7.22466,22160510,22164457
chr5,100719409,100719687,18.139923666975736,16.146923540056818,1.1234290929770456,1.0,both,endo_only,False,3,2,"28.697014862389068,8.420946834614885,17.30180930392326","20.86031889729799,11.433528182815643",2183,278,CpG:,1353,1,2,3.92541,6.86527;4.47256,100718300,100720483
chr5,31068455,31069056,18.042681419399944,16.123458341220054,1.1190329665983223,1.0,both,endo_only,False,3,2,"12.502968830511577,25.9184177715995,15.706657656088751","14.754479159725149,17.492437522714958",4052,601,CpG:,822,1,2,5.08125,6.58867;5.67652,31066675,31070727
chr17,34957341,34959315,63.27487335321202,57.043943985049225,1.1092303395045031,0.8,both,endo_only,False,3,2,"45.72595774202042,37.11171069283101,106.98695162478465","57.78682498844791,56.30106298165053",1314,1974,CpG:,851,0,2,,7.81036;8.08555,34959238,34960552
chr2,144330649,144332212,20.44278872675366,19.025051823744537,1.074519476537756,0.8,both,endo_only,False,3,2,"9.667921860590049,13.577981621661085,38.08246269800984","30.515732866652467,7.534370780836606",2256,1563,CpG:,1686,1,2,5.05532,10.4246;5.41157,144330422,144332678
chr9,108110489,108110745,15.103164885957028,14.09587615461492,1.0714598170623348,1.0,both,endo_only,False,3,2,"10.452012392063047,16.34776667265032,18.509715593157715","16.657104795844994,11.534647513384844",4020,256,CpG:,1409,1,2,3.51425,10.0502;5.39242,108109488,108113508
chr15,82211859,82212960,15.96447200489808,14.917833533133328,1.0701602192731343,0.8,both,endo_only,False,3,2,"14.733513869467638,13.302230810847806,19.85767133437879","10.173181796495893,19.662485269770762",1582,1101,CpG:,1212,0,2,,4.67312;3.4494,82212068,82213650
chr16,92498351,92499233,13.044011487945625,12.7308620154644,1.0245976644865709,1.0,both,endo_only,False,3,2,"11.62921772493114,10.054809585979193,17.448007152926536","2.9892894387102755,22.472434592218523",3348,882,CpG:,1290,1,2,5.50276,4.36069;5.42375,92497745,92501093
chr3,73057410,73057792,17.024764225767342,16.803060070612872,1.0131942726040843,1.0,both,endo_only,False,3,2,"13.256039814919419,20.633186167185237,17.18506669519737","19.137029689974725,14.46909045125102",2093,382,CpG:,1142,1,2,4.56181,3.9592;4.85316,73056556,73058649
chr15,84406549,84406755,24.552017930097254,24.43383663651205,1.0048367882352378,1.0,both,endo_only,False,3,2,"24.905015323385804,22.347127325478112,26.40391114142785","21.818322355051468,27.049350917972635",8094,206,CpG:,1228,1,2,3.31439,6.0434;4.46951,84402079,84410173
chr7,99248980,99249269,24.545548724904624,24.55039513459788,0.9998025934138052,0.8,both,endo_only,False,3,2,"27.25766120727221,20.225480458653756,26.1535045087879","20.46533775387702,28.635452515318736",4513,289,CpG:,1342,1,2,5.16701,11.9361;7.38864,99247621,99252134
chr18,38189421,38189937,32.02613725902947,32.376024757078525,0.9891930062237626,1.0,both,endo_only,False,3,2,"21.25084141805977,30.97062513160275,43.856945227425875","27.90464168598894,36.847407828168116",6464,516,CpG:,876,1,2,5.51976,9.93607;5.95406,38187732,38194196
chr9,63138719,63139003,12.960858565925102,13.250258165336298,0.9781589463540954,0.8,both,endo_only,False,3,2,"7.383678971870055,25.388592682711856,6.110304043193396","16.770520898666664,9.729995432005932",1891,284,CpG:,1066,0,2,,6.49751;2.94098,63137080,63138971
chr17,28689641,28689865,65.48048368608967,67.0307812240423,0.9768718563375988,0.8,both,endo_only,False,3,2,"59.55982482510427,61.04200167280739,75.83962456035738","63.46161893175922,70.59994351632537",3865,224,CpG:,803,0,2,,14.9328;12.3871,28688750,28692615
chr12,80339782,80340081,17.173127300062298,17.674115938168985,0.9716541048016578,0.8,both,endo_only,False,3,2,"20.948485108216605,25.21292764831472,5.357969143655565","7.817348338939525,27.530883537398445",2160,299,CpG:,1197,1,2,4.25696,5.37168;5.38269,80339106,80341266
chr9,54981330,54981615,12.219946790217444,12.60978152826162,0.9690847349598832,1.0,both,endo_only,False,3,2,"13.692898451399596,15.966783812318862,7.000158106933874","11.079567855204047,14.139995201319197",3918,285,CpG:,1004,1,2,3.1658,4.67856;5.23919,54979949,54983867
chr10,67126768,67127451,20.428926016330053,21.22291599368561,0.9625880827313364,1.0,both,endo_only,False,3,2,"18.252519898390226,10.697036519930673,32.33722163066926","27.34438700656013,15.101444980811097",2151,683,CpG:,1097,1,2,6.78398,6.22697;5.67955,67125570,67127721
chr6,51432616,51433450,13.959390227663548,14.527327485815611,0.9609055926696364,0.8,both,endo_only,False,3,2,"21.043770018649592,10.279432448014582,10.554968216326472","17.215153444058835,11.839501527572388",4370,834,CpG:,977,1,2,3.47929,8.28901;7.04294,51430547,51434917
chr1,187608997,187609682,14.707472303952924,15.376744342135511,0.9564750493803398,1.0,both,endo_only,False,3,2,"11.998365569332803,21.668453717144327,10.455597625381644","5.2564909736119665,25.496997710659056",4263,685,CpG:,2016,1,2,4.65315,8.79207;4.99397,187608105,187612368
chr6,84135481,84135753,30.9532066613813,32.37741023811358,0.956012430696024,1.0,both,endo_only,False,3,2,"20.517320801940144,28.249497387982622,44.09280179422113","25.967034383790907,38.787786092436264",1896,272,CpG:,1226,1,2,5.37738,8.83414;9.09908,84134695,84136591
chr19,45150575,45151614,10.672655401863016,11.246866526440078,0.9489447906910642,1.0,both,endo_only,False,3,2,"7.022384575301525,9.21398634876137,15.781595281526155","2.4133215908910715,20.080411461989083",4080,1039,CpG:,929,1,2,2.49106,3.29232;4.71986,45150769,45154849
chr13,23745100,23745491,147.79259030054894,158.49094890213382,0.932498614743035,1.0,both,endo_only,False,3,2,"148.45725830043145,101.16572204013589,193.75479056107952","181.3742602745999,135.60763752966773",2072,391,CpG:,766,1,2,21.6005,22.2735;21.4565,23745360,23747432
chr10,79819404,79819707,20.14863248556063,21.720013058337948,0.9276528716370136,1.0,both,endo_only,False,3,2,"11.125886525441132,34.18712158688664,15.132889344354119","36.227206887809956,7.2128192288659365",6572,303,CpG:,1193,1,2,4.30844,9.50768;4.1782,79818095,79824667
chr4,123342303,123343090,15.037721860406648,16.414291241374855,0.9161359232192527,1.0,both,endo_only,False,3,2,"23.222658213134597,13.773478312395198,8.117029055690146","19.311600515769385,13.516981966980321",4308,787,CpG:,1526,1,2,3.5957,7.9975;7.7039,123340589,123344897
chr6,23253713,23254096,19.931219469213712,21.86693478470117,0.9114775191609502,1.0,both,endo_only,False,3,2,"18.778399984601517,7.767110861523051,33.24814756151656","11.494783152996654,32.23908641640569",568,383,CpG:,762,1,2,5.52244,4.85217;4.2543,23253509,23254077
chr1,33908265,33908468,26.37809999574107,28.95394738720482,0.9110364000798712,1.0,both,endo_only,False,3,2,"22.381116630387133,26.138047604933003,30.61513575190309","14.764497174365275,43.143397600044366",3562,203,CpG:,843,1,2,5.89955,12.9411;7.10611,33906171,33909733
chr17,36083218,36084219,13.789820437992049,15.287205459772672,0.9020497876004284,0.8,both,endo_only,False,3,2,"10.833337008084222,24.726962396771846,5.809161909120076","19.371021565473463,11.20338935407188",686,1001,CpG:,860,1,2,2.92791,4.332;2.70579,36083329,36084015
chr17,47468357,47468798,10.365790030007084,11.592419123614135,0.8941869612781367,1.0,both,endo_only,False,3,2,"9.589511625472424,13.738829063317182,7.769029401231651","17.5489176030081,5.635920644220174",2017,441,CpG:,947,1,2,3.57118,5.73277;6.96862,47467352,47469369
chr18,64339369,64339594,17.337145080687748,19.82274064787609,0.8746088842435283,0.8,both,endo_only,False,3,2,"24.11372060418601,11.800275919031316,16.097438718845915","12.46494628389748,27.18053501185471",2777,225,CpG:,1075,1,2,10.0791,7.50763;6.28035,64338001,64340778
chr15,27747663,27748022,14.822572626836736,16.990314469051363,0.872413082985411,1.0,both,endo_only,False,3,2,"18.462945273175336,12.66110692931058,13.343665678024292","22.960739700317383,11.019889237785339",5000,359,CpG:,796,1,2,3.18413,9.33202;3.83618,27743996,27748996
chr2,145674929,145675375,16.296688932906704,18.68624435743357,0.8721222210938137,0.8,both,endo_only,False,3,2,"24.0510362375899,10.019492249834574,14.81953831129564","17.961009318104683,19.411479396762445",2648,446,CpG:,1696,1,2,3.42605,7.05604;5.0168,145673134,145675782
chr9,31131286,31131913,21.908743268906225,25.1976601233477,0.8694753068998647,1.0,both,endo_only,False,3,2,"18.82290835489863,25.122299622611326,21.781021829208722","32.65574693249742,17.739573314197976",2661,627,CpG:,822,1,2,3.41825,8.76519;5.51195,31129728,31132389
chr5,139392827,139393030,40.62135918662995,47.35608095506527,0.8577854916916438,0.8,both,endo_only,False,3,2,"31.46333966331,25.47711475596251,64.92362314061734","51.37606153087717,43.336100379253374",2453,203,CpG:,1648,1,2,4.89162,11.9248;5.5841,139390988,139393441
chr19,59169115,59170481,29.12844485815521,34.06326497530424,0.8551278005579688,0.8,both,endo_only,False,3,2,"20.35078004747204,26.952401053561825,40.08215347343177","30.793734749566074,37.332795201042416",8184,1366,CpG:,1036,1,2,"4.56416,3.30702",7.29917;5.73633,59166101,59174285
chr11,22860385,22860709,31.47939458786816,37.07494837023092,0.8490745360860522,0.4,both,endo_only,False,3,2,"30.64746115890653,22.45426868213611,41.33645392256183","42.64780313905442,31.502093601407427",6864,324,CpG:,759,1,2,5.002,11.5874;5.57138,22856909,22863773
chr14,54632065,54632542,15.86329669877152,18.6969136999396,0.8484446659676654,0.8,both,endo_only,False,3,2,"19.51892764803028,20.786145073294062,7.284817374990216","23.56875661241553,13.825070787463668",1859,477,CpG:,1001,1,2,3.37392,7.05345;3.16166,54630700,54632559
chr6,125380286,125380628,16.10164760062591,19.05482817779322,0.8450166776833501,1.0,both,endo_only,False,3,2,"20.204245158959928,13.05853494841007,15.042162694507729","8.557547268979544,29.552109086606894",3830,342,CpG:,1541,1,2,2.50523,5.23517;4.78049,125377437,125381267
chr15,82987200,82987524,39.74721329536046,47.60835781393837,0.8348788977494117,0.8,both,endo_only,False,3,2,"41.13388639448795,40.087526613841426,38.020226877752","39.69908897223166,55.51762665564509",2984,324,CpG:,1218,1,2,8.3069,9.96504;8.91415,82986949,82989933
chr2,164949194,164949837,17.567104588020282,21.487791081282595,0.8175388769170643,0.8,both,endo_only,False,3,2,"12.090912694937275,16.616142972932,23.994258096191565","22.292497547868297,20.68308461469689",4581,643,CpG:,1843,1,2,4.03596,5.89214;6.59935,164946845,164951426
chr8,108704636,108705080,20.47427249032943,25.28357058813446,0.80978564396035,0.4,both,endo_only,False,3,2,"24.9886053269461,18.801449472743524,17.632762671298668","24.73932318921949,25.82781798704943",2745,444,CpG:,1414,0,2,,12.2266;4.06956,108703401,108706146
chr9,24780994,24781291,24.567352526670067,30.44796787512225,0.8068634539890924,0.8,both,endo_only,False,3,2,"16.84868956118587,29.184972082519007,27.66839593630533","40.114961260187584,20.780974490056916",2919,297,CpG:,774,1,2,5.0005,9.65939;5.41814,24780137,24783056
chr5,110979127,110979831,26.80797722369813,33.37345714094183,0.8032724062863326,0.8,both,endo_only,False,3,2,"29.15785058660864,17.791786253260927,33.47429483122483","44.248245980790216,22.498668301093446",3956,704,CpG:,1431,1,2,5.54978,8.95834;6.32545,110977326,110981282
chr4,123663954,123665073,38.04011956741852,47.56008297667736,0.799832910007174,0.4,both,endo_only,False,3,2,"30.776783626129326,34.70182343740941,48.64175163871681","60.20980741422373,34.910358539131",5371,1119,CpG:,1528,1,2,7.61449,8.84874;8.48686,123662899,123668270
chr11,103749374,103749942,16.61140619979299,20.920548127984823,0.7940234690874273,1.0,both,endo_only,False,3,2,"16.96458662457721,14.541991709654196,18.327640265147565","13.382927388756569,28.45816886721308",1891,568,CpG:,1376,0,2,,4.14786;5.60587,103748893,103750784
chr8,68880647,68880854,19.80430391932396,25.3934219850121,0.7798989805711498,0.8,both,endo_only,False,3,2,"25.044519518446357,15.673617746800144,18.69477449272538","17.271011741171293,33.51583222885291",2876,207,CpG:,1110,1,2,5.15813,4.51658;6.15094,68879129,68882005
chr5,27049331,27049871,14.519888552760472,18.63743634186288,0.7790711279397541,0.4,both,endo_only,False,3,2,"21.066276454836945,13.280496217735106,9.212892985709368","22.207289180144343,15.0675835035814",4306,540,CpG:,791,1,2,3.79816,8.0251;5.88153,27048092,27052398
chr3,89393042,89393245,59.59801554638369,76.62283548077107,0.7778101028555664,0.4,both,endo_only,False,3,2,"41.59702278843863,55.386868840273166,81.81015501043926","70.55302687753854,82.6926440840036",7952,203,CpG:,1267,1,2,8.9432,16.6718;14.7639,89387478,89395430
chr13,54765863,54766389,21.033877381872227,27.228499260066123,0.7724949208905151,0.8,both,endo_only,False,3,2,"17.309273130589045,13.766641527938395,32.02571748708924","37.2679492837519,17.18904923638034",1706,526,CpG:,1002,1,2,3.76651,10.3968;5.77611,54765817,54767523
chr7,13037443,13037683,145.20665069084384,188.85624785625328,0.7688739575159143,0.4,both,endo_only,False,3,2,"134.66506474899035,116.45837828102758,184.49650904251357","171.7131890854593,205.99930662704728",1475,240,CpG:,684,0,2,,16.7262;27.2494,13037484,13038959
chr9,56619643,56620178,16.159399742530596,21.11590810922476,0.7652713612383619,0.4,both,endo_only,False,3,2,"11.104515956059256,13.584289667116328,23.789393604416208","27.230906582559317,15.000909635890201",5044,535,CpG:,1016,1,2,3.5068,7.4163;5.8926,56616452,56621496
chr15,7815557,7815869,24.14386594351912,31.749206214739807,0.7604557348684247,0.4,both,endo_only,False,3,2,"38.00980925662323,17.67730137380132,16.744487200132806","24.930681358355034,38.56773107112458",3029,312,CpG:,644,0,2,,7.39398;5.84567,7813257,7816286
chr11,94491101,94491484,11.108265580743874,14.710244956365518,0.7551380424795053,0.8,both,endo_only,False,3,2,"8.103995829992586,12.33621345839166,12.884587453847375","11.569339463749158,17.851150448981876",3293,383,CpG:,1305,1,2,2.89833,6.88774;4.82132,94488883,94492176
chr14,65077415,65077777,15.574000819496357,20.810742509455338,0.7483635344784227,0.8,both,endo_only,False,3,2,"5.423475675132987,19.083866606775103,22.21466017658098","31.546577160345933,10.074907858564746",3434,362,CpG:,1081,1,2,3.39903,7.94125;6.08769,65075462,65078896
chr8,111337878,111338111,20.78792284516315,28.19302294597305,0.7373428129718309,0.8,both,endo_only,False,3,2,"26.96014772635693,9.195280653338251,26.208340155794257","33.20645653033614,23.179589361609974",1133,233,CpG:,1434,1,2,2.97613,5.41996;5.86947,111337575,111338708
chr7,80026984,80027571,58.38953293760617,80.64636522233485,0.7240193997166695,0.2,both,endo_only,False,3,2,"62.64311767369509,58.75159639567137,53.77388474345207","80.35994426012039,80.93278618454933",3200,587,CpG:,1195,0,2,,14.0436;7.47618,80024680,80027880
chr3,8963997,8964216,16.035607617108834,22.304393749474684,0.7189438904828563,0.8,both,endo_only,False,3,2,"11.890509270129325,12.054812153434,24.161501427763177","23.7834402528877,20.825347246061664",3291,219,CpG:,653,1,2,3.86897,7.91529;5.11875,8962066,8965357
chr11,96849886,96850425,19.929809057244245,27.826183420718344,0.7162250300702485,0.2,both,endo_only,False,3,2,"19.97735282343378,16.116525953558018,23.695548394740932","27.97368226357556,27.67868457786113",1417,539,CpG:,1323,1,2,3.17775,6.35789;4.50386,96849636,96851053
chr1,87853349,87853897,28.38264656387521,40.59887318309144,0.699099367508948,0.2,both,endo_only,False,3,2,"34.33813192978064,28.8157605247871,21.994047237057885","45.30990269268277,35.8878436735001",3371,548,CpG:,1255,1,2,8.67998,8.33464;6.73334,87852494,87855865
chr12,111318562,111318858,21.307076909785724,30.49357020084961,0.6987399891007865,0.2,both,endo_only,False,3,2,"17.80927484117931,26.596237804249714,19.51571808392815","32.52034031387196,28.466800087827256",8577,296,CpG:,1434,1,2,5.47508,11.3428;4.43678,111317863,111326440
chr5,37821292,37821605,31.72117866172356,45.498568958088825,0.6971906894685773,0.2,both,endo_only,False,3,2,"31.73666411871368,22.67223774979095,40.754634116666054","44.66455829010761,46.332579626070036",3861,313,CpG:,873,1,2,3.55815,13.1188;7.9856,37821025,37824886
chr6,6880043,6880255,32.391897366730426,47.17354447351336,0.6866538804375317,0.2,both,endo_only,False,3,2,"34.29991849256472,34.58124521019732,28.294528397429232","44.06743416474366,50.27965478228305",6973,212,CpG:,637,0,2,,8.69177;9.57543,6878567,6885540
chr11,95223393,95223687,11.442852540093307,16.836993265645127,0.6796256528439528,1.0,both,endo_only,False,3,2,"20.3176777011929,9.674237299458603,4.336642619628421","2.6026682675406394,31.071318263749614",2514,294,CpG:,1311,1,2,3.41888,2.25264;6.10369,95222315,95224829
chr13,94882780,94886009,6.114340448797254,9.256829883250017,0.6605220713692695,0.5,exo_only,endo_only,False,3,1,"3.881124835854612,5.040628374470353,9.421268136066796","0.0,18.51365976650003",2321,3229,CpG:,1308,1,2,5.20794,9.76791;4.67159,94883828,94886149
chr10,93845880,93846433,11.454827198533794,17.34604802075929,0.6603710069766301,1.0,both,endo_only,False,2,2,"10.790151272870862,23.57433032273052,0.0","27.19101843730436,7.501077604214218",1198,553,CpG:,1300,1,2,3.91659,11.3252;2.70579,93845843,93847041
chr6,23247534,23249805,7.34550223713472,11.150563608943008,0.658756139576968,0.4,both,endo_only,False,3,2,"4.440869008837723,4.755563533212256,12.840074169354176","9.219707942572166,13.08141927531385",2540,2271,CpG:,762,1,2,4.61474,"7.45104;4.22706,4.96061",23247527,23250067
chr18,35860500,35860796,22.04426132668522,33.60042961084731,0.6560708176055171,0.4,both,endo_only,False,3,2,"17.80437783656823,18.18880770841736,30.139598435070074","42.60402161140801,24.596837610286606",3190,296,CpG:,858,0,2,,9.85273;5.64783,35860087,35863277
chr6,84587610,84588092,18.96910319656578,28.964841401247966,0.6549009861227303,1.0,both,endo_only,False,3,2,"17.784164180875546,19.391060000649503,19.732085408172285","44.717356095648114,13.21232670684782",6594,482,CpG:,1230,0,2,,8.89651;5.63394,84582725,84589319
chr15,100870918,100871460,15.08595582052167,23.29406336817796,0.647630925617323,0.2,both,endo_only,False,3,2,"17.787134423101996,15.474455347825819,11.996277690637198","28.053304544466727,18.53482219188919",2881,542,CpG:,1354,0,2,,5.83416;4.96863,100870385,100873266
chr17,15830543,15831266,15.498686968263584,24.067948204049607,0.6439554729329116,1.0,both,endo_only,False,3,2,"10.836902073289325,18.185814472759873,17.473344358741553","40.46315021809961,7.672746189999609",2521,723,CpG:,705,1,2,3.48345,12.8147;2.28489,15829045,15831566
chr7,16312088,16312450,29.690070537804832,46.42434235956059,0.6395366962412228,0.2,both,endo_only,False,3,2,"26.57860136755167,27.846986298556914,34.644623947305924","55.93500033364916,36.913684385472024",8223,362,CpG:,709,1,2,5.37393,9.21327;12.67,16308491,16316714
