chr,peak_start,peak_end,gene_name,signalValue,source,regulation,log2FoldChange,padj,binding_category
chr1,135731651,135732688,Csrp1,{1636: 20.2028},['exo'],down,-0.658946361,1.00543e-13,exo-only
chr1,135733388,135736275,Csrp1,{1637: 47.004},['exo'],down,-0.658946361,1.00543e-13,exo-only
chr1,135738411,135740041,Csrp1,{1638: 18.0555},['exo'],down,-0.658946361,1.00543e-13,exo-only
chr1,135740728,135741665,Csrp1,{1639: 42.1069},['exo'],down,-0.658946361,1.00543e-13,exo-only
chr1,135743217,135743784,Csrp1,{1640: 7.31173},['exo'],down,-0.658946361,1.00543e-13,exo-only
chr1,135752673,135753205,Csrp1,{1641: 18.9508},['exo'],down,-0.658946361,1.00543e-13,exo-only
chr1,136497773,136498439,Kif14,{1669: 15.3192},['exo'],down,-0.673698304,1.89014e-20,exo-only
chr1,136518973,136519477,Kif14,{1670: 8.89501},['exo'],down,-0.673698304,1.89014e-20,exo-only
chr1,136521206,136521779,Kif14,{1671: 17.6509},['exo'],down,-0.673698304,1.89014e-20,exo-only
chr1,136524546,136525960,Kif14,{1672: 15.1545},['exo'],down,-0.673698304,1.89014e-20,exo-only
chr1,136524546,136526269,Kif14,{1673: 15.7369},['exo'],down,-0.673698304,1.89014e-20,exo-only
chr1,136526753,136527756,Kif14,{1674: 15.4839},['exo'],down,-0.673698304,1.89014e-20,exo-only
chr1,137897995,137899251,Gm4258,{1685: 33.6004},['exo'],down,-0.607942522,9.47493e-07,exo-only
chr1,137899913,137901439,Gm4258,{1686: 20.5903},['exo'],down,-0.607942522,9.47493e-07,exo-only
chr1,137925774,137927278,Gm4258,{1687: 6.2672},['exo'],down,-0.607942522,9.47493e-07,exo-only
chr1,137927484,137929127,Gm4258,{1688: 22.0844},['exo'],down,-0.607942522,9.47493e-07,exo-only
chr1,137929450,137930348,Gm4258,{1689: 20.8408},['exo'],down,-0.607942522,9.47493e-07,exo-only
chr1,137966079,137966998,Gm4258,{1690: 15.668},['exo'],down,-0.607942522,9.47493e-07,exo-only
chr1,138496264,138496842,Nek7,{1693: 5.95451},['exo'],down,-0.578833567,1.08116e-19,exo-only
chr1,138510873,138511522,Nek7,{1694: 5.67032},['exo'],down,-0.578833567,1.08116e-19,exo-only
chr1,138568099,138569320,Nek7,{1695: 15.3116},['exo'],down,-0.578833567,1.08116e-19,exo-only
chr1,138571214,138572283,Nek7,{1696: 14.8863},['exo'],down,-0.578833567,1.08116e-19,exo-only
chr1,138596009,138596566,Nek7,{1697: 27.8586},['exo'],down,-0.578833567,1.08116e-19,exo-only
chr1,138617745,138618454,Nek7,{1698: 11.9375},['exo'],down,-0.578833567,1.08116e-19,exo-only
chr1,138618735,138620599,Nek7,{1699: 9.55002},['exo'],down,-0.578833567,1.08116e-19,exo-only
chr1,146497534,146498651,Brinp3,{1727: 8.20705},['exo'],down,-1.548082665,5.73437e-07,exo-only
chr1,146515157,146515607,Brinp3,{1728: 11.4837},['exo'],down,-1.548082665,5.73437e-07,exo-only
chr1,146756578,146758426,Brinp3,{1729: 14.4609},['exo'],down,-1.548082665,5.73437e-07,exo-only
chr1,146792753,146793283,Brinp3,{1730: 8.50548},['exo'],down,-1.548082665,5.73437e-07,exo-only
chr1,146843467,146844746,Brinp3,{1731: 22.8305},['exo'],down,-1.548082665,5.73437e-07,exo-only
chr1,149860952,149861538,Pla2g4a,{1733: 6.11798},['exo'],down,-0.818737007,0.000130234,exo-only
chr1,149862336,149862959,Pla2g4a,{1734: 11.271},['exo'],down,-0.818737007,0.000130234,exo-only
chr1,149880734,149881362,Pla2g4a,{1735: 9.99507},['exo'],down,-0.818737007,0.000130234,exo-only
chr1,150624648,150625231,Hmcn1,{1738: 5.43584},['exo'],down,-0.998596077,7.17414e-25,exo-only
chr1,150663619,150664132,Hmcn1,{1739: 7.75939},['exo'],down,-0.998596077,7.17414e-25,exo-only
chr1,150916285,150917020,Hmcn1,{1740: 5.5211},['exo'],down,-0.998596077,7.17414e-25,exo-only
chr1,150967773,150968359,Hmcn1,{1741: 3.87969},['exo'],down,-0.998596077,7.17414e-25,exo-only
chr1,150988828,150989239,Hmcn1,{1742: 5.95451},['exo'],down,-0.998596077,7.17414e-25,exo-only
chr1,151355486,151356519,Ivns1abp,{1744: 6.11798},['exo'],down,-0.758298502,3.73338e-36,exo-only
chr1,151389712,151390634,Swt1,{1745: 18.9268},['exo'],down,-0.659746636,2.01623e-12,exo-only
chr1,151427961,151429567,Swt1,{1746: 47.6009},['exo'],down,-0.659746636,2.01623e-12,exo-only
chr1,151465054,151465763,Rnf2,{1747: 11.271},['exo'],down,-0.523298141,2.93698e-16,exo-only
chr1,151497946,151498603,Rnf2,{1748: 8.50548},['exo'],down,-0.523298141,2.93698e-16,exo-only
chr1,151500616,151501839,Rnf2,{1749: 22.0844},['exo'],down,-0.523298141,2.93698e-16,exo-only
chr1,151772513,151772911,Edem3,{1759: 2.30611},['exo'],down,-0.526697078,6.40054e-19,exo-only
chr1,151819065,151819634,Edem3,{1760: 9.99507},['exo'],down,-0.526697078,6.40054e-19,exo-only
chr1,151878070,151878772,1700025G04Rik,{1761: 21.4139},['exo'],down,-1.300326548,2.5612e-109,exo-only
chr1,151930175,151930863,1700025G04Rik,{1762: 7.61017},['exo'],down,-1.300326548,2.5612e-109,exo-only
chr1,151944298,151945700,1700025G04Rik,{1763: 14.6603},['exo'],down,-1.300326548,2.5612e-109,exo-only
chr1,152077803,152078177,1700025G04Rik,{1764: 4.46588},['exo'],down,-1.300326548,2.5612e-109,exo-only
chr1,152088424,152089776,1700025G04Rik,{1765: 15.5188},['exo'],down,-1.300326548,2.5612e-109,exo-only
chr1,152090415,152091782,1700025G04Rik,{1766: 9.99767},['exo'],down,-1.300326548,2.5612e-109,exo-only
chr1,152368516,152369622,Tsen15,{1768: 17.011},['exo'],down,-0.523048462,2.55154e-06,exo-only
chr1,152410368,152411336,Colgalt2,{1769: 10.2961},['exo'],down,-0.587619804,6.42924e-08,exo-only
chr1,152423299,152424228,Colgalt2,{1770: 7.44313},['exo'],down,-0.587619804,6.42924e-08,exo-only
chr1,152432627,152434315,Colgalt2,{1771: 13.0131},['exo'],down,-0.587619804,6.42924e-08,exo-only
chr1,152439423,152441080,Colgalt2,{1772: 27.7547},['exo'],down,-0.587619804,6.42924e-08,exo-only
chr1,152447558,152447942,Colgalt2,{1773: 3.43204},['exo'],down,-0.587619804,6.42924e-08,exo-only
chr1,152448971,152449610,Colgalt2,{1774: 6.71486},['exo'],down,-0.587619804,6.42924e-08,exo-only
chr1,152454123,152454674,Colgalt2,{1775: 11.271},['exo'],down,-0.587619804,6.42924e-08,exo-only
chr1,152454963,152456251,Colgalt2,{1776: 17.4606},['exo'],down,-0.587619804,6.42924e-08,exo-only
chr1,152461863,152462470,Colgalt2,{1777: 10.5422},['exo'],down,-0.587619804,6.42924e-08,exo-only
chr1,152466212,152466874,Colgalt2,{1778: 9.22445},['exo'],down,-0.587619804,6.42924e-08,exo-only
chr1,152497836,152498548,Colgalt2,{1779: 8.08112},['exo'],down,-0.587619804,6.42924e-08,exo-only
chr1,152510901,152511548,Colgalt2,{1780: 5.95451},['exo'],down,-0.587619804,6.42924e-08,exo-only
chr1,155146091,155146925,Mr1,{1878: 14.6603},['exo'],down,-0.632078035,0.004068208,exo-only
chr1,158265390,158266001,Brinp2,{1960: 5.95451},['exo'],down,-0.955638756,1.3047299999999999e-31,exo-only
chr1,158266557,158268709,Brinp2,{1961: 17.011},['exo'],down,-0.955638756,1.3047299999999999e-31,exo-only
chr1,158310489,158311182,Brinp2,{1962: 6.16717},['exo'],down,-0.955638756,1.3047299999999999e-31,exo-only
chr1,158355942,158356490,Brinp2,{1963: 12.6836},['exo'],down,-0.955638756,1.3047299999999999e-31,exo-only
chr1,160194495,160195551,Mrps14,{1997: 56.5678},['exo'],down,-0.702702878,7.14467e-09,exo-only
chr1,160212158,160215588,4933417C20Rik,{1998: 37.4283},['exo'],down,-0.841963978,0.008637885,exo-only
chr1,161047907,161048439,Dars2,{2018: 3.43204},['exo'],down,-0.659514414,5.71118e-13,exo-only
chr1,161060312,161060960,Dars2,{2019: 5.10639},['exo'],down,-0.659514414,5.71118e-13,exo-only
chr1,161070261,161071343,Dars2,{2020: 24.7704},['exo'],down,-0.659514414,5.71118e-13,exo-only
chr1,163994283,163995334,BC055324,{2068: 9.22445},['exo'],down,-0.702342377,6.62736e-14,exo-only
chr1,164319569,164320121,Nme7,{2076: 7.86846},['exo'],down,-0.604678629,2.93481e-08,exo-only
chr1,164320495,164321560,Nme7,{2077: 10.5422},['exo'],down,-0.604678629,2.93481e-08,exo-only
chr1,164366019,164366863,Nme7,{2078: 9.4008},['exo'],down,-0.604678629,2.93481e-08,exo-only
chr1,164405869,164406376,Nme7,{2079: 4.62579},['exo'],down,-0.604678629,2.93481e-08,exo-only
chr1,164414737,164415445,Nme7,{2080: 8.35627},['exo'],down,-0.604678629,2.93481e-08,exo-only
chr1,165184891,165185602,Sft2d2,{2092: 9.84846},['exo'],down,-0.532604612,5.44771e-06,exo-only
chr1,165186331,165189143,Sft2d2,{2093: 23.72},['exo'],down,-0.532604612,5.44771e-06,exo-only
chr1,165190763,165192012,Sft2d2,{2094: 9.05973},['exo'],down,-0.532604612,5.44771e-06,exo-only
chr1,165210381,165211132,Tiprl,{2095: 5.37189},['exo'],down,-0.587607068,4.05039e-13,exo-only
chr1,165236083,165238179,Tiprl,{2096: 26.2625},['exo'],down,-0.587607068,4.05039e-13,exo-only
chr1,165609882,165612198,Mpzl1,{2102: 30.4736},['exo'],down,-0.944436848,1.00955e-35,exo-only
chr1,165617884,165618705,Mpzl1,{2103: 21.6368},['exo'],down,-0.944436848,1.00955e-35,exo-only
chr1,165632066,165633314,Mpzl1,{2104: 9.71862},['exo'],down,-0.944436848,1.00955e-35,exo-only
chr1,165634274,165634987,Mpzl1,{2105: 29.0977},['exo'],down,-0.944436848,1.00955e-35,exo-only
chr1,167361010,167361599,Aldh9a1,{2139: 5.22267},['exo'],down,-0.529646235,3.77027e-08,exo-only
chr1,169510748,169511192,Nuf2,{2169: 8.56557},['exo'],down,-0.687553706,1.41126e-25,exo-only
chr1,169528540,169529050,Nuf2,{2170: 5.37189},['exo'],down,-0.687553706,1.41126e-25,exo-only
chr1,169531195,169532314,Nuf2,{2171: 18.3539},['exo'],down,-0.687553706,1.41126e-25,exo-only
chr1,169968905,169969745,Hsd17b7,{2174: 33.3878},['exo'],down,-0.62843297,1.7376600000000002e-24,exo-only
chr1,170159807,170160774,Uap1,{2177: 11.9375},['exo'],down,-0.748428388,3.91161e-17,exo-only
chr1,170170913,170171275,Uap1,{2178: 8.05783},['exo'],down,-0.748428388,3.91161e-17,exo-only
chr1,170173493,170176441,Uap1,{2179: 23.2782},['exo'],down,-0.748428388,3.91161e-17,exo-only
chr1,170643938,170644769,Olfml2b,{2188: 13.4297},['exo'],down,-1.688732866,7.93465e-20,exo-only
chr1,170666093,170666886,Olfml2b,{2189: 6.2672},['exo'],down,-1.688732866,7.93465e-20,exo-only
chr1,170673777,170675068,Olfml2b,{2190: 20.2609},['exo'],down,-1.688732866,7.93465e-20,exo-only
chr1,172269728,172270607,Igsf8,{2228: 11.6391},['exo'],down,-0.754097625,1.23516e-06,exo-only
chr1,172271085,172272865,Igsf8,{2229: 11.7883},['exo'],down,-0.754097625,1.23516e-06,exo-only
chr1,172273150,172273893,Igsf8,{2230: 11.9375},['exo'],down,-0.754097625,1.23516e-06,exo-only
chr1,172294785,172296975,Igsf8,{2231: 28.0532},['exo'],down,-0.754097625,1.23516e-06,exo-only
chr1,172297035,172298581,Igsf8,{2232: 19.9953},['exo'],down,-0.754097625,1.23516e-06,exo-only
chr1,172301205,172301935,Igsf8,{2233: 27.8586},['exo'],down,-0.754097625,1.23516e-06,exo-only
chr1,172307707,172309247,Igsf8,{2234: 12.1217},['exo'],down,-0.754097625,1.23516e-06,exo-only
chr1,172309356,172310737,Igsf8,{2235: 20.8907},['exo'],down,-0.754097625,1.23516e-06,exo-only
chr1,172317387,172318424,Igsf8,{2236: 8.50644},['exo'],down,-0.754097625,1.23516e-06,exo-only
chr1,172341373,172344147,Kcnj10,{2237: 33.8131},['exo'],down,-0.614707847,4.4212e-10,exo-only
chr1,172348674,172351025,Kcnj10,{2238: 70.4314},['exo'],down,-0.614707847,4.4212e-10,exo-only
chr1,172356705,172358011,Kcnj10,{2239: 8.7191},['exo'],down,-0.614707847,4.4212e-10,exo-only
chr1,172357274,172358310,Kcnj10,{2240: 8.7191},['exo'],down,-0.614707847,4.4212e-10,exo-only
chr1,172358847,172359493,Kcnj10,{2241: 16.2649},['exo'],down,-0.614707847,4.4212e-10,exo-only
chr1,172501696,172502468,Tagln2,{2243: 5.96876},['exo'],down,-0.824968372,2.1904200000000002e-23,exo-only
chr1,175602454,175602911,Fh1,{2265: 8.20705},['exo'],down,-0.526725057,2.14413e-13,exo-only
chr1,175619390,175620023,Fh1,{2266: 9.25158},['exo'],down,-0.526725057,2.14413e-13,exo-only
chr1,175624751,175626623,Fh1,{2267: 41.7813},['exo'],down,-0.526725057,2.14413e-13,exo-only
chr1,179668758,179669806,Sccpdh,{2328: 8.50548},['exo'],down,-0.67878707,1.00908e-16,exo-only
chr1,180647875,180648692,Lin9,{2365: 6.37983},['exo'],down,-0.607408387,2.88544e-11,exo-only
chr1,180797938,180798904,H3f3a,{2369: 7.24779},['exo'],down,-0.778355074,3.5583600000000004e-30,exo-only
chr1,180800496,180800956,H3f3a,{2370: 4.77695},['exo'],down,-0.778355074,3.5583600000000004e-30,exo-only
chr1,180810706,180811501,H3f3a,{2371: 8.08112},['exo'],down,-0.778355074,3.5583600000000004e-30,exo-only
chr1,180813028,180814000,H3f3a,{2372: 11.4899},['exo'],down,-0.778355074,3.5583600000000004e-30,exo-only
chr1,182127479,182128144,Srp9,{2403: 10.3775},['exo'],down,-0.950024997,7.59945e-22,exo-only
chr1,184033350,184035151,Dusp10,{2454: 52.2267},['exo'],down,-1.225177142,5.65198e-18,exo-only
chr1,184065388,184067371,Dusp10,{2455: 24.7704},['exo'],down,-1.225177142,5.65198e-18,exo-only
chr1,185334335,185335145,Bpnt1,{2471: 7.61017},['exo'],down,-0.820088431,4.31231e-30,exo-only
chr1,185345879,185346521,Bpnt1,{2472: 11.7883},['exo'],down,-0.820088431,4.31231e-30,exo-only
chr1,185353302,185354341,Bpnt1,{2473: 6.56564},['exo'],down,-0.820088431,4.31231e-30,exo-only
chr1,186721876,186722586,Rrp15,{2493: 11.7883},['exo'],down,-0.770476377,1.0411e-12,exo-only
chr1,186724850,186725515,Rrp15,{2494: 4.4475},['exo'],down,-0.770476377,1.0411e-12,exo-only
