chr,start,end,exo_signal,endo_signal,enrichment,genomic_region
chr13,14612964,14613509,1.6989600834648333,1.05258207461224,1.6140879884266621,Mrpl32 (protein_coding)
chr13,106946998,106947538,1.6085036618085553,0.9749830509804518,1.6085036618085553,Dimt1 (protein_coding)
chr3,58414621,58417207,1.6051762281192115,0.761730229853236,1.6051762281192115,Tsc22d2 (protein_coding)
chr3,27938473,27939115,1.6030289400802766,0.5396416236209588,1.6030289400802766,Pld1 (protein_coding)
chr14,51884683,51885286,2.365365449688775,1.4774186993486498,1.6010122592407925,Mettl17 (protein_coding)
chr3,104511415,104512158,2.2514645424427284,1.415872662008425,1.5901603321085462,Lrig2 (protein_coding)
chr9,110304950,110305498,1.5894662266322426,0.6577199996246508,1.5894662266322426,Elp6 (protein_coding)
chr7,30534887,30535458,1.5794089249325975,0.7090755182486161,1.5794089249325975,Arhgap33 (protein_coding)
chr2,155357307,155357546,1.574933688523036,0.6342891375982408,1.574933688523036,Pigu (protein_coding)
chr14,14702707,14703781,1.6853276344830161,1.0708031842517973,1.5738911307595762,Slc4a7 (protein_coding)
chr3,20057627,20058195,1.5671831946308767,0.5831280689637311,1.5671831946308767,Hltf (protein_coding)
chr13,6547941,6548275,3.3565155921986767,2.1477815604806976,1.5627825724732691,Pitrm1 (protein_coding)
chr12,99392016,99393399,1.5627239147876304,0.9295068554953901,1.5627239147876304,Foxn3 (protein_coding)
chr6,47594209,47595636,1.5624743689830605,0.7670701955984924,1.5624743689830605,Ezh2 (protein_coding)
chr17,40934424,40934808,1.558361724511491,0.7013983748028896,1.558361724511491,Cenpq (protein_coding)
chr1,34439241,34440138,1.9333358723523757,1.2407325629626547,1.5582212719039985,Ccdc115 (protein_coding)
chr5,67847119,67847628,1.8534823090265502,1.1963790134140821,1.5492434155437966,Atp8a1 (protein_coding)
chr6,113377521,113378618,1.5452267190283782,0.9974289132712703,1.5452267190283782,Tada3 (protein_coding)
chr9,95405215,95407761,1.5694736617081486,1.02119911055755,1.5368928992224191,Chst2 (protein_coding)
chr5,136565439,136569059,1.5352985898718736,0.5658935739627857,1.5352985898718736,Cux1 (protein_coding)
chr1,16656764,16657043,1.5556586372381465,1.013753889184093,1.5345525712263346,Tceb1 (protein_coding)
chr14,50930361,50931313,1.5261739619099288,0.6346655328337945,1.5261739619099288,Tmem55b (protein_coding)
chr16,14317136,14317486,1.5257748306839503,0.7737283390780663,1.5257748306839503,Fopnl (protein_coding)
chr5,123720173,123720926,1.9457025916702864,1.2756062640871995,1.5253159587316667,Zcchc8 (protein_coding)
chr2,92008249,92008562,1.592615279460862,1.0451055324698557,1.5238798666552826,Creb3l1 (protein_coding)
chr17,47009941,47010533,3.200597360774795,2.1029442123100353,1.5219601842214414,Ubr2 (protein_coding)
chr5,33335099,33336258,1.5206243127872747,0.6146548459770664,1.5206243127872747,Maea (protein_coding)
chr16,55933853,55934513,1.5165282343242479,0.813274481824712,1.5165282343242479,Cep97 (protein_coding)
chr18,36196549,36197534,1.5137821968556064,0.7733615706956565,1.5137821968556064,Nrg2 (protein_coding)
chr18,23041263,23041637,1.5094148611154785,0.8922449889048559,1.5094148611154785,Nol4 (protein_coding)
chr13,65278714,65279062,1.508416434385088,0.48380441431783483,1.508416434385088,Zfp369 (protein_coding)
chr2,11778260,11778491,1.5041559778342923,0.1757843090778823,1.5041559778342923,Ankrd16 (protein_coding)
chr2,11778607,11778877,1.5041559778342923,0.1757843090778823,1.5041559778342923,Ankrd16 (protein_coding)
chr10,77258906,77259845,1.6291281670256343,1.0834213798563759,1.5036884053752015,Gm10941 (protein_coding)
chr8,116978661,116979149,1.5029578948137814,0.3577336735562961,1.5029578948137814,1700030J22Rik (protein_coding)
chr11,116489763,116490485,1.5026365919888116,0.534420931180986,1.5026365919888116,Prpsap1 (protein_coding)
chr13,96542283,96542625,1.6917839255650189,1.128488469880007,1.499159247719126,Polk (protein_coding)
chr12,67220630,67222891,1.497532605386846,0.9034705712267928,1.497532605386846,Mdga2 (protein_coding)
chr9,21955731,21956226,1.4948456437474686,0.8215891669855939,1.4948456437474686,Swsap1 (protein_coding)
chr9,87255277,87255637,1.4853318693782067,0.6909539156608913,1.4853318693782067,Cep162 (protein_coding)
chr17,8283449,8284683,1.477417898314213,0.8648639524031858,1.477417898314213,Mpc1 (protein_coding)
chr5,110839442,110839856,1.7083519829260476,1.1564899006380107,1.4771871176597273,Hscb (protein_coding)
chr8,119344460,119344778,1.4719443820957203,0.8933307848667725,1.4719443820957203,Hsbp1 (protein_coding)
chr1,131867226,131867488,1.4689035199036655,0.899453948943366,1.4689035199036655,Rab29 (protein_coding)
chr10,42678828,42679395,1.4683192944044197,0.7937569574066158,1.4683192944044197,Ostm1 (protein_coding)
chr19,7422096,7423728,1.4624574276972742,0.8147618346993625,1.4624574276972742,2700081O15Rik (protein_coding)
chr18,31759361,31760640,2.2164348832607215,1.5168294228685641,1.4612288302458512,Ammecr1l (protein_coding)
chr7,122066788,122067876,1.714224045089919,1.1746950778634022,1.459292779372023,Ears2 (protein_coding)
chr10,9900396,9901332,1.4591576381391964,0.2760089537378403,1.4591576381391964,Stxbp5 (protein_coding)
chr11,71750622,71751672,1.459067543377762,0.2167100075352825,1.459067543377762,Wscd1 (protein_coding)
chr5,45856370,45858010,1.455473379704913,0.7705558311659959,1.455473379704913,Lcorl (protein_coding)
chr4,124751315,124752080,1.4532985194669943,0.6175464138037025,1.4532985194669943,Gm12915 (processed_transcript)
chr18,42274945,42276033,1.6702105492341173,1.15133046249681,1.4506786744893803,Rbm27 (protein_coding)
chr18,36801622,36802025,1.4479648394280775,0.9002865183498422,1.4479648394280775,Vaultrc5 (misc_RNA)
chr7,66839902,66840630,1.4479088338314077,0.2977699139891762,1.4479088338314077,Adamts17 (protein_coding)
chr18,60774322,60775034,1.4476467039800658,0.7183368136166236,1.4476467039800658,Rps14 (protein_coding)
chr11,75486650,75487238,1.7176644998900015,1.1865615689194202,1.4475982914685557,Prpf8 (protein_coding)
chr8,26976644,26979925,1.4447049619675525,0.3103391670929941,1.4447049619675525,Zfp703 (protein_coding)
chr4,128993046,128993583,1.5846665095332777,1.0986935356389982,1.4423189525836597,Ak2 (protein_coding)
chr11,85352647,85353248,2.2218560452906875,1.5411498303446962,1.4416872399705247,Bcas3 (protein_coding)
chr16,11253399,11254629,1.4356636041210433,0.7049294942682149,1.4356636041210433,Gspt1 (protein_coding)
chr11,121236702,121237537,1.4354281885755968,0.7082684732587508,1.4354281885755968,Narf (protein_coding)
chr19,29047520,29048047,1.4473374339154137,1.0085997843135615,1.4349967711925011,Ak3 (protein_coding)
chr12,104751475,104752369,1.4349749786909825,0.9847796895956585,1.4349749786909825,Dicer1 (protein_coding)
chr9,72438374,72438619,1.509438151372458,1.0525590691726512,1.4340650283493637,Mns1 (protein_coding)
chr9,114933374,114934034,1.4334161188433723,0.923714267601373,1.4334161188433723,Gpd1l (protein_coding)
chr13,3610510,3611307,1.4512351588578976,1.013551755029754,1.4318313314106934,Fam208b (protein_coding)
chr4,32238406,32240295,1.4306018602019506,0.737390866013202,1.4306018602019506,Bach2 (protein_coding)
chr9,118925842,118927072,1.4262675627368089,0.45362701454823906,1.4262675627368089,Gm2415 (antisense)
chr1,153899777,153901066,1.6843968612027314,1.1832389436758128,1.423547517773576,Teddm2 (protein_coding)
chr19,47865357,47865909,1.4754034182159437,1.0367110391353285,1.4231578159392493,Cfap43 (protein_coding)
chr10,120112608,120113331,1.4217671335127093,0.6156006354519166,1.4217671335127093,Helb (protein_coding)
chr1,93511776,93512054,1.4193511691219733,0.7523021250169462,1.4193511691219733,"Near Farp2 (protein_coding), 25bp"
chr4,28812868,28815750,1.4177672982541094,0.2612767216425126,1.4177672982541094,Epha7 (protein_coding)
chr12,8498973,8500446,2.5067694708317516,1.7718031587696412,1.4148126209304643,Rhob (protein_coding)
chr1,136624636,136625002,1.7140628240095297,1.2128271776999697,1.41327870575931,Platr23 (lincRNA)
chr18,56707292,56709053,1.411937997188661,0.998283985163769,1.411937997188661,Lmnb1 (protein_coding)
chr7,75848192,75848706,1.4093174066457175,0.5863951330530771,1.4093174066457175,Klhl25 (protein_coding)
chr8,4324437,4325527,1.4392815120101736,1.0220512871172194,1.4082282661859238,Elavl1 (protein_coding)
chr8,95331537,95332497,1.4069951029824201,0.8675025491120587,1.4069951029824201,Zfp319 (protein_coding)
chr17,67353392,67355035,1.4048413598768794,0.3271704669776574,1.4048413598768794,Ptprm (protein_coding)
chr14,99298434,99299444,1.4045717884293785,0.49939108021397133,1.4045717884293785,Klf5 (protein_coding)
chr4,106650930,106651301,1.4041580074543352,0.4379223841718942,1.4041580074543352,Pars2 (protein_coding)
chr4,120825099,120825889,1.4031056902091938,0.784210096696518,1.4031056902091938,Nfyc (protein_coding)
chr5,124111929,124112476,1.8654245908469143,1.3345939020023607,1.39774697610121,Gm16001 (lincRNA)
chr12,3426605,3427706,2.077284077033826,1.486499800177171,1.3974331357368777,1110002L01Rik (antisense)
chr5,123394466,123395387,1.8689544402359988,1.3377105145501846,1.3971292143610377,Gm15747 (antisense)
chr9,118149867,118150356,1.3967157294284256,0.9590027822155335,1.3967157294284256,Cmc1 (protein_coding)
chr18,31910458,31911358,1.396497927030258,0.3812673709187867,1.396497927030258,Sft2d3 (protein_coding)
chr7,10495183,10495395,1.395472392016767,0.32104651119620664,1.395472392016767,Zik1 (protein_coding)
chr3,95881904,95882938,1.6659678209264732,1.1969401390925196,1.3918555878571797,C920021L13Rik (antisense)
chr15,87624070,87625706,1.3898318752629462,0.7034841912222257,1.3898318752629462,Fam19a5 (protein_coding)
chr1,132417369,132417990,1.3870783399269566,0.5381127334368294,1.3870783399269566,Dstyk (protein_coding)
chr9,60687984,60688225,1.3842615879728677,0.6208762174318461,1.3842615879728677,Lrrc49 (protein_coding)
chr2,166995696,166996441,2.0289135300882823,1.466452668895807,1.3835520048635397,Stau1 (protein_coding)
chr12,65172293,65172881,1.397366473181056,1.0101695409801799,1.383298957742454,Mis18bp1 (protein_coding)
chr17,66111528,66111801,1.379620143870457,0.382377983976703,1.379620143870457,Wash1 (protein_coding)
chr8,71468951,71469712,1.3961532280428068,1.0146984652130824,1.375929180842528,Dda1 (protein_coding)
chrX,103980676,103981224,1.4011815855840004,1.0187964874592066,1.3753302085664139,Rlim (protein_coding)
chr7,80802925,80803540,1.767270753183431,1.2850538254855564,1.3752503732796324,Iqgap1 (protein_coding)
chr18,69344225,69344539,1.3744840838627512,0.9538761723422757,1.3744840838627512,Tcf4 (protein_coding)
chr11,108424994,108425741,1.5698173723344115,1.1424901677334156,1.3740314067199104,Cep112 (protein_coding)
chr2,131233995,131234508,1.502163467907553,1.0936616650942894,1.373517529096208,Mavs (protein_coding)
chr7,118712419,118712914,1.6682873939445397,1.2181914436359582,1.3694788308192118,Ccp110 (protein_coding)
chr7,80534669,80535136,1.3694289021094368,0.9802463951459117,1.3694289021094368,Blm (protein_coding)
chr7,16452924,16453199,3.7092883421583203,2.7132670596939503,1.3670929770461735,Tmem160 (protein_coding)
chr15,81360570,81360946,1.5872674966983684,1.1618213432466025,1.366188963496656,Slc25a17 (protein_coding)
chr1,71556948,71557367,1.365238782461566,0.47784113752574753,1.365238782461566,Atic (protein_coding)
chr12,10390726,10391201,1.363842840569305,0.270244038432643,1.363842840569305,Rdh14 (protein_coding)
chr3,30602350,30603016,1.3635339864902452,0.4985596569432002,1.3635339864902452,Mynn (protein_coding)
chr3,145987645,145988894,1.3633952165040721,0.2888263923623011,1.3633952165040721,Syde2 (protein_coding)
chr1,64690534,64691585,2.5621693075412226,1.8809117064519112,1.362195417654353,2810408I11Rik (processed_transcript)
chr18,36744134,36744895,1.3590999054839445,0.887773488149522,1.3590999054839445,Ndufa2 (protein_coding)
chr2,85048092,85048627,1.3597003947822068,1.0026661412166598,1.3560848809877164,Tnks1bp1 (protein_coding)
chr11,58904039,58904304,1.3545798801303839,0.7121541521071203,1.3545798801303839,Zfp39 (protein_coding)
chr16,75766681,75766976,1.3540180264622736,0.5592807230629467,1.3540180264622736,Hspa13 (protein_coding)
chr13,75707246,75708619,1.3536003541720936,0.6135153924711596,1.3536003541720936,Ell2 (protein_coding)
chr4,83417522,83418164,1.3526658110247824,0.8071742558227927,1.3526658110247824,Snapc3 (protein_coding)
chr11,98907613,98908088,2.1493298978022413,1.5891787397511865,1.352478386502173,Cdc6 (protein_coding)
chr11,43747719,43748045,1.3498482232259104,0.5423123606593738,1.3498482232259104,Ttc1 (protein_coding)
chr2,27540220,27540520,1.6906653393960862,1.252866024195077,1.3494382533697329,Gm13421 (processed_transcript)
chr10,53629430,53630281,1.7730910105511015,1.3149452160516435,1.3484143589457833,Mcm9 (protein_coding)
chr18,30272772,30273167,1.3470581865679487,0.8210607657115258,1.3470581865679487,Pik3c3 (protein_coding)
chr11,58103779,58104705,1.3467784653172823,0.9161049489853795,1.3467784653172823,Cnot8 (protein_coding)
chr7,68748864,68749208,1.344036175063379,0.6139326681656818,1.344036175063379,Arrdc4 (protein_coding)
chr19,3708133,3708709,1.3437608915498662,0.7775009517633548,1.3437608915498662,1810055G02Rik (protein_coding)
chr8,26157893,26158914,1.4059932007276088,1.0464101343879635,1.3436349233658391,Rnf170 (protein_coding)
chr4,137388147,137388569,1.3411893546632727,0.3659820875639077,1.3411893546632727,2810405F17Rik (lincRNA)
chr2,49451012,49452743,1.8316943214347,1.3669605591684657,1.339975984785498,Epc2 (protein_coding)
chr6,136518600,136519178,1.5308348213787704,1.143508905473624,1.338717008718635,Atf7ip (protein_coding)
chr6,72362092,72362448,1.3411637857676277,1.0080813742786148,1.3304122266194705,Rnf181 (protein_coding)
chr13,49682046,49682296,1.3293640575464953,0.9663221757265272,1.3293640575464953,Iars (protein_coding)
chr9,54917237,54917459,1.3274379737936828,0.6833334427689228,1.3274379737936828,Hykk (protein_coding)
chr3,63963979,63964864,1.326816313215939,0.478204532435477,1.326816313215939,Slc33a1 (protein_coding)
chr1,119836759,119837754,1.3263769356812012,0.6893749328881617,1.3263769356812012,Ptpn4 (protein_coding)
chr2,137115363,137117627,1.3261353350870988,0.5413741846395574,1.3261353350870988,Jag1 (protein_coding)
chr5,20701875,20702802,1.3258387926540744,0.7343738070410216,1.3258387926540744,Magi2 (protein_coding)
chr9,121277064,121277957,1.325280532771101,0.5880966073021652,1.325280532771101,Ulk4 (protein_coding)
chrX,48343642,48344234,1.3237263107283206,0.5421748766085139,1.3237263107283206,Bcorl1 (protein_coding)
chr11,54955743,54956304,1.4655499019089637,1.1091201512593196,1.3213626136401415,Tnip1 (protein_coding)
chr7,35117899,35120740,1.321159157772483,0.929429422878264,1.321159157772483,Gm45091 (antisense)
chr13,81657636,81658147,1.3186754098711875,0.823618727526637,1.3186754098711875,Lysmd3 (protein_coding)
chr12,108835408,108836377,1.3711824140922086,1.040892164913388,1.3173145694744508,Slc25a29 (protein_coding)
chr9,15306146,15306592,1.3162840359652983,0.5598381787939742,1.3162840359652983,4931406C07Rik (protein_coding)
chr19,60889656,60890708,1.314945943916685,0.6307072751732381,1.314945943916685,Grk5 (protein_coding)
chr15,98677157,98677482,1.3143098658676324,0.1067010850708291,1.3143098658676324,Rnd1 (protein_coding)
chr1,93235701,93236507,1.3138583480916153,0.5471987507479675,1.3138583480916153,Sned1 (protein_coding)
chr7,92561071,92561297,1.3137234614109348,0.7330798128652305,1.3137234614109348,Ccdc90b (protein_coding)
chr7,92561469,92561881,1.3137234614109348,0.7330798128652305,1.3137234614109348,Ccdc90b (protein_coding)
chr9,53247745,53248307,1.3135641122823851,0.8993989934244533,1.3135641122823851,Ddx10 (protein_coding)
chr3,30968682,30969506,1.312645005228674,0.5730378155248479,1.312645005228674,Phc3 (protein_coding)
chr2,32981360,32982066,1.3119644905487573,0.877379587122064,1.3119644905487573,Slc2a8 (protein_coding)
chr1,67038520,67038937,1.3114121498687923,0.5812022646822995,1.3114121498687923,Lancl1 (protein_coding)
chr8,57486939,57488010,1.3109561706998538,0.5068806414221514,1.3109561706998538,Sap30 (protein_coding)
chr11,118476739,118477243,1.4344109394478872,1.0950873909096739,1.3098597895975608,Gm11748 (processed_transcript)
chr13,112463722,112464553,1.3093045974431212,0.8121469399428516,1.3093045974431212,Il6st (protein_coding)
chr11,84818709,84819636,1.3073347023618918,0.6756014137645798,1.3073347023618918,Mrm1 (protein_coding)
chr8,127063558,127065048,1.3069025090441304,0.4921894517722911,1.3069025090441304,Pard3 (protein_coding)
chr2,37422567,37423128,1.3062703502451276,0.4963332994132308,1.3062703502451276,Rc3h2 (protein_coding)
chr7,24972040,24972287,1.3046740146545799,0.7302504265881045,1.3046740146545799,Rabac1 (protein_coding)
chr9,64960773,64961153,1.3045946351147322,0.8153906058816158,1.3045946351147322,Vwa9 (protein_coding)
chr13,56702856,56703942,1.3039294038325973,0.5300407412146687,1.3039294038325973,Smad5 (protein_coding)
chr1,134955511,134955991,4.198151903856051,3.225717044641259,1.3014631617581756,Ppp1r12b (protein_coding)
chr2,19657539,19659118,1.2998993880714163,0.6700137299268447,1.2998993880714163,Otud1 (protein_coding)
chr1,118388759,118389005,1.4424100405386968,1.110185634440617,1.2992512205091502,"Near Clasp1 (protein_coding), 53bp"
chr1,118389219,118389718,1.4424100405386968,1.110185634440617,1.2992512205091502,Clasp1 (protein_coding)
chr3,28805313,28805759,1.2990896783580828,0.8325926432879767,1.2990896783580828,Gm32950 (lincRNA)
chr10,13964565,13967616,1.2981342853078268,0.7953367424741907,1.2981342853078268,Hivep2 (protein_coding)
chr19,4793671,4794001,2.525537068049284,1.9467677281476012,1.297297582825865,Gm21992 (protein_coding)
chr16,16302895,16303619,1.2972478632551303,0.4670265635397183,1.2972478632551303,Yars2 (protein_coding)
chr11,70969564,70970021,1.2958390614316833,0.9340371871822883,1.2958390614316833,Nup88 (protein_coding)
chr19,30174874,30175472,1.2931182706495692,0.4397928669052459,1.2931182706495692,Gldc (protein_coding)
chr9,103201715,103202140,1.2927523072081137,0.6764511840387281,1.2927523072081137,Srprb (protein_coding)
chr16,90830065,90831464,1.2920350813073982,0.5119443697562045,1.2920350813073982,Eva1c (protein_coding)
chr12,79172100,79172815,1.3185946869759377,1.0230530929809327,1.288881971055742,Vti1b (protein_coding)
chr2,144555758,144556019,1.2880937111529946,0.7536056762581942,1.2880937111529946,"Near Sec23b (protein_coding), 210bp"
chr2,144556209,144556574,1.2880937111529946,0.7536056762581942,1.2880937111529946,Sec23b (protein_coding)
chr15,102625238,102625668,2.383563134243176,1.8543217878948792,1.2854096574840543,Atf7 (protein_coding)
chr5,31192686,31193778,1.28389626188404,0.8822951693042789,1.28389626188404,Eif2b4 (protein_coding)
chr15,99392836,99393490,1.2830150281974975,0.9853413815329097,1.2830150281974975,Tmbim6 (protein_coding)
chr18,34759386,34759806,1.2828086656342321,0.5839604136551766,1.2828086656342321,Fam53c (protein_coding)
chr16,5013212,5013781,1.338700511539576,1.0454037452625773,1.2805583657090596,Gm42477 (antisense)
chr17,24719572,24720369,1.3407190832952232,1.0469991277090847,1.2805350528121457,Rps2 (protein_coding)
chr14,87415915,87417408,1.2794719628412365,0.8571154373791678,1.2794719628412365,Tdrd3 (protein_coding)
chr7,13054161,13054813,1.2783935510833409,0.5719572411409748,1.2783935510833409,Mzf1 (protein_coding)
chr7,144582078,144582598,1.2753670628506475,0.6761024518991463,1.2753670628506475,Fadd (protein_coding)
chr9,45954680,45955380,1.2733983580232757,0.656769045219203,1.2733983580232757,Sidt2 (protein_coding)
chr15,9071022,9071985,2.5208545412606456,1.9796428816472051,1.2733885311491704,Nadk2 (protein_coding)
chr6,70791757,70792385,1.27068139418291,0.9529836251817061,1.27068139418291,Rpia (protein_coding)
chr17,32350437,32350898,1.5747979844172002,1.2407045279414182,1.2692772122224065,Akap8l (protein_coding)
chr4,119232367,119233464,1.2676910294089552,0.7601805940720116,1.2676910294089552,AU022252 (protein_coding)
chr8,14888714,14889037,1.2634902427518906,0.2764738920660111,1.2634902427518906,Cln8 (protein_coding)
chr3,148987630,148990644,1.263233770052179,0.6524309916868662,1.263233770052179,Adgrl2 (protein_coding)
chr2,30472352,30474704,1.2625597871419871,0.5545175876115436,1.2625597871419871,Ier5l (protein_coding)
chr1,191182423,191184370,1.2616429384306547,0.6642915110180829,1.2616429384306547,Atf3 (protein_coding)
chr17,64600623,64602201,1.2609990817449808,0.6009909714494357,1.2609990817449808,Man2a1 (protein_coding)
chr1,54250569,54250800,1.349211932009429,1.0707445257472992,1.2600689516182961,Ccdc150 (protein_coding)
chr11,75348086,75348599,1.2665316319465862,1.0068410643900818,1.2579260786446154,Rpa1 (protein_coding)
chr11,23067721,23068189,1.2568279526613457,0.45596523977248204,1.2568279526613457,Gm12059 (processed_transcript)
chr19,36409532,36410360,1.2559906986271165,0.5450372802052291,1.2559906986271165,Pcgf5 (protein_coding)
chr6,37441666,37442372,2.426244971158812,1.9325660120479036,1.2554525724002392,Creb3l2 (protein_coding)
chr7,24547005,24547384,1.2548902127452957,0.8157770290596833,1.2548902127452957,Xrcc1 (protein_coding)
chr6,90369447,90370686,1.2544310400177312,0.5569715975590048,1.2544310400177312,Zxdc (protein_coding)
chr8,4258389,4259352,1.2506457982218435,0.21182668436598992,1.2506457982218435,Ctxn1 (protein_coding)
chr1,79775983,79776386,1.2487031246403124,0.3980495756339939,1.2487031246403124,Wdfy1 (protein_coding)
chr11,32205054,32205668,1.2954107582354268,1.0379046404986094,1.2481019042492298,Snrnp25 (protein_coding)
chr1,59912548,59913890,1.3423827932007226,1.0762388888479688,1.2472907336006418,Fam117b (protein_coding)
chr18,75005719,75006114,1.2457723214149332,0.6813766560424421,1.2457723214149332,BC031181 (protein_coding)
chr11,23665437,23666438,1.293914460350976,1.0388081318638605,1.2455759833429454,Pex13 (protein_coding)
chr9,98563278,98564103,1.3986483182429912,1.1230089490743644,1.2454471706532895,4930579K19Rik (processed_transcript)
chr12,40037326,40038224,1.590003074820241,1.2793261894804282,1.242844153347621,Arl4a (protein_coding)
chr12,83485824,83487847,1.2424687753442647,0.5904467106071274,1.2424687753442647,Dpf3 (protein_coding)
chr7,19508244,19508962,1.2420475867376846,0.662953904697874,1.2420475867376846,Bloc1s3 (protein_coding)
chr11,16507843,16508363,1.24191804223864,0.6248025619483096,1.24191804223864,Sec61g (protein_coding)
