"seqnames","start","end","width","strand","gene","fold_change","bm3_signal","avg_bg_signal","log2FoldChange","padj","is_higher_than_bg","peak_id","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr16",36874640,36875640,1001,"+","Golgb1",2.07037619350542,180.06084777832,86.9701112016042,-0.003248167,0.982377448,TRUE,"peak_24","Promoter (<=1kb)",16,36792884,36874826,81943,2,"106389","ENSMUST00000075946.11",0,"ENSMUSG00000022838","Eaf2","ELL associated factor 2"
"chr1",190911270,190912270,1001,"-","Rps6kc1",14.3018936454671,900.30425994873,62.9500038433075,-0.00405658,0.982274435,TRUE,"peak_25","Promoter (<=1kb)",1,190700202,190911747,211546,2,"320119","ENSMUST00000159624.7",0,"ENSMUSG00000089872","Rps6kc1","ribosomal protein S6 kinase polypeptide 1"
"chr19",10555738,10556738,1001,"-","Tmem216",16.5971190579112,423.143822753906,25.4950164108276,-0.006677244,0.981739345,TRUE,"peak_26","Promoter (<=1kb)",19,10539403,10555751,16349,2,"68642","ENSMUST00000123788.7",0,"ENSMUSG00000024667","Tmem216","transmembrane protein 216"
"chr6",149188212,149189212,1001,"-","Amn1",2.13435335626507,133.378198242187,62.4911511726379,-0.004758063,0.981213395,TRUE,"peak_27","Promoter (<=1kb)",6,149157147,149188712,31566,2,"232566","ENSMUST00000111535.7",0,"ENSMUSG00000068250","Amn1","antagonist of mitotic exit network 1"
"chr7",39449018,39450018,1001,"+","Zfp939",7.62106706730384,583.530555114746,76.5680907885233,-0.007501991,0.980961268,TRUE,"peak_28","Promoter (<=1kb)",7,39449518,39477413,27896,1,"233147","ENSMUST00000186855.5",0,"ENSMUSG00000121502","Zfp939","zinc finger protein 939"
"chr8",84269880,84270880,1001,"-","Ccdc130",17.1147464879946,860.291665344238,50.2661062463125,0.006436782,0.97979001,TRUE,"peak_29","Promoter (<=1kb)",8,84257795,84270380,12586,2,"67736","ENSMUST00000098578.9",0,"ENSMUSG00000004994","Yju2b","YJU2 splicing factor homolog B"
"chr18",66290774,66291774,1001,"+","Gm15958",8.63153834014334,370.791391113281,42.9577413088481,-0.012782831,0.979583051,TRUE,"peak_30","Promoter (<=1kb)",18,66045302,66291446,246145,2,"320924","ENSMUST00000146610.1",0,"ENSMUSG00000046318","Ccbe1","collagen and calcium binding EGF domains 1"
"chr10",121462194,121463194,1001,"-","Gm48591",0,0,43.9307116171519,0.009833715,0.979576312,FALSE,"peak_31","Promoter (<=1kb)",10,121414387,121462213,47827,2,"192678","ENSMUST00000219500.1",0,"ENSMUSG00000025795","Rassf3","Ras association (RalGDS/AF-6) domain family member 3"
"chr1",66174773,66175773,1001,"+","Map2",13.9868556271499,944.317935852051,67.5146695601145,-0.002470848,0.97954359,TRUE,"peak_32","Promoter (<=1kb)",1,66175273,66380617,205345,1,"17756","ENSMUST00000156636.8",0,"ENSMUSG00000015222","Map2","microtubule-associated protein 2"
"chr5",22549932,22550932,1001,"+","6030443J06Rik",0,0,41.2528284174601,0.008663187,0.978671216,FALSE,"peak_33","Promoter (<=1kb)",5,22486485,22550304,63820,2,"26429","ENSMUST00000135906.7",0,"ENSMUSG00000029012","Orc5","origin recognition complex, subunit 5"
"chr6",113696550,113697550,1001,"+","Tatdn2",12.2010932499604,680.229057006836,55.7514841556549,0.004895683,0.977377723,TRUE,"peak_34","Promoter (<=1kb)",6,113697050,113711069,14020,1,"381801","ENSMUST00000089018.10",0,"ENSMUSG00000056952","Tatdn2","TatD DNase domain containing 2"
"chr17",17854705,17855705,1001,"-","Has1",0,0,34.2953950405121,0.011570933,0.975424666,FALSE,"peak_35","Promoter (<=1kb)",17,17843323,17855188,11866,2,"15116","ENSMUST00000003762.7",0,"ENSMUSG00000003665","Has1","hyaluronan synthase 1"
"chr16",96082026,96083026,1001,"-","Brwd1",15.6749270893816,522.844094726563,33.355440299352,-0.003687567,0.975178791,TRUE,"peak_36","Promoter (<=1kb)",16,95992092,96082428,90337,2,"93871","ENSMUST00000099502.8",0,"ENSMUSG00000022914","Brwd1","bromodomain and WD repeat domain containing 1"
"chr7",39517266,39518266,1001,"+","Zfp619",17.7301560370214,993.000701538086,56.0063148606618,0.006461943,0.974575175,TRUE,"peak_37","Promoter (<=1kb)",7,39517766,39540420,22655,1,"70227","ENSMUST00000108015.3",0,"ENSMUSG00000068959","Zfp619","zinc finger protein 619"
"chr11",83270998,83271998,1001,"+","Gm23444",21.5969588728623,1383.13271936035,64.0429389851888,0.018594286,0.973427955,TRUE,"peak_38","Exon (ENSMUST00000082922.1/ENSMUST00000082922.1, exon 1 of 1)",11,83275110,83286726,11617,2,"237890","ENSMUST00000163961.2",14728,"ENSMUSG00000082101","Slfn14","schlafen 14"
"chr7",140115299,140116299,1001,"+","Paox",2.42902415640477,93.3648840332031,38.4371986532211,-0.009691779,0.972921445,TRUE,"peak_39","Promoter (<=1kb)",7,140115799,140129193,13395,1,"212503","ENSMUST00000211757.1",0,"ENSMUSG00000025464","Paox","polyamine oxidase (exo-N4-amino)"
"chr7",45154084,45155084,1001,"-","Aldh16a1",16.6865797555843,1127.04476556396,67.5419877573649,-0.009263664,0.97212708,TRUE,"peak_40","Promoter (<=1kb)",7,45154303,45160065,5763,1,"68845","ENSMUST00000210139.1",0,"ENSMUSG00000003423","Pih1d1","PIH1 domain containing 1"
"chr14",20928898,20929898,1001,"+","Vcl",4.88607273324554,783.596842956543,160.373552694956,0.004571068,0.971941903,TRUE,"peak_41","Promoter (<=1kb)",14,20929398,20998781,69384,1,"22330","ENSMUST00000226113.1",0,"ENSMUSG00000021823","Vcl","vinculin"
"chr5",112276191,112277191,1001,"+","Tpst2",6.31799358243421,898.635804077148,142.234364810944,0.009243632,0.971394854,TRUE,"peak_42","Promoter (<=1kb)",5,112276691,112315361,38671,1,"22022","ENSMUST00000031287.10",0,"ENSMUSG00000029344","Tpst2","protein-tyrosine sulfotransferase 2"
"chr18",46741080,46742080,1001,"-","Atg12",8.08983261566511,555.187636413574,68.6278273963928,0.005815616,0.971003015,TRUE,"peak_43","Promoter (<=1kb)",18,46741876,46790826,48951,1,"11777","ENSMUST00000025357.8",0,"ENSMUSG00000024480","Ap3s1","adaptor-related protein complex 3, sigma 1 subunit"
"chr6",57691578,57692578,1001,"-","Pyurf",3.22345175089204,201.401079345703,62.4799422823588,0.007925733,0.970604743,TRUE,"peak_44","Promoter (<=1kb)",6,57686576,57692078,5503,2,"66459","ENSMUST00000053386.5",0,"ENSMUSG00000043162","Pyurf","Pigy upstream reading frame"
"chr15",83172092,83173092,1001,"-","Cyb5r3",2.71845016914735,271.425198852539,99.8455671297709,-0.004604466,0.969272225,TRUE,"peak_45","Promoter (<=1kb)",15,83153494,83172592,19099,2,"109754","ENSMUST00000018186.15",0,"ENSMUSG00000018042","Cyb5r3","cytochrome b5 reductase 3"
"chr17",15563854,15564854,1001,"-","Prdm9",4.34498037843297,420.140909729004,96.6956978251139,0.015508015,0.969016956,TRUE,"peak_46","Promoter (<=1kb)",17,15553224,15564340,11117,2,"213389","ENSMUST00000147532.7",0,"ENSMUSG00000051977","Prdm9","PR domain containing 9"
"chr5",122614018,122615018,1001,"-","Ift81",17.4974303430974,521.843379150391,29.8240009485881,0.007776173,0.968734689,TRUE,"peak_47","Promoter (<=1kb)",5,122550204,122614518,64315,2,"12589","ENSMUST00000031426.13",0,"ENSMUSG00000029469","Ift81","intraflagellar transport 81"
"chr10",99106536,99107536,1001,"+","Poc1b",4.8762433342187,249.4179453125,51.1496101029714,-0.007133772,0.968112674,TRUE,"peak_48","Promoter (<=1kb)",10,99107036,99197988,90953,1,"382406","ENSMUST00000020113.14",0,"ENSMUSG00000019952","Poc1b","POC1 centriolar protein B"
"chr15",76476777,76477777,1001,"-","Bop1",5.15600111977035,387.131447875977,75.083662490209,0.005489301,0.967894332,TRUE,"peak_49","Promoter (<=1kb)",15,76452989,76477277,24289,2,"12181","ENSMUST00000023217.10",0,"ENSMUSG00000022557","Bop1","block of proliferation 1"
"chr10",67004520,67005520,1001,"+","Gm31763",0,0,20.2776026503245,0.015753019,0.967860659,FALSE,"peak_50","Promoter (<=1kb)",10,67005020,67040806,35787,1,"102634101","ENSMUST00000217788.1",0,"ENSMUSG00000112925","Gm31763","predicted gene, 31763"
"chr1",54925887,54926887,1001,"-","Ankrd44",22.9848628763421,624.376814941406,27.164696100235,-0.012208943,0.967638458,TRUE,"peak_51","Promoter (<=1kb)",1,54645340,54926387,281048,2,"329154","ENSMUST00000179030.7",0,"ENSMUSG00000052331","Ankrd44","ankyrin repeat domain 44"
"chr7",45062177,45063177,1001,"-","Prrg2",3.20577691812242,316.773433532715,98.8133116006851,0.015707582,0.966460921,TRUE,"peak_52","Promoter (<=1kb)",7,45053584,45062677,9094,2,"65116","ENSMUST00000210690.1",0,"ENSMUSG00000007837","Prrg2","proline-rich Gla (G-carboxyglutamic acid) polypeptide 2"
"chr5",30945091,30946091,1001,"-","Cgref1",15.436872837012,490.164541931152,31.752839263916,0.02134505,0.966173691,TRUE,"peak_53","Promoter (<=1kb)",5,30933143,30945591,12449,2,"68567","ENSMUST00000031051.7",0,"ENSMUSG00000029161","Cgref1","cell growth regulator with EF hand domain 1"
"chr2",131186449,131187449,1001,"+","Cdc25b",7.80722112799819,369.125469909668,47.2800070419312,-0.007323859,0.965048411,TRUE,"peak_54","Promoter (<=1kb)",2,131186949,131198495,11547,1,"12531","ENSMUST00000028804.14",0,"ENSMUSG00000027330","Cdc25b","cell division cycle 25B"
"chr1",36371791,36372791,1001,"+","Fer1l5",0,0,25.4415272830327,-0.019549074,0.963653861,FALSE,"peak_55","Promoter (<=1kb)",1,36372291,36422107,49817,1,"100534273","ENSMUST00000179162.6",0,"ENSMUSG00000037432","Fer1l5","fer-1 like family member 5"
"chr18",12739822,12740822,1001,"+","Cabyr",0,0,32.2155043614705,0.024460726,0.963623623,FALSE,"peak_56","Promoter (<=1kb)",18,12740322,12755260,14939,1,"71132","ENSMUST00000234735.1",0,"ENSMUSG00000024430","Cabyr","calcium binding tyrosine phosphorylation regulated"
"chr8",124721639,124722639,1001,"+","Arv1",9.01775224711254,879.629649841309,97.5442245181402,0.014312166,0.96287988,TRUE,"peak_57","Promoter (<=1kb)",8,124671332,124721964,50633,2,"234875","ENSMUST00000117624.8",0,"ENSMUSG00000037300","Ttc13","tetratricopeptide repeat domain 13"
"chr16",20301887,20302887,1001,"-","Parl",13.6320671775123,413.13993548584,30.3064773747126,0.00662486,0.962479053,TRUE,"peak_58","Promoter (<=1kb)",16,20279820,20302345,22526,2,"381038","ENSMUST00000136252.7",0,"ENSMUSG00000033918","Parl","presenilin associated, rhomboid-like"
"chr7",12977348,12978348,1001,"+","Zfp446",2.91897920084895,361.121719421387,123.715071116765,-0.014386054,0.961468353,TRUE,"peak_59","Promoter (<=1kb)",7,12977848,12983396,5549,1,"269870","ENSMUST00000108535.7",0,"ENSMUSG00000033961","Zfp446","zinc finger protein 446"
"chr16",18811279,18812279,1001,"+","Ufd1",6.87293547282224,668.892517578125,97.322682603836,0.00713038,0.95981465,TRUE,"peak_60","Promoter (<=1kb)",16,18780447,18811972,31526,2,"12544","ENSMUST00000000028.13",0,"ENSMUSG00000000028","Cdc45","cell division cycle 45"
"chr5",143548206,143549206,1001,"+","Fam220a",10.0467220248297,433.479907531738,43.1464020264943,0.009934797,0.959785876,TRUE,"peak_61","Promoter (<=1kb)",5,143548706,143564525,15820,1,"67238","ENSMUST00000067145.11",0,"ENSMUSG00000083012","Fam220a","family with sequence similarity 220, member A"
"chr5",143548208,143549208,1001,"+","Fam220a",10.0347247029979,433.479907531738,43.1979870262146,0.009934797,0.959785876,TRUE,"peak_62","Promoter (<=1kb)",5,143548706,143564525,15820,1,"67238","ENSMUST00000067145.11",0,"ENSMUSG00000083012","Fam220a","family with sequence similarity 220, member A"
"chr10",115384459,115385459,1001,"+","Zfc3h1",4.46616186127026,541.183443969727,121.174167166392,0.006648331,0.958569158,TRUE,"peak_63","Promoter (<=1kb)",10,115384959,115432772,47814,1,"216345","ENSMUST00000036044.8",0,"ENSMUSG00000034163","Zfc3h1","zinc finger, C3H1-type containing"
"chr8",13785115,13786115,1001,"+","Upf3a",17.0532968169707,988.66571182251,57.9750486040115,-0.011204377,0.957545321,TRUE,"peak_64","Promoter (<=1kb)",8,13785615,13799193,13579,1,"67031","ENSMUST00000043767.8",0,"ENSMUSG00000038398","Upf3a","UPF3 regulator of nonsense transcripts homolog A (yeast)"
"chr6",47952890,47953890,1001,"+","Zfp956",17.5873135201628,673.561092529297,38.2981227779388,-0.021355027,0.957545321,TRUE,"peak_65","Promoter (<=1kb)",6,47953390,47965300,11911,1,"101197","ENSMUST00000101445.10",0,"ENSMUSG00000045466","Zfp956","zinc finger protein 956"
"chr19",32388716,32389716,1001,"+","2700046G09Rik",18.3485871634817,937.647951904297,51.101915561676,-0.024254518,0.957309245,TRUE,"peak_66","Promoter (<=1kb)",19,32158256,32389714,231459,2,"208449","ENSMUST00000124012.7",0,"ENSMUSG00000040451","Sgms1","sphingomyelin synthase 1"
"chr16",21947052,21948052,1001,"-","Tmem41a",23.1311741825322,824.945093261719,35.6637793979645,-0.015862687,0.957199787,TRUE,"peak_67","Promoter (<=1kb)",16,21934326,21947552,13227,2,"66664","ENSMUST00000023562.8",0,"ENSMUSG00000022856","Tmem41a","transmembrane protein 41a"
"chr9",108052659,108053659,1001,"+","Amigo3",0,0,63.7036283607483,0.025425225,0.956779407,FALSE,"peak_68","Promoter (<=1kb)",9,108053159,108055701,2543,1,"320844","ENSMUST00000085060.2",0,"ENSMUSG00000032593","Amigo3","adhesion molecule with Ig like domain 3"
"chr7",126648809,126649809,1001,"+","Sgf29",12.8031676658076,660.221715087891,51.5670599902471,-0.012096716,0.956288168,TRUE,"peak_69","Promoter (<=1kb)",7,126649309,126664004,14696,1,"75565","ENSMUST00000123571.7",0,"ENSMUSG00000030714","Sgf29","SAGA complex associated factor 29"
"chr10",122096871,122097871,1001,"-","Rxylt1",6.47882383848055,925.978471740723,142.923853900909,0.008483035,0.956239395,TRUE,"peak_70","Promoter (<=1kb)",10,122078114,122097371,19258,2,"216395","ENSMUST00000140299.2",0,"ENSMUSG00000034620","Rxylt1","ribitol xylosyltransferase 1"
"chrX",73786397,73787397,1001,"-","Idh3g",22.6408895758517,754.920040832519,33.3432146428426,-0.00844671,0.955136621,TRUE,"peak_71","Promoter (<=1kb)",20,73778963,73786897,7935,2,"15929","ENSMUST00000052761.8",0,"ENSMUSG00000002010","Idh3g","isocitrate dehydrogenase 3 (NAD+), gamma"
"chr7",13276783,13277783,1001,"+","Lig1",0,0,23.3960618505478,0.008440465,0.955090664,FALSE,"peak_72","Promoter (<=1kb)",7,13277283,13311425,34143,1,"16881","ENSMUST00000148471.8",0,"ENSMUSG00000056394","Lig1","ligase I, DNA, ATP-dependent"
"chr3",103808944,103809944,1001,"-","Dclre1b",5.57820460611994,346.784074401855,62.1676863594055,0.011225028,0.953895074,TRUE,"peak_73","Promoter (<=1kb)",3,103800605,103809378,8774,2,"140917","ENSMUST00000063502.12",0,"ENSMUSG00000027845","Dclre1b","DNA cross-link repair 1B"
"chr3",94412901,94413901,1001,"+","Gm42463",8.55956119203852,558.522039428711,65.2512467517853,0.012717779,0.953272294,TRUE,"peak_74","Promoter (<=1kb)",3,94413273,94434668,21396,1,"72634","ENSMUST00000166032.7",0,"ENSMUSG00000041912","Tdrkh","tudor and KH domain containing protein"
"chr6",72097092,72098092,1001,"+","St3gal5",0.524359878884707,26.6756811523437,50.8728494046529,0.021523012,0.952213488,FALSE,"peak_75","Promoter (<=1kb)",6,72097592,72154571,56980,1,"20454","ENSMUST00000069994.10",0,"ENSMUSG00000056091","St3gal5","ST3 beta-galactoside alpha-2,3-sialyltransferase 5"
"chr17",7169615,7170615,1001,"+","Rps6ka2",7.44659739449734,1313.77593688965,176.426341762543,-0.010273883,0.951291168,TRUE,"peak_76","Promoter (<=1kb)",17,7170115,7303315,133201,1,"20112","ENSMUST00000024575.7",0,"ENSMUSG00000023809","Rps6ka2","ribosomal protein S6 kinase, polypeptide 2"
"chr9",66794990,66795990,1001,"-","Aph1b",19.6672575357378,623.543475646973,31.704647916158,-0.015321007,0.951291168,TRUE,"peak_77","Promoter (<=1kb)",9,66775202,66795490,20289,2,"208117","ENSMUST00000034934.14",0,"ENSMUSG00000032375","Aph1b","aph1 homolog B, gamma secretase subunit"
"chr15",9140050,9141050,1001,"+","Lmbrd2",4.3016756748934,346.783315429687,80.6158673127492,-0.006444917,0.951171614,TRUE,"peak_78","Promoter (<=1kb)",15,9111985,9140365,28381,2,"27401","ENSMUST00000096482.9",0,"ENSMUSG00000054115","Skp2","S-phase kinase-associated protein 2"
"chr8",79294437,79295437,1001,"-","Mmaa",15.6350505156977,1057.02262115479,67.6059613682429,0.015427681,0.949629719,TRUE,"peak_79","Promoter (<=1kb)",8,79263598,79294937,31340,2,"109136","ENSMUST00000048718.3",0,"ENSMUSG00000037022","Mmaa","methylmalonic aciduria (cobalamin deficiency) type A"
"chr4",116123340,116124340,1001,"+","Pomgnt1",32.3675956531713,1310.44287994385,40.4862595907847,-0.009465345,0.948433429,TRUE,"peak_80","Promoter (<=1kb)",4,116096916,116123685,26770,2,"19366","ENSMUST00000102705.9",0,"ENSMUSG00000028702","Rad54l","RAD54 like (S. cerevisiae)"
"chr1",143702393,143703393,1001,"-","Cdc73",11.6543913727779,431.479897705078,37.0229455922445,-0.007216603,0.948280881,TRUE,"peak_81","Promoter (<=1kb)",1,143598800,143702893,104094,2,"214498","ENSMUST00000018337.8",0,"ENSMUSG00000026361","Cdc73","cell division cycle 73, Paf1/RNA polymerase II complex component"
"chr5",19226536,19227536,1001,"+","Magi2",12.8180107201652,275.426183776855,21.4874359048208,-0.009445607,0.948187758,TRUE,"peak_82","Promoter (<=1kb)",5,19227036,20702919,1475884,1,"50791","ENSMUST00000197354.4",0,"ENSMUSG00000040003","Magi2","membrane associated guanylate kinase, WW and PDZ domain containing 2"
"chr11",121420901,121421901,1001,"+","Fn3krp",6.97472443425514,733.913030059814,105.224663279216,0.017029419,0.94697457,TRUE,"peak_83","Promoter (<=1kb)",11,121421401,121431288,9888,1,"238024","ENSMUST00000038096.7",0,"ENSMUSG00000039253","Fn3krp","fructosamine 3 kinase related protein"
"chr7",44553451,44554451,1001,"-","Nr1h2",2.0658598772859,63.0212967224121,30.5060848585765,0.011863794,0.946258997,TRUE,"peak_84","Promoter (<=1kb)",7,44549616,44553686,4071,2,"22260","ENSMUST00000107912.7",0,"ENSMUSG00000060601","Nr1h2","nuclear receptor subfamily 1, group H, member 2"
"chr13",32338319,32339319,1001,"+","A730091E23Rik",7.10607882225942,563.522782897949,79.3015102974574,0.029335455,0.946257496,TRUE,"peak_85","Promoter (<=1kb)",13,31819579,32338740,519162,2,"218138","ENSMUST00000041859.8",0,"ENSMUSG00000038372","Gmds","GDP-mannose 4, 6-dehydratase"
"chr11",106084113,106085113,1001,"+","Map3k3",15.1740553839753,3151.3949553833,207.68310617288,-0.010778878,0.945470365,TRUE,"peak_86","Promoter (<=1kb)",11,106084613,106155446,70834,1,"26406","ENSMUST00000002044.9",0,"ENSMUSG00000020700","Map3k3","mitogen-activated protein kinase kinase kinase 3"
"chr15",34082194,34083194,1001,"+","Mtdh",4.24788693094638,338.114419433594,79.5959084904989,-0.007319214,0.945427384,TRUE,"peak_87","Promoter (<=1kb)",15,34082694,34103345,20652,1,"67154","ENSMUST00000172082.1",0,"ENSMUSG00000022255","Mtdh","metadherin"
"chr9",115309921,115310921,1001,"-","Stt3b",8.49505022503076,998.002283477783,117.48044532299,0.007619937,0.945002221,TRUE,"peak_88","Promoter (<=1kb)",9,115242581,115310421,67841,2,"68292","ENSMUST00000035010.9",0,"ENSMUSG00000032437","Stt3b","STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)"
"chr10",89744491,89745491,1001,"+","Uhrf1bp1l",6.60831788968222,297.433632629395,45.0089777148565,0.008447973,0.945002221,TRUE,"peak_89","Promoter (<=1kb)",10,89744991,89819871,74881,1,"75089","ENSMUST00000020112.6",0,"ENSMUSG00000019951","Bltp3b","bridge-like lipid transfer protein family member 3B"
