"gene","chromosome","tss","strand","log2FoldChange","padj","bm3_signal","avg_bg_signal","fold_change","is_higher_than_bg"
"Cyb5r3","chr15",83172592,"-",-0.004604466,0.969272225,271.425198852539,99.8455671297709,2.71845016914735,TRUE
"Prdm9","chr17",15564354,"-",0.015508015,0.969016956,420.140909729004,96.6956978251139,4.34498037843297,TRUE
"Ift81","chr5",122614518,"-",0.007776173,0.968734689,521.843379150391,29.8240009485881,17.4974303430974,TRUE
"Poc1b","chr10",99107036,"+",-0.007133772,0.968112674,249.4179453125,51.1496101029714,4.8762433342187,TRUE
"Bop1","chr15",76477277,"-",0.005489301,0.967894332,387.131447875977,75.083662490209,5.15600111977035,TRUE
"Gm31763","chr10",67005020,"+",0.015753019,0.967860659,0,20.2776026503245,0,FALSE
"Ankrd44","chr1",54926387,"-",-0.012208943,0.967638458,624.376814941406,27.164696100235,22.9848628763421,TRUE
"Prrg2","chr7",45062677,"-",0.015707582,0.966460921,316.773433532715,98.8133116006851,3.20577691812242,TRUE
"Cgref1","chr5",30945591,"-",0.02134505,0.966173691,490.164541931152,31.752839263916,15.436872837012,TRUE
"Cdc25b","chr2",131186949,"+",-0.007323859,0.965048411,369.125469909668,47.2800070419312,7.80722112799819,TRUE
"Fer1l5","chr1",36372291,"+",-0.019549074,0.963653861,0,25.4415272830327,0,FALSE
"Cabyr","chr18",12740322,"+",0.024460726,0.963623623,0,32.2155043614705,0,FALSE
"Arv1","chr8",124722139,"+",0.014312166,0.96287988,879.629649841309,97.5442245181402,9.01775224711254,TRUE
"Parl","chr16",20302387,"-",0.00662486,0.962479053,413.13993548584,30.3064773747126,13.6320671775123,TRUE
"Zfp446","chr7",12977848,"+",-0.014386054,0.961468353,361.121719421387,123.715071116765,2.91897920084895,TRUE
"Ufd1","chr16",18811779,"+",0.00713038,0.95981465,668.892517578125,97.322682603836,6.87293547282224,TRUE
"Fam220a","chr5",143548706,"+",0.009934797,0.959785876,433.479907531738,43.1464020264943,10.0467220248297,TRUE
"Fam220a","chr5",143548708,"+",0.009934797,0.959785876,433.479907531738,43.1979870262146,10.0347247029979,TRUE
"Zfc3h1","chr10",115384959,"+",0.006648331,0.958569158,541.183443969727,121.174167166392,4.46616186127026,TRUE
"Upf3a","chr8",13785615,"+",-0.011204377,0.957545321,988.66571182251,57.9750486040115,17.0532968169707,TRUE
"Zfp956","chr6",47953390,"+",-0.021355027,0.957545321,673.561092529297,38.2981227779388,17.5873135201628,TRUE
"2700046G09Rik","chr19",32389216,"+",-0.024254518,0.957309245,937.647951904297,51.101915561676,18.3485871634817,TRUE
"Tmem41a","chr16",21947552,"-",-0.015862687,0.957199787,824.945093261719,35.6637793979645,23.1311741825322,TRUE
"Amigo3","chr9",108053159,"+",0.025425225,0.956779407,0,63.7036283607483,0,FALSE
"Sgf29","chr7",126649309,"+",-0.012096716,0.956288168,660.221715087891,51.5670599902471,12.8031676658076,TRUE
"Rxylt1","chr10",122097371,"-",0.008483035,0.956239395,925.978471740723,142.923853900909,6.47882383848055,TRUE
"Idh3g","chrX",73786897,"-",-0.00844671,0.955136621,754.920040832519,33.3432146428426,22.6408895758517,TRUE
"Lig1","chr7",13277283,"+",0.008440465,0.955090664,0,23.3960618505478,0,FALSE
"Dclre1b","chr3",103809444,"-",0.011225028,0.953895074,346.784074401855,62.1676863594055,5.57820460611994,TRUE
"Gm42463","chr3",94413401,"+",0.012717779,0.953272294,558.522039428711,65.2512467517853,8.55956119203852,TRUE
"St3gal5","chr6",72097592,"+",0.021523012,0.952213488,26.6756811523437,50.8728494046529,0.524359878884707,FALSE
"Rps6ka2","chr17",7170115,"+",-0.010273883,0.951291168,1313.77593688965,176.426341762543,7.44659739449734,TRUE
"Aph1b","chr9",66795490,"-",-0.015321007,0.951291168,623.543475646973,31.704647916158,19.6672575357378,TRUE
"Lmbrd2","chr15",9140550,"+",-0.006444917,0.951171614,346.783315429687,80.6158673127492,4.3016756748934,TRUE
"Mmaa","chr8",79294937,"-",0.015427681,0.949629719,1057.02262115479,67.6059613682429,15.6350505156977,TRUE
"Pomgnt1","chr4",116123840,"+",-0.009465345,0.948433429,1310.44287994385,40.4862595907847,32.3675956531713,TRUE
"Cdc73","chr1",143702893,"-",-0.007216603,0.948280881,431.479897705078,37.0229455922445,11.6543913727779,TRUE
"Magi2","chr5",19227036,"+",-0.009445607,0.948187758,275.426183776855,21.4874359048208,12.8180107201652,TRUE
"Fn3krp","chr11",121421401,"+",0.017029419,0.94697457,733.913030059814,105.224663279216,6.97472443425514,TRUE
"Nr1h2","chr7",44553951,"-",0.011863794,0.946258997,63.0212967224121,30.5060848585765,2.0658598772859,TRUE
"A730091E23Rik","chr13",32338819,"+",0.029335455,0.946257496,563.522782897949,79.3015102974574,7.10607882225942,TRUE
"Map3k3","chr11",106084613,"+",-0.010778878,0.945470365,3151.3949553833,207.68310617288,15.1740553839753,TRUE
"Mtdh","chr15",34082694,"+",-0.007319214,0.945427384,338.114419433594,79.5959084904989,4.24788693094638,TRUE
"Stt3b","chr9",115310421,"-",0.007619937,0.945002221,998.002283477783,117.48044532299,8.49505022503076,TRUE
"Uhrf1bp1l","chr10",89744991,"+",0.008447973,0.945002221,297.433632629395,45.0089777148565,6.60831788968222,TRUE
"Smarcd2","chr11",106272972,"-",-0.014960763,0.943905783,848.286221801758,74.8132806002299,11.3387117233187,TRUE
"Akap8l","chr17",32350607,"-",-0.014560985,0.943637456,346.7840234375,124.277055726369,2.79041067887094,TRUE
"Fgd6","chr10",94036001,"+",-0.015878904,0.942578119,874.627356933594,146.404597921371,5.97404295596866,TRUE
"Rgs2","chr1",144004161,"-",-0.018948507,0.942538028,948.488040527344,68.2949085419973,13.888122274065,TRUE
"Hopx","chr5",77115121,"-",0.035308989,0.941649937,350.117879333496,48.4814614413579,7.22168575213003,TRUE
"Zfp28","chr7",6383295,"+",-0.021416055,0.938656121,545.183156890869,73.274865287145,7.44024782242095,TRUE
"Gk","chrX",85776819,"-",0.015391041,0.937406998,1128.87976049805,93.0787272748947,12.1282251439049,TRUE
"Aldh7a1","chr18",56572951,"-",-0.012969283,0.93702034,380.12870513916,46.2348782730103,8.22168716211504,TRUE
"Csad","chr15",102204724,"-",0.016801333,0.93699324,770.260633300781,51.9422876243591,14.8291626828456,TRUE
"Gm38534","chr11",88253368,"+",-0.027921263,0.93447977,449.151580749512,59.1755125058492,7.59015953947362,TRUE
"Aldh6a1","chr12",84451004,"-",0.014763852,0.934170035,2750.92510681152,209.469028580348,13.1328489249967,TRUE
"Ptges2","chr2",32395896,"+",0.015167752,0.932515951,892.300724609375,139.976412347158,6.37465062610953,TRUE
"Arrb2","chr11",70432635,"+",-0.017349773,0.932410651,400.134408569336,89.2809827057521,4.4817428800944,TRUE
"Ccar1","chr10",62792286,"-",-0.010008722,0.931182392,129.376852294922,42.3664484914144,3.05375732216828,TRUE
"Tmem14a","chr1",21218575,"+",-0.027572188,0.929436346,460.156412353516,33.9358995850881,13.5595760825422,TRUE
"B3gntl1","chr11",121673153,"-",-0.021261183,0.929132601,1288.76630871582,156.610562873522,8.22911485067976,TRUE
"Etfdh","chr3",79629500,"-",-0.010727226,0.927954631,1337.11618591309,90.7264463551839,14.737887789393,TRUE
"Pdp1","chr4",11966452,"-",-0.019734328,0.927954631,584.865237609863,85.1388055820465,6.86954947995178,TRUE
"Cstf2t","chr19",31082837,"+",-0.010830002,0.927825831,56.6858224487305,74.7769899886449,0.758065047246999,FALSE
"Pptc7","chr5",122284365,"+",0.015314815,0.927415475,611.87190536499,21.7891996860504,28.0814309006822,TRUE
"Slc38a3","chr9",107669530,"-",0.0178479,0.926752625,633.548677062988,28.4129020722707,22.2979221007239,TRUE
"Stk32a","chr18",43207583,"+",-0.05995611,0.92657402,1063.19021087646,35.5701289240519,29.8899734984529,TRUE
"Mbtps1","chr8",119558735,"-",0.012388616,0.926019783,280.09451171875,37.451240345637,7.47891148954645,TRUE
"Ube3c","chr5",29569242,"+",0.010341935,0.925370262,430.144526977539,44.908599474589,9.57822181074542,TRUE
"Trpm7","chr2",126876230,"-",0.010189325,0.92499804,596.868809204102,40.4930276807149,14.7400390484598,TRUE
"Zbtb18","chr1",177442351,"+",0.011818868,0.924836963,1120.04390155029,109.605887914022,10.2188296894131,TRUE
"Surf4","chr2",26933928,"-",0.0112358,0.924285504,708.905463378906,37.8495446637471,18.7295638475119,TRUE
"Fdxr","chr11",115277050,"-",0.029885054,0.922761028,903.63800567627,106.343770449956,8.49732900999131,TRUE
"Gm43483","chr5",131642807,"-",0.043734852,0.922389231,1247.42144897461,40.3058557217916,30.9488888558737,TRUE
"Arpc4","chr6",113378115,"+",0.012028863,0.922287801,970.326214294434,83.8536947822571,11.5716572396014,TRUE
"Meis2","chr2",116065839,"-",-0.016955131,0.922277876,383.12900088501,40.4187746340434,9.47898604927803,TRUE
"Gm21926","chr17",3114795,"-",-0.020538934,0.920603797,1137.0497668457,44.2403171443939,25.7016640078447,TRUE
"Sars2","chr7",28741992,"+",-0.021571338,0.92040452,526.178553222656,128.557300841014,4.09294960130953,TRUE
"Gm45902","chr2",3512790,"-",0.025914425,0.920350446,1050.3521774292,112.706480792363,9.31935918897369,TRUE
"Abhd8","chr8",71463655,"-",-0.015566203,0.918798093,971.994669189453,66.9807320022583,14.5115563854495,TRUE
"Smndc1","chr19",53390578,"-",0.013211006,0.918550306,410.138561401367,70.6903517106374,5.80190296803474,TRUE
"H6pd","chr4",150009023,"-",-0.040910073,0.918550306,931.648208251953,64.67608817482,14.4048323660779,TRUE
"Fntb","chr12",76765589,"+",-0.020233648,0.917690164,333.445495605469,21.2216194438934,15.7125377018019,TRUE
"Gm37127","chr1",34823525,"+",-0.028649552,0.917080596,0,31.9947201999029,0,FALSE
"Zfp90","chr8",106415327,"+",-0.060041387,0.91599246,705.904680267334,59.1346458772024,11.9372437222876,TRUE
"Khdc4","chr3",88685803,"+",0.013768587,0.915884184,588.53168548584,67.3169006026586,8.7427032471337,TRUE
"Strip2","chr6",29917012,"+",0.054656093,0.915449233,1007.34039807129,52.623455532074,19.142422098399,TRUE
"Gm42683","chr13",19395453,"-",-0.049202828,0.914151231,153.051664306641,53.2096839729945,2.87638739565375,TRUE
"D730003I15Rik","chr1",191224454,"+",-0.051631162,0.913559501,414.139978149414,56.4158957023621,7.3408384816635,TRUE
"Nucb2","chr7",116504369,"+",-0.033329936,0.91299784,247.416557739258,93.3953535016378,2.64913133751262,TRUE
"Ccdc88a","chr11",29373658,"+",0.012310484,0.912329012,172.057875732422,68.2923751061757,2.51943025066736,TRUE
"Napb","chr2",148732467,"-",0.025832985,0.911657791,523.509243164062,65.7993100029627,7.95615095569377,TRUE
"5430431A17Rik","chr7",44473538,"+",-0.052200294,0.911646582,271.425587341309,89.8302079029083,3.02154023326624,TRUE
"Rogdi","chr16",5013553,"-",0.036969184,0.911318058,300.100946044922,91.7464452635447,3.27098172777018,TRUE
"Emsy","chr7",98656783,"-",-0.01343597,0.91065931,373.793551452637,133.93880517896,2.79077860186373,TRUE
"Ptpn4","chr1",119837613,"-",-0.012151367,0.907432824,1204.90726428223,65.0284701239268,18.5289191332042,TRUE
"Grip1os3","chr10",119455379,"-",-0.053776382,0.904418697,584.697089355469,34.858984292984,16.7732107292968,TRUE
"Dedd","chr1",171329145,"+",-0.047398411,0.903334973,486.831269836426,76.7246582539876,6.34517351937666,TRUE
"Tmem106c","chr15",97964200,"+",-0.021233455,0.901533159,660.224404296875,67.046307665507,9.84728954188983,TRUE
"Nbeal1","chr1",60180599,"+",-0.012939857,0.901524699,543.516958007812,89.4169418636958,6.07845612564487,TRUE
"1700086O06Rik","chr18",38250565,"-",-0.039910101,0.901524699,1315.44269485474,89.258096446991,14.7375167880256,TRUE
"Rnf13","chr3",57736062,"+",0.013459017,0.899921986,877.629859558106,94.6836209220886,9.26907791454524,TRUE
"Cnot9","chr1",74506058,"+",-0.014714768,0.899653102,1455.82391479492,57.9284358450572,25.1314210984197,TRUE
"Fem1b","chr9",62811934,"-",0.012717713,0.898672731,1022.34537713623,61.988651922226,16.4924602396406,TRUE
"Wdr25","chr12",108893631,"+",0.046984421,0.898579763,291.764534667969,22.7874723103841,12.803725252801,TRUE
"Golim4","chr3",75956949,"-",-0.016179945,0.898288927,985.332058410645,90.5590830831528,10.8805436723106,TRUE
"Abcd4","chr12",84617413,"-",0.039379547,0.897921916,1614.2112286377,56.9068777535756,28.3658371774977,TRUE
"Ung","chr5",114130386,"+",0.021095691,0.895651309,593.867575866699,29.892695414861,19.8666452665041,TRUE
"Trim65","chr11",116131128,"-",0.034249062,0.895651309,450.153012084961,37.8917528413137,11.8799733010545,TRUE
"Ubap1","chr4",41348996,"+",-0.018592855,0.895435968,1664.56050744629,72.1332384573619,23.0761926546555,TRUE
"Ppp1r10","chr17",35916434,"+",-0.016382293,0.895020618,114.705428955078,86.3082911307017,1.32901981318774,TRUE
"Eif5b","chr1",37998010,"+",-0.015824599,0.894829051,1737.25043823242,49.8527309481303,34.8476483673474,TRUE
"4930513N10Rik","chr8",95806744,"+",0.05168092,0.894829051,132.711312438965,21.736189825058,6.10554625751254,TRUE
"Slc18b1","chr10",23796986,"+",0.025850422,0.894786721,376.126622802734,40.2696835479736,9.34019315931925,TRUE
"Thap7","chr16",17531136,"-",0.027489776,0.8940522,295.432898986816,58.4731531969706,5.05245369600014,TRUE
"Fam49a","chr12",12262139,"+",0.017136912,0.894005405,192.731496459961,29.0852249202728,6.62643995321571,TRUE
"Camta1","chr4",151861876,"-",-0.025387662,0.894005405,2965.66556591797,137.525373398463,21.5644974642266,TRUE
"Fam32a","chr8",72219730,"+",-0.017927342,0.893208763,53.3513623046875,23.5593091169993,2.26455546891193,TRUE
"Tapbpl","chr6",125231860,"-",0.047154197,0.892421079,286.763126220703,44.5736949157715,6.43346096307663,TRUE
"Caprin2","chr6",148896237,"-",-0.02643276,0.892069772,470.159541625977,52.9640344022115,8.87695861790968,TRUE
"Map3k10","chr7",27674598,"-",-0.025646483,0.891347064,0,72.4297854798635,0,FALSE
"Tmem218","chr9",37208223,"+",-0.035110561,0.890570944,1388.1335793457,126.893391672134,10.9393685601244,TRUE
"Odc1","chr12",17544794,"+",0.013902258,0.88749931,249.417510864258,66.2872679258982,3.76267598089996,TRUE
"Nepro","chr16",44724301,"+",-0.024455216,0.887374068,270.091708068848,93.325103665034,2.89409491617894,TRUE
"Gon7","chr12",102757803,"-",0.036554022,0.886165662,0,85.0841184708277,0,FALSE
"Gm12758","chr7",34234377,"+",-0.078154888,0.885633295,1225.41133120728,49.1211970920563,24.9466911181089,TRUE
"Vrk3","chr7",44748413,"+",0.023406097,0.884748121,273.092827331543,63.3836260881424,4.30857059127187,TRUE
"Snrpa","chr7",27196271,"-",-0.02103447,0.884626119,773.592485351562,68.0530933863322,11.3674845162429,TRUE
"Med19","chr2",84678402,"+",-0.020257351,0.883825386,676.227653869629,162.404259473165,4.16385417515091,TRUE
"A730020E08Rik","chr6",61180810,"-",0.073762976,0.88378614,430.146132202148,30.4591214911143,14.1220794016542,TRUE
"Rnf115","chr3",96727664,"+",0.020037767,0.880940719,697.567703491211,36.9036744333903,18.9023915423461,TRUE
"Gm43332","chr5",149183183,"+",0.080269621,0.880376419,0,9.03374446105957,0,FALSE
"4930413G21Rik","chr7",122970050,"-",0.085603023,0.879830526,360.121647949219,43.8663775698344,8.20951416323156,TRUE
"4930509H03Rik","chr3",104511313,"-",-0.075481865,0.879762817,634.379860961914,34.5818520202637,18.3442997960373,TRUE
"Zscan2","chr7",80860920,"+",0.061648059,0.878082654,266.75726776123,104.75945757548,2.54637885623863,TRUE
"Ubb","chr11",62551171,"+",-0.017411843,0.876745307,397.467347229004,83.565469344457,4.75635870111185,TRUE
"Nexn","chr3",152266350,"-",-0.035287983,0.876728991,0,30.9887573623657,0,FALSE
"Plekhf1","chr7",38228016,"-",-0.030987197,0.874719342,103.368264465332,71.8813755702972,1.43803959850826,TRUE
"Zfp691","chr4",119174195,"-",-0.04484705,0.874322279,979.498271179199,97.2832464869817,10.0685195709446,TRUE
"Fhl4","chr10",85102495,"-",-0.06744423,0.87386648,565.190333709717,36.394163869222,15.5296968970261,TRUE
"Kmt5c","chr7",4740115,"+",0.026766195,0.873413475,1407.97368743896,308.189692826271,4.56852944862322,TRUE
"Tug1","chr11",3649673,"-",0.018129092,0.872704541,450.152774047852,37.9422517929077,11.8641554672302,TRUE
"Ttll1","chr15",83510893,"-",0.042007665,0.871960184,1583.86387329102,43.2597016108831,36.6129172026595,TRUE
"Gm3235","chr8",91629729,"-",0.093717229,0.871401672,610.207416381836,31.2920517044067,19.5003965270805,TRUE
"Fbxo44","chr4",148160482,"-",-0.034733028,0.870765029,229.410763366699,68.7425856609345,3.33724373561163,TRUE
"Ptcd1","chr5",145167108,"-",0.033036187,0.870130079,320.10767578125,50.3120114943186,6.36245036272098,TRUE
"Ints6l","chrX",56454857,"+",0.02681861,0.869857814,172.391589447021,29.3932178554535,5.86501247651035,TRUE
"Erlin2","chr8",27023261,"+",0.01915329,0.869790108,107.369449584961,17.7731898574829,6.0410905665173,TRUE
"Gm43544","chr1",139070213,"+",-0.064888623,0.868929358,0,10.3892728281021,0,FALSE
"Nedd4l","chr18",64887705,"+",-0.027764371,0.86869235,1623.8791267395,108.136185685794,15.0169817479778,TRUE
"Cdadc1","chr14",59597959,"-",0.030753656,0.867996134,89.6969778747559,58.0509786834717,1.54514152748116,FALSE
"Hdac8","chrX",102505359,"-",-0.037702833,0.867914928,306.769855957031,17.6925947529475,17.3388844451956,TRUE
"Coq10a","chr10",128368997,"-",0.036347439,0.867459531,323.443069152832,63.9907003939946,5.05453241113745,TRUE
"Lztr1","chr16",17508688,"+",0.021382526,0.866719588,348.784045471191,74.5095154921214,4.68106715186024,TRUE
"2810410L24Rik","chr11",120189852,"-",-0.049494664,0.866430442,164.055439086914,112.528412878036,1.45790236342109,TRUE
"Gm11457","chr2",164769666,"-",-0.082107677,0.866430442,673.226801940918,82.7628166898092,8.13441142855418,TRUE
"Med20","chr17",47611582,"+",0.036296879,0.866088516,441.483331787109,56.7638179136912,7.77754823430623,TRUE
"Polr3c","chr3",96727628,"-",-0.026702703,0.865895559,661.555462524414,37.6983468233744,17.5486597760893,TRUE
"Hspa1b","chr17",34959238,"-",0.089067413,0.865737233,176.726117858887,52.294188940684,3.37945996369392,TRUE
"Slc25a28","chr19",43674881,"-",-0.036248319,0.865453698,2760.76284057617,148.354271760305,18.6092574741408,TRUE
"Son","chr16",91647506,"+",0.015033078,0.865362806,753.920679138184,68.3225416501363,11.0347282306744,TRUE
"Fiz1","chr7",5014697,"-",-0.028684725,0.865042681,707.570567382813,99.2436451822917,7.12963098123956,TRUE
"Csnk1g2","chr10",80622838,"+",-0.020957573,0.864902634,292.765183959961,61.8353036664327,4.73459604143399,TRUE
"Ptn","chr6",36810220,"-",0.018372467,0.864769789,153.385166625977,74.9610076649984,2.04619936956366,TRUE
"1700037C18Rik","chr16",3908689,"-",-0.071281601,0.864769789,460.821910827637,90.330584256808,5.10150481831856,TRUE
"Ppil2","chr16",17111257,"-",-0.023658574,0.86473997,611.873402832031,25.4918405431112,24.0027157630006,TRUE
"Gm20604","chr12",102758672,"-",0.050796306,0.86473997,0,24.0636558659871,0,FALSE
"Particl","chr6",72439051,"+",-0.071813231,0.86473997,146.382800323486,28.3832414315542,5.15736726816374,TRUE
"2900078I11Rik","chr10",39658426,"-",-0.065958062,0.86473997,0,22.6213851458232,0,FALSE
"Khdrbs1","chr4",129742303,"-",0.017659434,0.864462742,195.399112304687,52.065637521108,3.75293805296191,TRUE
"Adck1","chr12",88360554,"+",-0.043449173,0.863254031,343.115657226563,35.5418850237528,9.65383960353415,TRUE
"Ppm1g","chr5",31220687,"-",-0.020240913,0.860531592,282.095127929688,60.6113523146311,4.65416324099391,TRUE
"Lrig2","chr3",104511918,"-",0.029420532,0.858948446,919.64282434082,107.153512856801,8.58247947101669,TRUE
"Dclk3","chr9",111439081,"+",0.073061917,0.858845716,1226.08029351807,6.7421028585434,181.854284819226,TRUE
"Cox20","chr1",178319130,"+",-0.028497219,0.85880575,383.462227172852,92.6277804438273,4.13981880312242,TRUE
"Ppara","chr15",85734983,"+",0.073770292,0.857107269,649.551770568848,49.8826661303838,13.0215928890217,TRUE
"Rida","chr15",34495255,"-",0.042559877,0.856525654,1009.50599060059,64.0578282403946,15.7592915390784,TRUE
"Wdr44","chrX",23693051,"+",0.03302881,0.856122689,654.221953216553,24.3493512414296,26.8681471933188,TRUE
"Gm49085","chr15",37960471,"+",-0.06710685,0.856009851,797.268629272461,87.3763772300085,9.1245329063454,TRUE
"Mcur1","chr13",43560191,"-",0.024088425,0.855990793,1651.05769165039,67.9449992774328,24.2999147723705,TRUE
"Leng9","chr7",4150374,"-",-0.083919516,0.855830129,16.3388408203125,25.3800440088908,0.643767237542571,FALSE
"Ccdc61","chr7",18910415,"-",-0.039726862,0.855478012,361.788974304199,95.4266174348195,3.79127945671255,TRUE
"Dact3","chr7",16875317,"+",-0.047345853,0.854454928,2041.18683447266,129.144192560196,15.8054868283855,TRUE
"Zscan20","chr4",128610098,"-",0.04281332,0.854338839,338.113820739746,84.0955074526469,4.02059314440945,TRUE
"Gm38026","chr1",128101470,"-",-0.095381721,0.853629544,0,9.8064542388916,0,FALSE
"Tmem134","chr19",4125934,"+",-0.027683739,0.852205585,940.315581970215,70.1563184528351,13.4031488924604,TRUE
"Diablo","chr5",123524176,"-",-0.05424953,0.851898992,517.17360949707,40.1146700884501,12.8923809757562,TRUE
"Nectin2","chr7",19750483,"-",0.043308588,0.851256883,459.48819543457,52.5111854397456,8.75029180138799,TRUE
"Zup1","chr10",33951269,"-",-0.035676386,0.850609902,70.0236630249023,18.5834321702321,3.76806944935983,TRUE
"9530018F02Rik","chr12",77238663,"-",0.08020182,0.847687205,1077.36362347412,64.1832162691752,16.7857531314076,TRUE
"Camk1","chr6",113343984,"-",-0.026525754,0.847646851,504.170493713379,36.8588190606435,13.678422330457,TRUE
"Umad1","chr6",8259288,"+",-0.057284368,0.847267197,263.421900939941,65.155591357549,4.042966926574,TRUE
"Rpusd1","chr17",25727670,"+",0.054146665,0.846516343,566.858064575195,139.352210966746,4.06780818648415,TRUE
"Gm5499","chr17",87078271,"+",-0.103096334,0.845595512,316.273275878906,18.8293506120046,16.7968233422382,TRUE
"Mgst3","chr1",167393841,"-",0.066424108,0.845013874,1203.07116235352,53.3549113788605,22.5484614492337,TRUE
"9330104G04Rik","chr7",16874886,"-",0.082076172,0.843097749,2976.00112097168,131.121761496226,22.6964699605362,TRUE
