gene_name	num_peaks_exo	total_coverage_exo	avg_peak_size_exo	min_distance_to_tss_exo	peaks_exo	cpg_coverage_percent_exo	num_peaks_endo	total_coverage_endo	avg_peak_size_endo	min_distance_to_tss_endo	peaks_endo	cpg_coverage_percent_endo	enrichment_ratio
Mrpl37	1	1126	1126.0	183	chr4:107066487-107067613	60.79913606911447	1	497	497.0	24	chr4:107066643-107067140	18.586387434554975	2.265593561368209
Cyb5rl	1	1126	1126.0	63	chr4:107066487-107067613	60.79913606911447	1	497	497.0	96	chr4:107066643-107067140	18.586387434554975	2.265593561368209
Dstyk	1	616	616.0	156	chr1:132417090-132417706	33.261339092872575	1	273	273.0	176	chr1:132417242-132417515	10.209424083769633	2.2564102564102564
Gng12	1	674	674.0	59	chr6:66896000-66896674	36.39308855291576	1	299	299.0	18	chr6:66896229-66896528	11.18175018698579	2.254180602006689
Lactb	1	716	716.0	216	chr9:66974909-66975625	38.66090712742981	1	320	320.0	27	chr9:66975296-66975616	11.967090501121914	2.2375
Trappc12	2	776	388.0	45	chr12:28750289-28750705,chr12:28751528-28751888	41.90064794816415	1	347	347.0	18	chr12:28750261-28750608	12.976813762154077	2.2363112391930837
Tssc1	2	776	388.0	119	chr12:28750289-28750705,chr12:28751528-28751888	41.90064794816415	1	347	347.0	1393	chr12:28750261-28750608	12.976813762154077	2.2363112391930837
Srp19	1	524	524.0	213	chr18:34330797-34331321	28.293736501079913	1	237	237.0	246	chr18:34330974-34331211	8.863126402393418	2.210970464135021
Fcgr3	1	625	625.0	294	chr1:171064328-171064953	33.747300215982726	1	283	283.0	192	chr1:171064601-171064884	10.583395661929694	2.208480565371025
Stc2	1	616	616.0	11	chr11:31369754-31370370	33.261339092872575	1	279	279.0	101	chr11:31370035-31370314	10.433807030665669	2.207885304659498
Bmpr1b	1	664	664.0	177	chr3:142168915-142169579	35.85313174946004	1	301	301.0	22	chr3:142169296-142169597	11.2565445026178	2.2059800664451825
Ddx56	1	730	730.0	104	chr11:6267302-6268032	39.416846652267814	1	331	331.0	49	chr11:6267655-6267986	12.37845923709798	2.205438066465257
Fip1l1	1	988	988.0	195	chr5:74535149-74536137	53.34773218142549	1	450	450.0	22	chr5:74535245-74535695	16.828721017202692	2.1955555555555555
Tmem254b	1	687	687.0	246	chr14:26206451-26207138	37.095032397408204	1	314	314.0	45	chr14:26206838-26207152	11.742707554225879	2.1878980891719744
Tmem254c	1	687	687.0	176	chr14:26066835-26067522	37.095032397408204	1	314	314.0	25	chr14:26067222-26067536	11.742707554225879	2.1878980891719744
Tmem254a	1	687	687.0	246	chr14:25927082-25927769	37.095032397408204	1	314	314.0	45	chr14:25927469-25927783	11.742707554225879	2.1878980891719744
Mpp1	1	382	382.0	49	chrX:75130775-75131157	20.626349892008637	1	175	175.0	45	chrX:75130883-75131058	6.544502617801047	2.182857142857143
Zfp369	1	1039	1039.0	36	chr13:65278258-65279297	56.10151187904968	1	476	476.0	125	chr13:65278450-65278926	17.801047120418847	2.1827731092436973
Ostf1	1	840	840.0	128	chr19:18631496-18632336	45.35637149028078	1	385	385.0	102	chr19:18631698-18632083	14.397905759162304	2.1818181818181817
Nmrk1	1	840	840.0	33	chr19:18631496-18632336	45.35637149028078	1	385	385.0	59	chr19:18631698-18632083	14.397905759162304	2.1818181818181817
Map4k3	1	440	440.0	520	chr17:80727352-80727792	23.758099352051836	1	202	202.0	65	chr17:80728056-80728258	7.554225878833208	2.1782178217821784
Zscan25	1	431	431.0	99	chr5:145280383-145280814	23.272138228941685	1	199	199.0	65	chr5:145280335-145280534	7.442034405385191	2.1658291457286434
Osbpl6	2	1269	634.5	205	chr2:76406952-76407403,chr2:76405893-76406711	68.52051835853132	1	586	586.0	96	chr2:76406310-76406896	21.914734480179508	2.1655290102389078
Acyp2	1	631	631.0	259	chr11:30649012-30649643	34.07127429805615	1	293	293.0	414	chr11:30649026-30649319	10.957367240089754	2.15358361774744
B3gnt2	1	1156	1156.0	1250	chr11:22859132-22860288	62.419006479481645	1	539	539.0	1087	chr11:22859604-22860143	20.157068062827225	2.144712430426716
Gm12057	1	1156	1156.0	166	chr11:22859132-22860288	62.419006479481645	1	539	539.0	329	chr11:22859604-22860143	20.157068062827225	2.144712430426716
Nr2c1	1	614	614.0	304	chr10:94148019-94148633	33.15334773218142	1	287	287.0	10	chr10:94147889-94148176	10.732984293193718	2.1393728222996518
Prc1	1	959	959.0	287	chr7:80294257-80295216	51.78185745140389	1	449	449.0	47	chr7:80294178-80294627	16.791323859386686	2.1358574610244987
Actn1	1	1330	1330.0	323	chr12:80259382-80260712	71.81425485961122	1	623	623.0	119	chr12:80260178-80260801	23.298429319371728	2.134831460674157
Vasn	1	405	405.0	76	chr16:4639662-4640067	21.868250539956804	1	191	191.0	48	chr16:4639797-4639988	7.142857142857142	2.1204188481675392
Dnaja3	1	405	405.0	124	chr16:4639662-4640067	21.868250539956804	1	191	191.0	96	chr16:4639797-4639988	7.142857142857142	2.1204188481675392
Vprbp	2	716	358.0	5	chr9:106821628-106822109,chr9:106822435-106822670	38.66090712742981	1	343	343.0	48	chr9:106821654-106821997	12.827225130890053	2.087463556851312
Ptpn18	1	671	671.0	82	chr1:34459344-34460015	36.23110151187905	1	326	326.0	45	chr1:34459553-34459879	12.19147344801795	2.058282208588957
Thyn1	1	865	865.0	279	chr9:26998965-26999830	46.70626349892009	1	421	421.0	97	chr9:26999369-26999790	15.744203440538518	2.0546318289786223
Acad8	1	865	865.0	168	chr9:26998965-26999830	46.70626349892009	1	421	421.0	14	chr9:26999369-26999790	15.744203440538518	2.0546318289786223
Med30	1	623	623.0	77	chr15:52712056-52712679	33.639308855291574	1	304	304.0	53	chr15:52712239-52712543	11.36873597606582	2.049342105263158
Pdk2	1	924	924.0	125	chr11:95041016-95041940	49.892008639308855	1	451	451.0	104	chr11:95041232-95041683	16.8661181750187	2.048780487804878
Gli2	1	912	912.0	164	chr1:119052998-119053910	49.24406047516199	1	446	446.0	203	chr1:119053598-119054044	16.67913238593867	2.0448430493273544
Grasp	1	733	733.0	195	chr15:101224035-101224768	39.57883369330454	1	360	360.0	31	chr15:101223995-101224355	13.462976813762154	2.036111111111111
Ccdc138	1	505	505.0	47	chr10:58497670-58498175	27.267818574514042	1	249	249.0	74	chr10:58497771-58498020	9.311892296185489	2.0281124497991967
Ctnnal1	1	756	756.0	514	chr4:56864295-56865051	40.8207343412527	1	374	374.0	479	chr4:56864521-56864895	13.986537023186237	2.021390374331551
Rmdn1	1	664	664.0	33	chr4:19574796-19575460	35.85313174946004	1	329	329.0	71	chr4:19574926-19575255	12.30366492146597	2.0182370820668694
Epb41l2	1	767	767.0	69	chr10:25359345-25360112	41.414686825054	1	381	381.0	18	chr10:25359625-25360006	14.24831712789828	2.0131233595800526
Chpf2	1	456	456.0	12	chr5:24586524-24586980	24.622030237580994	1	227	227.0	18	chr5:24586645-24586872	8.489154824233358	2.0088105726872247
