chr,start,end,exo_signal,endo_signal,enrichment,pvalue,binding_type,binding_type_by_peaks,significant,cpg_score,cpg_name,cpg_length,region_start,region_end,region_length,distanceToTSS,tss_position,strand,geneId,SYMBOL
chr1,16519743,16520093,21.1392725719327,8.32897855509782,2.53803902028229,0.1,both,exo_only,False,CpG:,711,350,16518613,16522068,3455,0,16520093,*,29819,Stau2
chr1,16618558,16619401,28.5798551660496,27.0325799822944,1.05723742183575,1,both,both,False,CpG:,711,843,16617353,16620263,2910,0,16619401,*,66799,Ube2w
chr1,16656764,16657043,69.1494251410282,42.727817855705,1.6183701534806,0.1,both,both,False,CpG:,712,279,16655014,16658439,3425,0,16657043,*,67923,Eloc
chr1,16665146,16665626,21.6761978906498,30.060269887309,0.721091260055557,1,both,both,False,CpG:,712,480,16664940,16665928,988,0,16665626,*,70397,Tmem70
chr1,17096764,17098139,8.96608158009277,6.57629538391693,1.36339398653235,0.2,both,both,False,CpG:,715,1375,17096420,17098875,2455,0,17098139,*,57339,Jph1
chr1,20819888,20820297,36.6155182367393,37.486495279444,0.976765578211247,1,both,both,False,CpG:,743,409,20820005,20821707,1702,0,20820297,*,17215,Mcm3
chr1,20890434,20890811,26.0765113902509,28.6160934489514,0.911253362964065,0.7,both,both,False,CpG:,744,377,20889026,20899432,10406,0,20890811,*,74229,Paqr8
chr1,20951662,20951890,35.4819150661107,19.1937903261413,1.84861428947598,0.4,both,both,False,CpG:,744,228,20946774,20953724,6950,0,20951890,*,71877,Efhc1
chr1,21078869,21079694,31.045559189546,22.129526290716,1.40290211284688,0.1,both,both,False,CpG:,745,825,21076107,21080582,4475,0,21079694,*,170829,Tram2
chr1,21961003,21962124,26.5395368407834,15.7434403724239,1.68575204739047,0.2,both,both,False,CpG:,752,1121,21959744,21964459,4715,0,21962124,*,226922,Kcnq5
chr1,22805682,22806364,6.75817062128741,10.9080409315345,0.619558604859094,0.4,both,both,False,CpG:,758,682,22803788,22806865,3077,0,22806364,*,116837,Rims1
chr1,23382681,23383400,27.0159858775083,23.8043136852697,1.13491975591911,1,both,both,False,CpG:,763,719,23380337,23384180,3843,0,23383400,*,70155,Ogfrl1
chr1,23761822,23763204,24.1438633849018,16.3898903319275,1.47309487104192,0.2,both,both,False,CpG:,766,1382,23761181,23766270,5089,0,23763204,*,280645,B3gat2
chr1,23921719,23922554,22.7856688835844,11.7609395043881,1.93740209913356,0.4,both,exo_only,False,CpG:,767,835,23920542,23923755,3213,0,23922554,*,98366,Smap1
chr1,24005371,24005714,41.7307633229387,31.2501196717274,1.33537931250527,1,both,both,False,CpG:,768,343,24004550,24005985,1435,0,24005714,*,68002,Sdhaf4
chr1,24099641,24100556,52.0546354137863,29.7717003921517,1.74846027361973,0.2,both,both,False,CpG:,768,915,24098214,24101515,3301,0,24100556,*,68187,Fam135a
chr1,24586521,24587177,18.4322114830296,7.36409567374782,2.50298370630061,0.2,both,both,False,CpG:,772,656,24586190,24588284,2094,234,24587411,*,12823,Col19a1
chr1,24678516,24679083,23.5305600493982,15.6519660122529,1.5033613049618,0.1,both,both,False,CpG:,773,567,24676791,24683575,6784,0,24679083,*,68421,Lmbrd1
chr1,25829845,25830680,35.3507452303743,28.5909781010195,1.23643007614048,0.2,both,both,False,CpG:,782,835,25826758,25833026,6268,-138,25830542,*,210933,Adgrb3
chr1,30873108,30874026,24.9826510514914,14.2328453195136,1.7552815681373,0.4,both,both,False,CpG:,820,918,30872034,30875851,3817,0,30874026,*,213109,Phf3
chr1,30948826,30950216,39.0001689903292,25.1904343165868,1.54821344087145,0.4,both,both,False,CpG:,821,1390,30948559,30951530,2971,0,30950216,*,19243,Ptp4a1
chr1,32172540,32173046,19.5165286629608,7.40934666838828,2.63404177675035,0.1,both,both,False,CpG:,830,506,32171393,32175154,3761,0,32173046,*,170771,Khdrbs2
chr1,33669553,33670569,43.4320511773239,18.8104092094423,2.30893707275237,0.1,both,both,False,CpG:,841,1016,33669554,33670941,1387,0,33670569,*,19076,Prim2
chr1,33719825,33720450,19.2999033187772,8.02254183762349,2.40570927636251,0.2,both,both,False,CpG:,842,625,33717820,33720732,2912,0,33720450,*,19335,Rab23
chr1,33757611,33757949,17.5736662466498,20.404055090897,0.861283022828635,1,both,both,False,CpG:,842,338,33753114,33760161,7047,0,33757949,*,213539,Bag2
chr1,33814130,33814690,31.0590486442868,12.4940986696617,2.48589749972959,0.2,both,both,False,CpG:,842,560,33811682,33815322,3640,0,33814690,*,98403,Zfp451
chr1,33906988,33907242,17.1270368148082,11.373116239885,1.50592295493688,0.4,both,endo_only,False,CpG:,843,254,33904521,33908180,3659,526,33907768,*,320705,Bend6
chr1,33907457,33907693,14.3155115743457,11.6936064637337,1.22421697863216,0.7,both,both,False,CpG:,843,236,33904521,33909156,4635,75,33907768,*,320705,Bend6
chr1,33907902,33908106,14.4621219317707,16.5382328437581,0.874465976407448,1,both,both,False,CpG:,843,204,33906456,33909156,2700,-86,33908020,*,320705,Bend6
chr1,34006046,34006248,45.6450964665541,37.2192548896837,1.22638394029768,1,both,both,False,CpG:,844,202,34004426,34009272,4846,0,34006248,*,13518,Dst
chr1,34011484,34011861,53.1912752054947,32.2257917771479,1.65058086309656,0.2,both,both,False,CpG:,844,377,34009028,34012301,3273,0,34011861,*,13518,Dst
chr1,34439241,34440138,242.534633806785,194.369770646174,1.24780017489597,0.7,both,both,False,CpG:,847,897,34438500,34440514,2014,0,34440138,*,27993,Imp4
chr1,34459407,34459964,38.462055028258,11.1508542463422,3.44924740101187,0.1,both,both,False,CpG:,847,557,34457941,34461025,3084,0,34459964,*,19253,Ptpn18
chr1,34472754,34472966,16.9346548516746,5.40616911123613,3.13246857492449,0.1,both,exo_only,False,CpG:,848,212,34470541,34474023,3482,34,34473000,*,19253,Ptpn18
chr1,34678070,34678419,57.7313612133566,18.3978966092973,3.13793269085892,0.1,both,exo_only,False,CpG:,849,349,34677896,34678952,1056,0,34678419,*,226970,Arhgef4
chr1,34750258,34751085,27.2412721203692,13.7058132796758,1.98757064352868,0.4,both,endo_only,False,CpG:,850,827,34749384,34751174,1790,0,34751085,*,226970,Arhgef4
chr1,34801701,34802059,10.1119836984259,10.4615941775636,0.966581529238867,1,both,endo_only,False,CpG:,850,358,34800308,34803784,3476,0,34802059,*,226970,Arhgef4
chr1,34842534,34843165,25.7181499601213,13.6915443929147,1.87839656521367,0.2,both,both,False,CpG:,850,631,34839236,34844433,5197,0,34843165,*,214469,Fam168b
chr1,36068460,36069216,18.1880382825803,10.5654588679015,1.72146222042817,0.7,both,both,False,CpG:,860,756,36066719,36072842,6123,60,36069276,*,50785,Hs6st1
chr1,36243891,36244412,33.7792807327895,8.52900825688065,3.96051682861704,0.1,both,both,False,CpG:,861,521,36243362,36246965,3603,0,36244412,*,320011,Uggt1
chr1,36307616,36308213,39.1944905140263,79.063749905209,0.495732754404102,0.1,both,both,False,CpG:,862,597,36306719,36312852,6133,0,36308213,*,214855,Arid5a
chr1,36368684,36369330,10.4151772340628,9.15738700021698,1.13735252576046,0.7,both,both,False,CpG:,862,646,36367987,36370099,2112,0,36369330,*,226976,Kansl3
chr1,36444875,36445308,28.241643383357,29.9361275414456,0.943396681626821,1,both,both,False,CpG:,863,433,36444327,36446429,2102,0,36445308,*,214895,Lman2l
chr1,36471266,36472155,21.7670809582562,17.8392184048572,1.22018131424018,1,both,both,False,CpG:,863,889,36468680,36474435,5755,0,36472155,*,94220,Cnnm4
chr1,36511763,36513006,28.812084929464,17.4239688417079,1.65358909851217,0.2,both,both,False,CpG:,863,1243,36509598,36514584,4986,0,36513006,*,94218,Cnnm3
chr1,36546910,36547290,37.7282376509533,23.8102932534991,1.58453477448913,0.1,both,both,False,CpG:,863,380,36545615,36549416,3801,0,36547290,*,109346,Ankrd39
chr1,36556807,36558424,26.9867675666064,19.0213362982307,1.41876296930393,0.4,both,both,False,CpG:,863,1617,36554015,36560168,6153,0,36558424,*,20353,Sema4c
chr1,36683084,36683438,21.0010564845248,26.4648236973186,0.793546056634134,1,both,endo_only,False,CpG:,864,354,36682663,36684547,1884,0,36683438,*,381337,Fam178b
chr1,36691322,36691869,13.9403604483361,10.8109905516535,1.28946190284145,0.7,both,both,False,CpG:,864,547,36690605,36697257,6652,0,36691869,*,12859,Cox5b
chr1,36709621,36710148,25.6067574595829,23.5703804474003,1.08639559368704,1,both,both,False,CpG:,865,527,36707847,36710825,2978,0,36710148,*,226977,Actr1b
chr1,36938841,36940122,34.8382810986691,9.16372756800298,3.8017587101033,0.1,both,both,False,CpG:,866,1281,36937962,36940663,2701,0,36940122,*,56030,Tmem131
chr1,37029247,37029486,20.2098158989385,8.89851953156315,2.27114362420108,0.2,both,exo_only,False,CpG:,867,239,37027967,37030381,2414,0,37029486,*,70853,Vwa3b
chr1,37299840,37300507,29.7258998704385,15.5799868205323,1.90795410887408,0.4,both,both,False,CpG:,869,667,37299461,37300962,1501,0,37300507,*,269180,Inpp4a
chr1,37429777,37430415,41.152295784658,21.2834776896036,1.93353249806351,0.7,both,both,False,CpG:,870,638,37429557,37431526,1969,0,37430415,*,67387,Unc50
chr1,37540315,37540920,23.5674054947808,13.6667573283819,1.72443286498094,0.4,both,both,False,CpG:,871,605,37539656,37543134,3478,96,37541016,*,269181,Mgat4a
chr1,37719313,37720128,8.96187992401429,2.17652796664793,4.11751195543628,0.2,both,exo_only,False,CpG:,872,815,37719380,37721378,1998,0,37720128,*,72097,Cracdl
chr1,37864612,37865324,58.2090847684487,50.2073858027848,1.15937294558802,1,both,both,False,CpG:,873,712,37863646,37866527,2881,0,37865324,*,211484,Tsga10
chr1,37890362,37890782,22.5636517893213,16.4341907351906,1.37297005693172,0.7,both,both,False,CpG:,874,420,37888220,37891983,3763,0,37890782,*,107734,Mrpl30
chr1,37996946,37997459,27.0951535585968,48.1615276541186,0.562589163557809,0.1,both,both,False,CpG:,874,513,37994153,37999500,5347,0,37997459,*,98258,Txndc9
chr1,37997823,37998675,27.0951535585968,48.1615276541186,0.562589163557809,0.1,both,both,False,CpG:,874,852,37994153,37999500,5347,0,37998675,*,226982,Eif5b
chr1,38129048,38130208,14.3129445482091,8.75441833436298,1.63493952442594,0.4,both,both,False,CpG:,875,1160,38128536,38132183,3647,0,38130208,*,56210,Rev1
chr1,38835801,38836776,17.4464309522187,7.02043685899128,2.48509192556507,0.7,both,exo_only,False,CpG:,881,975,38835041,38838799,3758,0,38836776,*,381338,Lonrf2
chr1,38897864,38898202,31.0109658126123,10.3929041904288,2.98385949147607,0.4,both,exo_only,False,CpG:,881,338,38897046,38898240,1194,0,38898202,*,98388,Chst10
chr1,38987499,38988052,43.8005551514438,26.7153845292186,1.63952553643909,0.4,both,both,False,CpG:,882,553,38987100,38988846,1746,0,38988052,*,68833,Pdcl3
chr1,39193418,39194435,12.5992339467854,16.0039979655728,0.787255407922967,0.7,both,both,False,CpG:,884,1017,39193200,39195017,1817,0,39194435,*,18143,Npas2
chr1,39367434,39368617,33.213459040529,24.5107522456236,1.35505669951273,0.7,both,both,False,CpG:,885,1183,39366863,39370583,3720,0,39368617,*,114641,Rpl31
chr1,39478123,39478997,25.247663290489,20.0838231760725,1.25711439844624,0.4,both,both,False,CpG:,886,874,39476365,39480741,4376,0,39478997,*,54610,Tbc1d8
chr1,39535587,39536365,15.0892219620958,14.3241893319952,1.05340844164855,1,both,both,False,CpG:,886,778,39533540,39537006,3466,0,39536365,*,52846,Cnot11
chr1,39576525,39577527,25.1241684911518,18.1984387526626,1.38056724714783,0.7,both,both,False,CpG:,886,1002,39575508,39578736,3228,0,39577527,*,67702,Rnf149
chr1,39650441,39651282,14.4518572924782,11.2648040292699,1.28292132334723,0.7,both,both,False,CpG:,887,841,39649771,39652626,2855,192,39651474,*,263764,Creg2
chr1,39900472,39901459,25.8858125397543,21.0949216227926,1.2271111029768,1,both,both,False,CpG:,889,987,39898826,39908880,10054,0,39901459,*,26921,Map4k4
chr1,40266556,40266876,23.1386987016088,8.97074652090814,2.57935040831657,0.2,both,exo_only,False,CpG:,892,320,40264380,40268645,4265,0,40266876,*,16177,Il1r1
chr1,40790518,40790811,18.0135811499698,20.7319470121012,0.868880339094795,0.7,both,both,False,CpG:,896,293,40789380,40791202,1822,0,40790811,*,211798,Mfsd9
chr1,42694074,42694484,46.7196436729461,44.2271921144073,1.05635563641687,0.7,both,both,False,CpG:,910,410,42689944,42697658,7714,324,42694808,*,66297,Pantr1
chr1,42694733,42695261,46.7196436729461,44.2271921144073,1.05635563641687,0.7,both,both,False,CpG:,910,528,42689944,42697658,7714,0,42695261,*,66297,Pantr1
chr1,42696574,42698657,46.6714273467644,44.5785206355036,1.04694876997766,0.7,both,exo_only,False,CpG:,910,2083,42693049,42699157,6108,806,42699463,*,18993,Pou3f3
chr1,42851139,42851682,39.6825915234133,23.795297998289,1.66766524740588,0.4,both,both,False,CpG:,911,543,42850071,42853702,3631,0,42851682,*,69527,Mrps9
chr1,42952792,42953543,6.98825941797281,9.47368581589866,0.737649480231356,0.4,both,both,False,CpG:,912,751,42951610,42954273,2663,0,42953543,*,93690,Gpr45
chr1,43092247,43092816,24.9610901926352,16.0164553509763,1.558465318677,0.2,both,both,False,CpG:,913,569,43090624,43094448,3824,0,43092816,*,73122,Tgfbrap1
chr1,43098480,43098954,33.3539557407866,21.8068291045187,1.52951883012992,0.7,both,both,False,CpG:,913,474,43095131,43099339,4208,0,43098954,*,73122,Tgfbrap1
chr1,43163728,43164080,22.8893893206913,6.52157335248622,3.50979557900169,0.1,both,both,False,CpG:,914,352,43162508,43165517,3009,0,43164080,*,14200,Fhl2
chr1,43445846,43446568,19.5230080796516,6.60384012148502,2.95631143705845,0.2,both,exo_only,False,CpG:,916,722,43444232,43447881,3649,95,43446663,*,17974,Nck2
chr1,43827314,43828135,36.9940803645761,24.7475480666443,1.49485841041514,0.2,both,both,False,CpG:,919,821,43825750,43832268,6518,0,43828135,*,67883,Uxs1
chr1,43933652,43934550,65.1158096495404,32.4589757408533,2.00609563805751,0.2,both,both,False,CpG:,920,898,43932723,43935116,2393,0,43934550,*,22019,Tpp2
chr1,44101935,44102758,20.5792195151446,14.3394146377338,1.43515059959219,0.7,both,both,False,CpG:,921,823,44100330,44103366,3036,0,44102758,*,75623,Tex30
chr1,44147610,44148213,33.1070038703364,25.1121707722716,1.31836487456881,0.1,both,both,False,CpG:,921,603,44146075,44149176,3101,0,44148213,*,22592,Ercc5
chr1,44551578,44552491,27.8058535122231,8.62044626610365,3.22557007536352,0.1,both,both,False,CpG:,924,913,44550318,44553620,3302,0,44552491,*,70676,Gulp1
chr1,45795375,45795757,76.4992278712213,52.1200895214889,1.4677493567942,0.4,both,both,False,CpG:,934,382,45793781,45796731,2950,0,45795757,*,73674,Wdr75
chr1,46852696,46854053,71.9772999487614,53.1503083278504,1.35422168211667,0.1,both,both,False,CpG:,942,1357,46850021,46855075,5054,0,46854053,*,227059,Slc39a10
chr1,50927047,50928062,86.5168963834158,31.1794683624167,2.77480345007108,0.2,both,both,False,CpG:,973,1015,50926459,50929367,2908,0,50928062,*,56363,Tmeff2
chr1,51478159,51478621,52.8408469168994,39.9478338152614,1.32274623853853,0.7,both,both,False,CpG:,977,462,51477314,51480203,2889,0,51478621,*,109019,Nabp1
chr1,51915183,51916194,18.8333633637653,13.1874157598558,1.42813146311019,0.4,both,both,False,CpG:,981,1011,51913267,51916447,3180,0,51916194,*,17912,Myo1b
chr1,52119293,52119737,64.7794717029556,38.3090589818646,1.69097005837763,0.4,both,both,False,CpG:,982,444,52118436,52120620,2184,0,52119737,*,20846,Stat1
chr1,52232207,52233503,48.3710945733539,21.520134557731,2.24771338876117,0.1,both,both,False,CpG:,983,1296,52230322,52234120,3798,0,52233503,*,14660,Gls
chr1,52500031,52500252,16.8639970838072,2.56655847612697,6.57066544194059,0.1,both,exo_only,False,CpG:,985,221,52498874,52502256,3382,48,52500300,*,17936,Nab1
chr1,52500508,52500827,16.8639970838072,2.56655847612697,6.57066544194059,0.1,both,exo_only,False,CpG:,985,319,52498874,52502256,3382,0,52500827,*,17936,Nab1
chr1,52630541,52630942,23.7763968148021,5.23896794100067,4.538374176472,0.4,both,exo_only,False,CpG:,986,401,52629687,52632248,2561,0,52630942,*,227094,Nemp2
chr1,52726791,52727529,14.1949744010701,4.93966991574805,2.8736686141346,0.4,both,both,False,CpG:,987,738,52726207,52728801,2594,0,52727529,*,98682,Mfsd6
chr1,52817206,52817862,34.8015348096609,20.7814624463272,1.67464320182199,0.1,both,both,False,CpG:,987,656,52816191,52819179,2988,0,52817862,*,16329,Inpp1
chr1,52952626,52952957,10.3755669902658,15.5983112876406,0.665172453539053,1,both,endo_only,False,CpG:,988,331,52950837,52955371,4534,0,52952957,*,67080,1700019D03Rik
chr1,53296788,53297379,45.3510410009025,18.5983326860102,2.43844659446359,0.7,both,both,False,CpG:,991,591,53296239,53298481,2242,0,53297379,*,227099,Pms1
chr1,53352464,53352777,15.0915692142412,17.5103576741707,0.861865273974533,1,both,both,False,CpG:,992,313,53351558,53353088,1530,0,53352777,*,110599589,Asdurf
chr1,53784769,53785369,29.2556139630539,24.9453720561783,1.17278723673348,1,both,both,False,CpG:,995,600,53784204,53786803,2599,0,53785369,*,98267,Stk17b
chr1,54194342,54195242,5.6827989765242,16.1999557932062,0.350791017522863,0.4,both,endo_only,False,CpG:,998,900,54194453,54195728,1275,0,54195242,*,329152,Hecw2
chr1,54250569,54250800,58.5474454343383,29.070323985617,2.01399356482252,0.1,both,both,False,CpG:,998,231,54250078,54251944,1866,0,54250800,*,78016,Ccdc150
chr1,54438757,54439059,23.7695709887299,12.9083216169153,1.84141453042057,0.4,both,both,False,CpG:,1000,302,54437675,54440301,2626,0,54439059,*,98488,Gtf3c3
chr1,54557255,54557805,38.5513384433905,27.9380645071944,1.37988579822568,0.4,both,both,False,CpG:,1001,550,54556270,54558757,2487,0,54557805,*,241062,Pgap1
chr1,54925725,54926617,12.7704008075715,9.94109907774199,1.28460653170275,1,both,both,False,CpG:,1004,892,54924528,54926915,2387,0,54926617,*,329154,Ankrd44
chr1,55026873,55027605,24.5875275989966,26.7305890948344,0.919827374988456,0.7,both,both,False,CpG:,1004,732,55026677,55029225,2548,0,55027605,*,81898,Sf3b1
chr1,55052507,55053297,33.7607932660041,24.0763399320024,1.40223943345845,0.4,both,both,False,CpG:,1005,790,55051030,55053836,2806,0,55053297,*,67876,Coq10b
chr1,55087410,55088640,21.0365420483554,25.4281188844988,0.827294466567068,0.7,both,both,False,CpG:,1005,1230,55085566,55090791,5225,0,55088640,*,15510,Hspd1
chr1,55131057,55131773,22.0133180160484,23.5064416070934,0.936480237374828,0.7,both,both,False,CpG:,1005,716,55129997,55132811,2814,0,55131773,*,19070,Mob4
chr1,55236985,55237816,31.2649505658316,16.7581032899923,1.86566164587985,0.1,both,both,False,CpG:,1006,831,55236114,55240877,4763,0,55237816,*,212679,Mars2
chr1,55405582,55406648,59.1143030106901,22.0221801591883,2.68430748379042,0.1,both,both,False,CpG:,1007,1066,55404247,55407547,3300,0,55406648,*,227120,Plcl1
chr1,56970858,56971119,23.813600372742,20.3555310445241,1.16988352309031,1,both,endo_only,False,CpG:,1019,261,56970440,56973854,3414,-293,56970826,*,329160,9130024F11Rik
chr1,56971509,56973501,20.5197766535885,17.9410412593081,1.14373387569924,1,both,both,False,CpG:,1019,1992,56970440,56974505,4065,0,56973501,*,212712,Satb2
chr1,56977104,56977392,17.866503928245,14.5649012344024,1.22668212030468,0.7,both,both,False,CpG:,1019,288,56975418,56979975,4557,1258,56978650,*,212712,Satb2
chr1,57377474,57378019,15.2526910763484,14.6583220057214,1.04054823399261,1,both,both,False,CpG:,1022,545,57376631,57382504,5873,0,57378019,*,73467,1700066M21Rik
chr1,57406137,57407067,27.5366533490096,11.3627225831896,2.42342036843776,0.2,both,both,False,CpG:,1022,930,57404491,57407456,2965,0,57407067,*,68115,Maip1
chr1,57774698,57775632,24.8920456804515,27.21523877604,0.914636314062628,1,both,both,False,CpG:,1025,934,57773510,57776270,2760,0,57775632,*,67198,Spats2l
chr1,57969733,57970245,25.0376785234135,22.7308050855553,1.10148665782736,1,both,both,False,CpG:,1027,512,57969249,57970544,1295,0,57970245,*,51960,Kctd18
chr1,57995863,57996253,26.6150838387446,30.583308628256,0.870248675911895,1,both,both,False,CpG:,1027,390,57995298,57998540,3242,0,57996253,*,68549,Sgo2a
chr1,58392748,58393897,33.0313947673036,19.0640727256317,1.73265152953875,0.7,both,both,False,CpG:,1030,1149,58390476,58394158,3682,0,58393897,*,66882,Bzw1
chr1,58423343,58424130,28.1544532367837,21.0301971829448,1.3387631600343,0.7,both,both,False,CpG:,1030,787,58422635,58425389,2754,0,58424130,*,12747,Clk1
chr1,58445081,58445545,38.0107840830663,35.197614041037,1.07992502101845,0.7,both,both,False,CpG:,1030,464,58443712,58447029,3317,0,58445545,*,65102,Nif3l1
chr1,58504543,58505162,53.8345243538632,29.7707812366292,1.80830069342038,0.4,both,both,False,CpG:,1031,619,58504068,58505679,1611,0,58505162,*,18393,Orc2
chr1,58585919,58586427,43.3906742831446,17.4722138114502,2.48341021643801,0.1,both,both,False,CpG:,1031,508,58585083,58587466,2383,0,58586427,*,213056,Hycc2
chr1,58711442,58711764,18.8694284607452,26.616192299372,0.708945451269166,0.4,both,both,False,CpG:,1032,322,58711164,58714927,3763,0,58711764,*,12633,Cflar
chr1,58713384,58713657,18.8694284607452,26.616192299372,0.708945451269166,0.4,both,both,False,CpG:,1032,273,58711164,58714927,3763,67,58713724,*,12633,Cflar
chr1,58795582,58795852,31.613993777726,19.6434205832146,1.60939351900556,1,both,exo_only,False,CpG:,1033,270,58794877,58795876,999,105,58795957,*,12370,Casp8
chr1,58973210,58974117,50.5927022131954,47.332343053701,1.0688822684268,0.7,both,both,False,CpG:,1034,907,58972568,58974337,1769,0,58974117,*,227154,Stradb
chr1,59119822,59120480,40.6049555098686,25.2019197661395,1.61118501632658,0.4,both,both,False,CpG:,1036,658,59118295,59121688,3393,0,59120480,*,381259,Tmem237
chr1,59236919,59237493,14.3048517578667,23.6364732942992,0.605202458918307,0.4,both,both,False,CpG:,1036,574,59234118,59238867,4749,0,59237493,*,74018,Als2
